()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>83</BIN><黑屏2><BGM>BGM_Room</BGM>:格里芬基地內，換班時間。
Spitfire(0)<Speaker>Spitfire</Speaker>||:可以的，75姐。
Spitfire(0);CZ75(0)<Speaker>CZ75</Speaker>||:誒，誒，真的可以嗎？+總覺得有點不好意思啊。
Spitfire(0)<Speaker>Spitfire</Speaker>;CZ75(0)||:只是調班而已，不是什麼大事。+畢竟我也沒有為新年準備全新的衣服……+去參加拜年活動吧，記得要拍照啊。
Spitfire(0);CZ75(0)<Speaker>CZ75</Speaker>||:那這邊就拜託你了，Spitfire！+回來給你分享好玩的消息！
CZ75(0)<Speaker></Speaker>||<SE1>RunStep</SE1>:CZ75向Spitfire用力地揮揮手，快步跑掉了。
CZ75(0)<Speaker>CZ75</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:<color=#A9A9A9>還好有Spitfire可以拜託，不然這次精心準備的串門活動就要泡湯了……</color>+<color=#A9A9A9>回去休整一下，換好衣服，然後集合做好準備的所有人——</color>
()<Speaker></Speaker>||<BIN>82</BIN><黑点2>:格里芬人形宿舍內，CZ75的房間。
CZ75(0)<Speaker>CZ75</Speaker>||<震屏><BGM>BGM_Sneak</BGM>:<color=#00CCFF>……什麼？！憑什麼是你？！</color>
NZ75(0)<Speaker>NZ75</Speaker><通讯框>;CZ75(0)||:<color=#00CCFF>你在說什麼啊，CZ75？你今天不是晚班嗎，那當然是由我來帶頭。</color>+<color=#00CCFF>等等，你為什麼現在在這裡？</color>+<color=#00CCFF>難道說，你翹班了嗎！</color>
NZ75(0);CZ75(0)<Speaker>CZ75</Speaker>||:<color=#00CCFF>我和人調班了而已！</color>+<color=#00CCFF>話說回來不是早就決定是我來做領班了嗎？！</color>
NZ75(0)<Speaker>NZ75</Speaker>;CZ75(0)||:<color=#00CCFF>誰會像你這樣不懂變通啊，你排到班當然就要改變計畫了。</color>+<color=#00CCFF>現在都已經定下來了，老老實實接受安排吧！</color>
NZ75(0);CZ75(0)<Speaker>CZ75</Speaker>||:<color=#00CCFF>誰會輕易就服從自己的仿製品啊！</color>
NZ75(0)<Speaker>NZ75</Speaker>;CZ75(0)||:<color=#00CCFF>這種沒營養的吵架就停一停吧，就算我是你的仿製品，現在也是真正的領導者了！</color>
NZ75(0);CZ75(0)<Speaker>CZ75</Speaker>||:……+<color=#00CCFF>你說得對，這種沒營養的吵架沒必要繼續。</color>
NZ75(0)<Speaker>NZ75</Speaker>;CZ75(0)||:<color=#00CCFF>難得看到你服軟呢。</color>+<color=#00CCFF>那就乖乖地……</color>
NZ75(0);CZ75(0)<Speaker>CZ75</Speaker>||:<color=#00CCFF>但我也沒打算輕易放棄。</color>+<color=#00CCFF>來決鬥吧，NZ75。用這種方式來決定誰才是真正的領班人。</color>
NZ75(0)<Speaker>NZ75</Speaker>;CZ75(0)||:<color=#00CCFF>哈……</color>+<color=#00CCFF>我說啊，你最近和柯爾特左輪混得太近了吧？</color>
NZ75(0);CZ75(0)<Speaker>CZ75</Speaker>||:<color=#00CCFF>誰會和那種輕浮的可樂控混在一起！</color>+<color=#00CCFF>怎麼，你是不敢應戰嗎？</color>
NZ75(0)<Speaker>NZ75</Speaker><Shake>;CZ75(0)||:<color=#00CCFF>誰不敢應戰了！我早就想和你一決勝負了，CZ75……就在今天決出誰才是真正的強者吧。</color>+<color=#00CCFF>領班雖然約好，但也不是不能改！你要是贏了我，我就通告大家今晚你負責帶頭！</color>
NZ75(0);CZ75(0)<Speaker>CZ75</Speaker>||:<color=#00CCFF>看來你也不是純粹的軟包子。</color>+<color=#00CCFF>那就說定了，八點鐘基地入口見。</color>
NZ75(0)<Speaker>NZ75</Speaker>;CZ75(0)||:<color=#00CCFF>廣場嗎？呼……</color>+<color=#00CCFF>約好了，八點見。</color>+<color=#00CCFF>既然你想讓落敗的狼狽樣子被所有人看見，我當然也會成全你的。</color>
CZ75(0)||:NZ75掛斷了通訊。+望著掛在衣櫃裡的新衣，CZ75握緊了拳頭。
CZ75(0)||<黑点1><BGM>BGM_Empty</BGM>:我會讓你知道的，NZ75……我才是最正統，最優秀的！
()<Speaker></Speaker>||<BIN>161</BIN><黑点2><Night><BGM>BGM_Hello</BGM>:稍後，格里芬基地前。
CZ75(4)<Speaker>CZ75</Speaker>||:竟然按時到了，沒有逃跑……不錯嘛，NZ75。
NZ75(4)<Speaker>NZ75</Speaker>;CZ75(4)||:我不會退讓的，CZ75。我會讓你知道，我比較強！+所以，決鬥的內容是什麼？
NZ75(4);CZ75(4)<Speaker>CZ75</Speaker>||:我也不打算占你的便宜，以我之長攻你之短。+就比你去年春節給指揮官表演過的那個吧。
NZ75(4)<Speaker>CZ75</Speaker><Shake>;CZ75(4)||:什……什麼，你這傢伙！
NZ75(4);CZ75(4)<Speaker>CZ75</Speaker>||:出色的平衡和協調性，這是你自豪的東西吧？+我會從正面擊敗你，拿回我應得的榮譽！
NZ75(4);97type(2)<Speaker>97式</Speaker>||:真熱鬧啊，在說什麼？+我也能參與進來嗎？
NZ75(4)<Speaker>NZ75</Speaker>;97type(2)||:哼……哼，看你應該也不是故意要讓我丟臉……那麼我接受了。+你來得正好，97式。+我和CZ75要舉行一場決鬥，能拜託你做裁判嗎？
95type(4)<Speaker>95式</Speaker>;97type(2)||:別亂湊熱鬧，97。
