()<Speaker></Speaker>||<BIN>82</BIN><BGM>BGM_Empty</BGM>:
()||<BGM>GF_Memorial</BGM>:グリフィン人形宿舎内にて。
()||:CZ52は机のそばに腰かけ、机の上に広げてあった//nボロボロの古い小冊子を真剣に読んでいた。
CZ52(0)<Speaker>CZ52</Speaker>||:「小さな池の真ん中に、白と緑の陶土で作られた東屋が建っている。」+「硬玉でできた橋が、虎の背のように東屋に向かって架かっている。」+「小さな家に籠る朋友の中には、美しく着飾り、杯を交わし、詩を綴る者もいる。」
CZ52(0)<Speaker>CZ52</Speaker>||:これは、絵に描いたような美しい場所で、//n友達とお酒を飲んでいたことを歌った詩なのでしょうか。+とても美しいです……
()||:CZ52は読みながら、詩の中で描写されている情景を//n心の中で思い描いていた。+が、集中していたあまり、ドアのノック音に気付くことが出来なかった。
？？？()<Speaker>？？？</Speaker>||:CZ52、いますか？
CZ52(0)<Speaker>CZ52</Speaker>||:「橋が逆さの三日月の如く、水面に浮かんでいる」……そんな情景見てみたいなあ。+しかし、不明部分がいくつかあるので、//nもし機会があったら95にご教授願いましょう……
？？？()<Speaker>？？？</Speaker>||:あれ、開いてる？+あのう、お邪魔します……？
()||:ドアが開く。+ドアの開く音に気付いたCZ52はその場で飛び上がり、//n勢いよくドアのあった方を向いた。
CZ52(0)<Speaker>CZ52</Speaker>||<BGM>BGM_Empty</BGM>:誰！？
？？？()<Speaker>？？？</Speaker>||<BGM>BGM_Hello</BGM>:き、きゃっ！！
Type88(0)<Speaker></Speaker><Position>1000,0</Position><Shake>||:侵入者が、玄関にあった物置棚の背後にサッと隠れた。+CZ52は、物置棚からはみ出た耳がビクビク震えていることに気が付いた。
CZ52(0)<Speaker>CZ52</Speaker>||:ごめんなさい……驚かせてしまいましたか？
Type88(0)<Speaker></Speaker><Position>1000,0</Position>||:物置棚から見える耳の動きが止まり。
()||:耳の持ち主が、緊張しながらCZ52前に姿を現した。
Type88(0)<Speaker>88式</Speaker>||:こんにちは……今回春節のイベントを任された88式です……+一応ノックはしたのですが、本に夢中になっていたようなので、//n勝手に入ってしまいました……ごめんなさい……
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:いえいえ、没頭し過ぎた私の落ち度です。+待ってください、いま春節イベント……と仰いましたか？//n東方の新年に行われる？
CZ52(0);Type88(0)<Speaker>88式</Speaker>||:はい……今年の担当は私なんです。+ここへ来たのも、あなたの助力を得たくて……
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:本当ですか？私、何を手伝ったらいいですかね？
CZ52(0);Type88(0)<Speaker>88式</Speaker>||:え、やってくれるということですか？
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:はい。私、この祝祭日にとっても興味があります。+提灯をかけて、豪勢な晩餐をいただくんですよね？+そうだ。以前、窓と壁に装飾が施されていたことを思い出しました。ああいうのでしたら、私でもお手伝いできますよ！
