()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()||<黑屏2><BIN>81</BIN><BGM>m_avg_casual</BGM>:……+稍晚些时候，咖啡厅内。
GepardM1(6)<Speaker>猎豹M1</Speaker>||:……+好占地方啊。
GepardM1(6);M1903(2)<Speaker>春田</Speaker>||:是呀，没想到指挥官和刘易斯会搞来这么大一棵杉树呢。
GepardM1(6)<Speaker>猎豹M1</Speaker>;M1903(2)||:……不明白，这到底有什么用，还把地板弄得脏兮兮的。+……好多泥巴。
GepardM1(6);M1903(2)<Speaker>春田</Speaker>||:的确有些难收拾，还要稍微修剪一下才能使用。+不过，用这样一棵树来装饰的话，一定可以做出相当漂亮的圣诞树。
GepardM1(6)<Speaker>猎豹M1</Speaker>;M1903(2)||:用假树也可以的吧……
GepardM1(6);M1903(2)<Speaker>春田</Speaker>||:虽然也不是不行……不过不觉得那样很没有意思吗？+说起来，从早上开始你就在这里呢，猎豹。+不会很无聊吗？
GepardM1(6)<Speaker>猎豹M1</Speaker>;M1903(2)||:难得假期……我想悠闲地度过。+而且春田小姐冲的咖啡……很合我的口味。
GepardM1(6);M1903(2)<Speaker>春田</Speaker>||:这样……非常感谢，要续杯吗？
GepardM1(6)<Speaker>猎豹M1</Speaker>;M1903(2)||:拜托了……
GepardM1(6);M1903(2)<Speaker>春田</Speaker>||:嗯，打扫完之后，我还得去看看采买的情况，今天会很忙呢。+你接下来也一个人待着吗？
GepardM1(6)<Speaker>猎豹M1</Speaker>;M1903(2)||:应该……没有问题。+我一个人待着也挺好的。
GepardM1(6);M1903(2)<Speaker>春田</Speaker>||:好的，那就拜托你看店啦。
GepardM1(6)<Speaker>猎豹M1</Speaker>||<黑点1>:嗯……
NPC-Kalin(0)<Speaker>格琳娜</Speaker>||<黑点2>:春田小姐！+咦……春田小姐不在吗？
GepardM1(6)<Speaker>猎豹M1</Speaker>;NPC-Kalin(0)||:格琳娜小姐……春田小姐的话，刚才去忙别的事情了。
GepardM1(6);NPC-Kalin(3)<Speaker>格琳娜</Speaker>||:这就头疼了啊……
GepardM1(6)<Speaker>猎豹M1</Speaker>;NPC-Kalin(3)||:……格琳娜小姐看起来也很忙的样子，是在做什么事情吗？
GepardM1(6);NPC-Kalin(0)<Speaker>格琳娜</Speaker>||:我也在帮忙做圣诞晚会的准备哦，指挥官被刘易斯折腾得不轻，根本叫不起来。+所以现在暂时由我来负责统筹进度。
GepardM1(6)<Speaker>猎豹M1</Speaker>;NPC-Kalin(0)||:这样……那找春田小姐是要做什么呢？
NPC-Kalin(3)<Speaker>格琳娜</Speaker>||:唔……你也看到了吧？
()||:格琳娜用拿着文件夹的手示意了一下摆放在咖啡厅正中央的冷杉树。
NPC-Kalin(3)<Speaker>格琳娜</Speaker>||:刘易斯和指挥官费了很大的劲才把它带回来呢。+当然主要是刘易斯在出力啦。
GepardM1(6)<Speaker>猎豹M1</Speaker>;NPC-Kalin(3)||:嗯……刚才我跟春田小姐也有聊到……+它怎么了吗？除了很占地方之外还添了别的麻烦吗？
GepardM1(6);NPC-Kalin(5)<Speaker>格琳娜</Speaker>||:总觉得你对它怨气蛮大的样子呢……也没有到添麻烦的地步。
GepardM1(6);NPC-Kalin(3)<Speaker>格琳娜</Speaker>||:你看，作为圣诞树来说，这棵树的树冠稍微有点太宽了吧？而且上面还有不少泥沙和雪。+不好好做清理和修剪的话，是没有办法当成圣诞树来使用的。
GepardM1(6)<Speaker>猎豹M1</Speaker>;NPC-Kalin(3)||:格琳娜小姐是来做修剪的吗？
GepardM1(6);NPC-Kalin(5)<Speaker>格琳娜</Speaker>||:哈哈……我要是干得了的话也可以啊，很可惜凭我的本事，就算修到晚上也修不完。
GepardM1(6);NPC-Kalin(3)<Speaker>格琳娜</Speaker>||:而且我还有其他工作要做，现在可是彻底的人手不足啊。+我来找春田本打算跟她商量一下找谁来帮忙的，但看来她也没有余力呢。
