enemy_illustration_skill-10000001,普通射撃
enemy_illustration_skill-20000001,自身に最も近い敵を攻撃する
enemy_illustration_skill-10000002,通常射撃
enemy_illustration_skill-20000002,敵部隊の最前列にいる人形を攻撃する
enemy_illustration_skill-10000003,普通打撃
enemy_illustration_skill-20000003,近接武器を用い自身に最も近い敵を攻撃する
enemy_illustration_skill-10000004,SWAP・ガード
enemy_illustration_skill-20000004,6秒の間、最大HPの30%と同数のダメージを吸収するシールドを展開する。//n持続時間中、自身は通常攻撃を行うことは出来ない。
enemy_illustration_skill-10000005,SWAP・イェーガー
enemy_illustration_skill-20000005,2.5秒かけて敵の最後列にいる敵に照準を合わせ、狙撃攻撃を1回行う。
enemy_illustration_skill-10000006,SWAPストライカーのマシンガンスキル
enemy_illustration_skill-20000006,敵前列にいる敵にマシンガンで攻撃を行う。
enemy_illustration_skill-10000007,SWAP・ドラグーン
enemy_illustration_skill-20000007,戦闘開始時、味方のドラグーンが敵方向に高速で突撃を行う。//n敵が射程範囲内に入ると突撃は停止する。
enemy_illustration_skill-10000008,精確打撃
enemy_illustration_skill-20000008,敵最後列の敵をランダムに選択し、手榴弾を投擲する。//n攻撃予告終了後、着弾した敵に高ダメージを与える。
enemy_illustration_skill-10000009,イージスの防護
enemy_illustration_skill-20000009,6秒の間、最大HPの30%と同数のダメージを吸収するシールドを展開する。//n持続時間中、自身は通常攻撃を行うことは出来ない。
enemy_illustration_skill-10000010,ニーマムの砲撃
enemy_illustration_skill-20000010,最前列の敵に砲撃を行う。
enemy_illustration_skill-10000011,自爆
enemy_illustration_skill-20000011,敵を感知するまで前進し、感知後すぐさま自爆し周辺の敵に大ダメージを与える。
enemy_illustration_skill-10000012,ジュピターの砲撃
enemy_illustration_skill-20000012,高火力の砲撃を行う。自身の存在するマスが包囲され電源を切断されてしまった場合、自衛のための最低限の武装以外使うことができなくなる。
enemy_illustration_skill-10000013,マンティコアの射撃
enemy_illustration_skill-20000013,敵部隊の最前列にいる人形を攻撃する
enemy_illustration_skill-10000014,ケリュネティスの射撃
enemy_illustration_skill-20000014,比較的遠い地点から、高速連射が可能な火砲で最前列の敵を攻撃する。
enemy_illustration_skill-10000015,キュクロープスのライフル
enemy_illustration_skill-20000015,ライフルで最前列の敵にダメージを与える。
enemy_illustration_skill-10000016,キュクロープス・榴弾
enemy_illustration_skill-20000016,ランダムに敵に爆破榴弾を投擲し、範囲ダメージを与える。
enemy_illustration_skill-10000017,キュクロープス・散弾
enemy_illustration_skill-20000017,ショットガンで地震に最も近い敵三体にダメージを与える。
enemy_illustration_skill-10000018,掃射
enemy_illustration_skill-20000018,攻撃3回ごとに1回掃射を行い、前方の一定範囲内に存在する敵に大ダメージを与える。
enemy_illustration_skill-10000019,ダクティルの地雷設置
enemy_illustration_skill-20000019,前方に移動し、敵を感知すると地雷を設置する。地雷は敵が踏むことで起爆し、踏んだ敵はダメージを受ける。
enemy_illustration_skill-10000020,レールガン
enemy_illustration_skill-20000020,一定時間チャージを行い、横一列に存在する敵に全てに貫通ダメージを与える。
enemy_illustration_skill-10000021,生産
