gun_charavoice-10000001,入手
gun_charavoice-10000002,挨拶
gun_charavoice-10000003,部隊編入
gun_charavoice-10000004,強化完了
gun_charavoice-10000005,コミュニケーション1
gun_charavoice-10000006,コミュニケーション2
gun_charavoice-10000007,コミュニケーション3
gun_charavoice-10000031,コミュニケーション4
gun_charavoice-10000009,出撃
gun_charavoice-10000010,敵と遭遇
gun_charavoice-10000013,重傷
gun_charavoice-10000014,勝利
gun_charavoice-10000015,撤退
gun_charavoice-10000016,新年
gun_charavoice-10000017,バレンタイン
gun_charavoice-10000018,七夕
gun_charavoice-10000019,ハロウィン
gun_charavoice-10000020,クリスマス
gun_charavoice-10000021,スキル1
gun_charavoice-10000022,スキル2
gun_charavoice-10000023,スキル3
gun_charavoice-10000024,後方支援開始
gun_charavoice-10000025,後方支援完了
gun_charavoice-10000026,修復
gun_charavoice-10000027,編制拡大
gun_charavoice-10000028,自律作戦
gun_charavoice-10000029,誓約
gun_charavoice-10000030,タイトルコール
gun_charavoice-10000041,ローディング
gun_charavoice-10000048,口癖
gun_charavoice-10000042,友人譚-デザートイーグル
gun_charavoice-10000043,友人譚-HK45
gun_charavoice-10000044,友人譚-Spectre M4
gun_charavoice-10000045,友人譚-HK45
gun_charavoice-10000046,友人譚-デザートイーグル
gun_charavoice-10000047,友人譚-デザートイーグル
