gun_tag-10000101,前衛
gun_tag-20000101,生存力が高いため、前衛に適している
gun_tag-10000102,後衛
gun_tag-20000102,生存力が低いため、後衛に適している
gun_tag-10000103,高火力
gun_tag-20000103,火力が高く、大量のダメージを与えることができる
gun_tag-10000104,ザ・タンク
gun_tag-20000104,生存力が高く、盾役として大量のダメージを吸収できる
gun_tag-10000105,支援エキスパート
gun_tag-20000105,隊員の生存力/火力を効果的に上昇させられる
gun_tag-10000106,防御貫通
gun_tag-20000106,破甲装備をつけることで、装甲タイプの敵を効果的に撃退できる
gun_tag-10000107,夜間作戦
gun_tag-20000107,暗視装置を装備することで、夜戦における命中を上げられる
gun_tag-10000108,高回避
gun_tag-20000108,回避が高く、敵の攻撃を効果的にかわせる
gun_tag-10000109,高防御
gun_tag-20000109,防御力が高く、敵の破甲タイプでない攻撃を効果的に受け止められる
gun_tag-10000110,高火力
gun_tag-20000110,火力が高く、敵に大きな単発ダメージを与えられる
gun_tag-10000111,高射速
gun_tag-20000111,射速が高く、敵に素早く複数回のダメージを与えられる
gun_tag-10000112,高HP
gun_tag-20000112,HPが高く、たくさんの攻撃にも耐えられる
gun_tag-10000113,高会心率
gun_tag-20000113,会心率が高く、敵に高確率で会心ダメージを与えられる
gun_tag-10000115,高速移動
gun_tag-20000115,移動速度が速く、事前警告のある敵スキルを簡単にかわせる
gun_tag-10000116,低速移動
gun_tag-20000116,移動速度が遅く、事前警告のある敵スキルを簡単にかわせる
gun_tag-10000114,強力な陣形効果
gun_tag-20000114,陣形効果が強力で、他の隊員に様々な支援を行える
gun_tag-10000138,専用装備
gun_tag-20000138,強力な専用装備を装備することで、作戦能力を大幅に引き上げられる
gun_tag-10000117,爆発火力
gun_tag-20000117,スキルを発動すると、短時間で敵に大ダメージを与えられる
gun_tag-10000118,火力持続
gun_tag-20000118,スキルを発動すると、長い時間かけて安定した火力を供給できる
gun_tag-10000119,単体高火力
gun_tag-20000119,通常攻撃やスキルにより敵単体に大ダメージを与えられる
gun_tag-10000120,多体殺傷
gun_tag-20000120,通常攻撃やスキルにより敵複数体に有効なダメージを与えられる
gun_tag-10000121,範囲ダメージ
gun_tag-20000121,通常攻撃やスキルにより、一定範囲内の全ての編成の敵にダメージを与えられる
gun_tag-10000122,ダメージ無効
gun_tag-20000122,短い間、自身へのダメージを無効にするスキルを持つ
gun_tag-10000123,目まい
gun_tag-20000123,敵を目まい状態にさせるスキルを持つ
gun_tag-10000124,貫通
gun_tag-20000124,直線上の敵すべてにダメージを与えられるスキルを持つ
gun_tag-10000125,ノックバック
gun_tag-20000125,通常攻撃やスキルで敵をノックバックさせられる
gun_tag-10000126,後衛殺傷
gun_tag-20000126,通常攻撃やスキルで、最も遠い敵の後衛を優先的に攻撃できる
gun_tag-10000127,ダメージUP
gun_tag-20000127,味方の火力を上昇させられる。
gun_tag-10000128,回避UP
gun_tag-20000128,味方の回避を上昇させられる。
gun_tag-10000129,命中UP
gun_tag-20000129,味方の命中を上昇させられる。
gun_tag-10000130,射速UP
gun_tag-20000130,味方の射速を上昇させられる。
gun_tag-10000131,会心率UP
gun_tag-20000131,味方の会心率を上昇させられる。
gun_tag-10000132,火力DOWN
gun_tag-20000132,敵の火力を低下させられる
gun_tag-10000133,回避DOWN
gun_tag-20000133,敵の回避を低下させられる。
gun_tag-10000134,命中DOWN
gun_tag-20000134,敵の命中を低下させられる。
gun_tag-10000135,射速DOWN
gun_tag-20000135,敵の射速を低下させられる。
gun_tag-10000136,夜戦スキル
gun_tag-20000136,強力な夜戦スキルを持っており、夜戦で高い作戦能力を発揮できる
gun_tag-10000137,ダメージ追加
gun_tag-20000137,短い間、敵が受けるダメージを増加させるスキルを持つ
