main_quest-10000001,作戦完了：通常1-1
main_quest-20000001,通常【1-1】を初クリアし、銅星勲章を獲得。
main_quest-10000002,作戦完了：通常1-2
main_quest-20000002,通常【1-2】を初クリアし、銅星勲章を獲得。
main_quest-10000003,作戦完了：通常1-3
main_quest-20000003,通常【1-3】を初クリアし、銅星勲章を獲得。
main_quest-10000004,作戦完了：通常1-4
main_quest-20000004,通常【1-4】を初クリアし、銅星勲章を獲得。
main_quest-10000005,作戦完了：通常1-5
main_quest-20000005,通常【1-5】を初クリアし、銅星勲章を獲得。
main_quest-10000006,作戦完了：通常1-6
main_quest-20000006,通常【1-6】を初クリアし、銅星勲章を獲得。
main_quest-10000007,作戦完了：通常2-1
main_quest-20000007,通常【2-1】を初クリアし、銅星勲章を獲得。
main_quest-10000008,作戦完了：通常2-2
main_quest-20000008,通常【2-2】を初クリアし、銅星勲章を獲得。
main_quest-10000009,作戦完了：通常2-3
main_quest-20000009,通常【2-3】を初クリアし、銅星勲章を獲得。
main_quest-10000010,作戦完了：通常2-4
main_quest-20000010,通常【2-4】を初クリアし、銅星勲章を獲得。
main_quest-10000011,作戦完了：通常2-5
main_quest-20000011,通常【2-5】を初クリアし、銅星勲章を獲得。
main_quest-10000012,作戦完了：通常2-6
main_quest-20000012,通常【2-6】を初クリアし、銅星勲章を獲得。
main_quest-10000013,作戦完了：通常3-1
main_quest-20000013,通常【3-1】を初クリアし、銅星勲章を獲得。
main_quest-10000014,作戦完了：通常3-2
main_quest-20000014,通常【3-2】を初クリアし、銅星勲章を獲得。
main_quest-10000015,作戦完了：通常3-3
main_quest-20000015,通常【3-3】を初クリアし、銅星勲章を獲得。
main_quest-10000016,作戦完了：通常3-4
main_quest-20000016,通常【3-4】を初クリアし、銅星勲章を獲得。
main_quest-10000017,作戦完了：通常3-5
main_quest-20000017,通常【3-5】を初クリアし、銅星勲章を獲得。
main_quest-10000018,作戦完了：通常3-6
main_quest-20000018,通常【3-6】を初クリアし、銅星勲章を獲得。
main_quest-10000019,作戦完了：通常4-1
main_quest-20000019,通常【4-1】を初クリアし、銅星勲章を獲得。
main_quest-10000020,作戦完了：通常4-2
main_quest-20000020,通常【4-2】を初クリアし、銅星勲章を獲得。
main_quest-10000021,作戦完了：通常4-3
main_quest-20000021,通常【4-3】を初クリアし、銅星勲章を獲得。
main_quest-10000022,作戦完了：通常4-4
main_quest-20000022,通常【4-4】を初クリアし、銅星勲章を獲得。
main_quest-10000023,作戦完了：通常4-5
main_quest-20000023,通常【4-5】を初クリアし、銅星勲章を獲得。
main_quest-10000024,作戦完了：通常4-6
main_quest-20000024,通常【4-6】を初クリアし、銅星勲章を獲得。
main_quest-10000025,作戦完了：緊急1-1
main_quest-20000025,緊急【1-1】を初クリアし、銅星勲章を獲得。
main_quest-10000026,作戦完了：緊急1-2
main_quest-20000026,緊急【1-2】を初クリアし、銅星勲章を獲得。
main_quest-10000027,作戦完了：緊急1-3
main_quest-20000027,緊急【1-3】を初クリアし、銅星勲章を獲得。
main_quest-10000028,作戦完了：緊急1-4
main_quest-20000028,緊急【1-4】を初クリアし、銅星勲章を獲得。
main_quest-10000029,作戦完了：緊急2-1
main_quest-20000029,緊急【2-1】を初クリアし、銅星勲章を獲得。
main_quest-10000030,作戦完了：緊急2-2
main_quest-20000030,緊急【2-2】を初クリアし、銅星勲章を獲得。
main_quest-10000031,作戦完了：緊急2-3
main_quest-20000031,緊急【2-3】を初クリアし、銅星勲章を獲得。
main_quest-10000032,作戦完了：緊急2-4
main_quest-20000032,緊急【2-4】を初クリアし、銅星勲章を獲得。
main_quest-10000033,作戦完了：緊急3-1
main_quest-20000033,緊急【3-1】を初クリアし、銅星勲章を獲得。
main_quest-10000034,作戦完了：緊急3-2
main_quest-20000034,緊急【3-2】を初クリアし、銅星勲章を獲得。
main_quest-10000035,作戦完了：緊急3-3
main_quest-20000035,緊急【3-3】を初クリアし、銅星勲章を獲得。
main_quest-10000036,作戦完了：緊急3-4
main_quest-20000036,緊急【3-4】を初クリアし、銅星勲章を獲得。
main_quest-10000037,作戦完了：緊急4-1
main_quest-20000037,緊急【4-1】を初クリアし、銅星勲章を獲得。
main_quest-10000038,作戦完了：緊急4-2
main_quest-20000038,緊急【4-2】を初クリアし、銅星勲章を獲得。
main_quest-10000039,作戦完了：緊急4-3
main_quest-20000039,緊急【4-3】を初クリアし、銅星勲章を獲得。
main_quest-10000040,作戦完了：緊急4-4
main_quest-20000040,緊急【4-4】を初クリアし、銅星勲章を獲得。
main_quest-10000041,極秘任務：0-1
main_quest-20000041,【0-1】を初クリアし、銅星勲章を獲得。
main_quest-10000042,極秘任務：0-2
main_quest-20000042,【0-2】を初クリアし、銅星勲章を獲得。
main_quest-10000043,極秘任務：0-3
main_quest-20000043,【0-3】を初クリアし、銅星勲章を獲得。
main_quest-10000044,極秘任務：0-4
main_quest-20000044,【0-4】を初クリアし、銅星勲章を獲得。
main_quest-10000045,全域封鎖：通常1-1
main_quest-20000045,通常【1-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000046,全域封鎖：通常1-2
main_quest-20000046,通常【1-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000047,全域封鎖：通常1-3
main_quest-20000047,通常【1-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000048,全域封鎖：通常1-4
main_quest-20000048,通常【1-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000049,全域封鎖：通常1-5
main_quest-20000049,通常【1-5】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000050,全域封鎖：通常1-6
main_quest-20000050,通常【1-6】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000051,全域封鎖：通常2-1
main_quest-20000051,通常【2-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000052,全域封鎖：通常2-2
main_quest-20000052,通常【2-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000053,全域封鎖：通常2-3
main_quest-20000053,通常【2-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000054,全域封鎖：通常2-4
main_quest-20000054,通常【2-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000055,全域封鎖：通常2-5
main_quest-20000055,通常【2-5】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000056,全域封鎖：通常2-6
main_quest-20000056,通常【2-6】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000057,全域封鎖：通常3-1
main_quest-20000057,通常【3-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000058,全域封鎖：通常3-2
main_quest-20000058,通常【3-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000059,全域封鎖：通常3-3
main_quest-20000059,通常【3-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000060,全域封鎖：通常3-4
main_quest-20000060,通常【3-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000061,全域封鎖：通常3-5
main_quest-20000061,通常【3-5】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000062,全域封鎖：通常3-6
main_quest-20000062,通常【3-6】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000063,全域封鎖：通常4-1
main_quest-20000063,通常【4-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000064,全域封鎖：通常4-2
main_quest-20000064,通常【4-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000065,全域封鎖：通常4-3
main_quest-20000065,通常【4-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000066,全域封鎖：通常4-4
main_quest-20000066,通常【4-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000067,全域封鎖：通常4-5
main_quest-20000067,通常【4-5】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000068,全域封鎖：通常4-6
main_quest-20000068,通常【4-6】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000069,全域封鎖：緊急1-1
main_quest-20000069,緊急【1-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000070,全域封鎖：緊急1-2
main_quest-20000070,緊急【1-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000071,全域封鎖：緊急1-3
main_quest-20000071,緊急【1-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000072,全域封鎖：緊急1-4
main_quest-20000072,緊急【1-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000073,全域封鎖：緊急2-1
main_quest-20000073,緊急【2-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000074,全域封鎖：緊急2-2
main_quest-20000074,緊急【2-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000075,全域封鎖：緊急2-3
main_quest-20000075,緊急【2-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000076,全域封鎖：緊急2-4
main_quest-20000076,緊急【2-4】の全拠点を占領し、銀星勲章を獲得。
