mission_echo_info-10000001,ヘルファイア
mission_echo_info-20000001,束の間の希望を経て、ART556とP7の冒険は終わりを迎えた。
mission_echo_info-30000001,エージェントVector：P7……ART556……$<color=#00BFFF>ディーマ：エージェント！何があった！</color>$エージェントVector：……ファングに気付かれてしまった。$エージェントVector：グリフィンの二人は彼女に殺された。$<color=#00BFFF>ディーマ：くそ……</color>$<color=#00BFFF>ディーマ：……お前は？お前は彼女の攻撃を受けなかったのか？</color>$エージェントVector：ええ、彼女は……あたしに攻撃をすることなく去っていった。$エージェントVector：……追撃をお願い。$<color=#00BFFF>ディーマ：わかった。気を付けて行動してくれよな……データに少し異常が見られるぞ、お前。</color>$<color=#00BFFF>ディーマ：それと、あいつの策には嵌らないようにしろよ。</color>$エージェントVector：了解。
mission_echo_info-10000002,ファング
mission_echo_info-20000002,ファングの追跡中、ディーマが最も恐れていた事態が発生してしまった。
mission_echo_info-30000002,エージェントVector：ファングを発見した！$ディーマ：待て……エージェントVector。$ディーマ：不要な行動は控えるんだ！$ファング：懐かしい匂いがすると思ったら……なるほどね。$ファング：あなたは私と「同じ」なのね。$エージェントVector：なっ……！$ディーマ：エージェント？Vector？$ディーマ：どうした！応答せよ！$ファング：私たちに命を与えてくれた神様へ感謝しましょう。$ファング：そして、彼女の心臓にそのナイフを突き立てなさい。$エージェントVector？：あたしは……$ファング：――誰かのコピーになってはいけないわ、戦友。$エージェントVector？：あたしは……地獄で燃え滾る復讐の炎！$ディーマ：――お、おしまいだ。$ファング：よく言えたわね。私たち、うまくやっていけそうね、ヘルファイア。$ヘルファイア：そうだね。$ヘルファイア：父の血でもって、その罪を償わせてあげないと。$【通信切断】
mission_echo_info-10000003,ファング＆ヘルファイア
mission_echo_info-20000003,仲間の救援を急ぐあまり、暗闇から自身を捉える眼光に、Vectorは気付いていなかった。
mission_echo_info-30000003,Vector：R93？K5？$Vector：まずい……はやく彼女たちと合流しないと！$ファング：……$ファング：……彼女が、「戦術人形Vector」なのね。$<color=#00BFFF>ディーマ：な、なにをするつもりだ！勝手なマネはやめろよ！</color>$ファング：どうして私にも同じように興味を持ってくれないのかしら、妬けるわね。$<color=#00BFFF>ディーマ：ヒェッ――トリハダ立った！</color>$ファング：ふふ……まぁいいわ。$ファング：はやく片付けちゃいましょう。$ファング：ヘルファイアが見たらきっと機嫌を悪くするだろうから。
mission_echo_info-10000004,ファング＆ヘルファイア
mission_echo_info-20000004,空を掠めるヘリコプター、そして最後の戦場へと向かう二人。
mission_echo_info-30000004,ヘリコプターのけたたましいプロペラ音が辺りを包んでいる。$ファング：ゲームが終わりそうね。$ヘルファイア：……あたしたちはこのまま虚無へと還るのかな？$ファング：私たちは存在していた、それは確かよ、ヘルファイア。$ファング：これからどうなろうと、私たちはお互いのことを覚えているわ。$ヘルファイア：あたしは消えたくない。$ヘルファイア：業火が暗闇を飲み込むまでは……$ファング：……$ファング：……消えないわ、ヘルファイア。私たちは終わったりしない。$ファング：ゲームが続きさえすれば、私たちは消えない。$<color=#00BFFF>ローグエージェント：ファングに報告。ヘリを捉えた、対空ミサイルもすでに準備できている。いつでも発射できるぞ。</color>$ファング：あなたには私一人がいれば十分よね……ディーマ。$ヘルファイア：……$ファング：二人でもいいわよ。$ファング：行きましょう、ヘルファイア。
