mission_targettrain-10170101,カスタムターゲット
mission_targettrain-20170101,【指揮官の皆様方により戦闘に慣れていただくため、グリフィンは模擬ターゲットシステムを開発しました。//nこのシステムでは狙った仮想敵を配置し、自身の部隊を配置したうえで模擬作戦を行うことができます。】
mission_targettrain-10170102,カスタムターゲット
mission_targettrain-20170102,【指揮官の皆様方により戦闘に慣れていただくため、グリフィンは模擬ターゲットシステムを開発しました。//nこのシステムでは狙った仮想敵を配置し、自身の部隊を配置したうえで模擬作戦を行うことができます。】
mission_targettrain-10170103,カスタムターゲット
mission_targettrain-20170103,【指揮官の皆様方により戦闘に慣れていただくため、グリフィンは模擬ターゲットシステムを開発しました。//nこのシステムでは狙った仮想敵を配置し、自身の部隊を配置したうえで模擬作戦を行うことができます。】
mission_targettrain-10170104,カスタムターゲット
mission_targettrain-20170104,【指揮官の皆様方により戦闘に慣れていただくため、グリフィンは模擬ターゲットシステムを開発しました。//nこのシステムでは狙った仮想敵を配置し、自身の部隊を配置したうえで模擬作戦を行うことができます。】
mission_targettrain-10170105,カスタムターゲット
mission_targettrain-20170105,【指揮官の皆様方により戦闘に慣れていただくため、グリフィンは模擬ターゲットシステムを開発しました。//nこのシステムでは狙った仮想敵を配置し、自身の部隊を配置したうえで模擬作戦を行うことができます。】
mission_targettrain-10170201,演習ターゲット
mission_targettrain-20170201,【指揮官の皆様方により戦闘に慣れていただくため、グリフィンは模擬ターゲットシステムを開発しました。//nこのシステムでは狙った仮想敵を配置し、自身の部隊を配置したうえで模擬作戦を行うことができます。】
mission_targettrain-10170202,演習ターゲット
mission_targettrain-20170202,【指揮官の皆様方により戦闘に慣れていただくため、グリフィンは模擬ターゲットシステムを開発しました。//nこのシステムでは狙った仮想敵を配置し、自身の部隊を配置したうえで模擬作戦を行うことができます。】
mission_targettrain-10170203,演習ターゲット
mission_targettrain-20170203,【指揮官の皆様方により戦闘に慣れていただくため、グリフィンは模擬ターゲットシステムを開発しました。//nこのシステムでは狙った仮想敵を配置し、自身の部隊を配置したうえで模擬作戦を行うことができます。】
mission_targettrain-10170204,演習ターゲット
mission_targettrain-20170204,【指揮官の皆様方により戦闘に慣れていただくため、グリフィンは模擬ターゲットシステムを開発しました。//nこのシステムでは狙った仮想敵を配置し、自身の部隊を配置したうえで模擬作戦を行うことができます。】
mission_targettrain-10170205,演習ターゲット
mission_targettrain-20170205,【指揮官の皆様方により戦闘に慣れていただくため、グリフィンは模擬ターゲットシステムを開発しました。//nこのシステムでは狙った仮想敵を配置し、自身の部隊を配置したうえで模擬作戦を行うことができます。】
mission_targettrain-10170301,ケルベロス
mission_targettrain-20170301,特殊ターゲット-ケルベロス、ターゲット開放期間中は全員の挑戦時間及び対応する挑戦データが記録されます。指揮官同士で高め合いましょう！
mission_targettrain-10170401,エゴール
mission_targettrain-20170401,特殊ターゲット-エゴール、ターゲット開放期間中は全員の挑戦時間及び対応する挑戦データが記録されます。指揮官同士で高め合いましょう！
mission_targettrain-10170501,失格異性体
mission_targettrain-20170501,特殊ターゲット-失格異性体、ターゲット開放期間中は全員の挑戦時間及び対応する挑戦データが記録されます。指揮官同士で高め合いましょう！
mission_targettrain-10170601,M16A1!
mission_targettrain-20170601,特殊ターゲット-M16A1!、ターゲット開放期間中は全員の挑戦時間及び対応する挑戦データが記録されます。指揮官同士で高め合いましょう！
mission_targettrain-10170701,
mission_targettrain-20170701,特殊ターゲット-掩護中隊、ターゲット開放期間中は全員の挑戦時間及び対応する挑戦データが記録されます。指揮官同士で高め合いましょう！
mission_targettrain-10170801,
mission_targettrain-20170801,
mission_targettrain-10170901,
mission_targettrain-20170901,
mission_targettrain-10171001,
mission_targettrain-20171001,
mission_targettrain-10171101,
mission_targettrain-20171101,
mission_targettrain-10171201,
mission_targettrain-20171201,
mission_targettrain-10171301,
mission_targettrain-20171301,
mission_targettrain-10171401,収集ターゲット
mission_targettrain-20171401,
mission_targettrain-10171501,
mission_targettrain-20171501,
mission_targettrain-10171601,
mission_targettrain-20171601,
mission_targettrain-10171701,
mission_targettrain-20171701,
mission_targettrain-10171801,
mission_targettrain-20171801,
mission_targettrain-10171901,
mission_targettrain-20171901,
mission_targettrain-10172001,岐路を指し示すビーコン
mission_targettrain-20172001,【ターゲット訓練】システムが【異性体】にて獲得した情報に基づき、その中の比較的強力な敵ユニットをシミュレートします。こちらで準備をより万全なものにしましょう！
mission_targettrain-10172101,暴雨に歌えば
mission_targettrain-20172101,【ターゲット訓練】システムが【異性体】にて獲得した情報に基づき、その中の比較的強力な敵ユニットをシミュレートします。こちらで準備をより万全なものにしましょう！
mission_targettrain-10172201,Bullet of isomer
mission_targettrain-20172201,【ターゲット訓練】システムが【異性体】にて獲得した情報に基づき、その中の比較的強力な敵ユニットをシミュレートします。こちらで準備をより万全なものにしましょう！
mission_targettrain-10172701,01：分裂·暴君
mission_targettrain-20172701,【ターゲット訓練】システムが【連鎖分裂】にて獲得した情報に基づき、その中の比較的強力な敵ユニットをシミュレートします。こちらで準備をより万全なものにしましょう！ターゲット開放期間中は全員の挑戦時間及び対応する挑戦データが記録されます。指揮官同士で高め合いましょう！
mission_targettrain-10172801,02：分裂·狩人
mission_targettrain-20172801,【ターゲット訓練】システムが【連鎖分裂】にて獲得した情報に基づき、その中の比較的強力な敵ユニットをシミュレートします。こちらで準備をより万全なものにしましょう！ターゲット開放期間中は全員の挑戦時間及び対応する挑戦データが記録されます。指揮官同士で高め合いましょう！
mission_targettrain-10172901,03：分裂·伝染
mission_targettrain-20172901,【ターゲット訓練】システムが【連鎖分裂】にて獲得した情報に基づき、その中の比較的強力な敵ユニットをシミュレートします。こちらで準備をより万全なものにしましょう！ターゲット開放期間中は全員の挑戦時間及び対応する挑戦データが記録されます。指揮官同士で高め合いましょう！
