npc_charavoice-10000001,问候
npc_charavoice-10000002,交流1
npc_charavoice-10000003,交流2
npc_charavoice-10000004,交流3
npc_charavoice-10000005,交流4
npc_charavoice-10000006,交流5
npc_charavoice-10000007,交流6
npc_charavoice-10000008,交流7
npc_charavoice-10000009,交流8
npc_charavoice-10000010,交流9
npc_charavoice-10000011,交流10
npc_charavoice-10000012,制造完成
npc_charavoice-10000013,新年
npc_charavoice-10000014,情人节
npc_charavoice-10000015,七夕
npc_charavoice-10000016,万圣节
npc_charavoice-10000017,圣诞节
npc_charavoice-10000018,早安
npc_charavoice-10000019,午安
npc_charavoice-10000020,下午好
npc_charavoice-10000021,晚上好
npc_charavoice-10000022,凌晨问候
npc_charavoice-10000023,早饭时间
npc_charavoice-10000024,中饭时间
npc_charavoice-10000025,晚饭时间
npc_charavoice-10000026,夜宵时间
npc_charavoice-10000027,娱乐时间
npc_charavoice-10000028,格里芬贡献解锁台词1
npc_charavoice-10000029,格里芬贡献解锁台词2
npc_charavoice-10000030,格里芬贡献解锁台词3
npc_charavoice-10000031,格里芬贡献解锁台词4
npc_charavoice-10000032,格里芬贡献解锁台词5
npc_charavoice-10000033,格里芬贡献解锁台词6
npc_charavoice-10000034,格里芬贡献解锁台词7
npc_charavoice-10000035,格里芬贡献解锁台词8
npc_charavoice-10000036,格里芬贡献解锁台词9
npc_charavoice-10000037,格里芬贡献解锁台词10
npc_charavoice-10000038,格里芬贡献解锁台词11
npc_charavoice-10000039,格里芬贡献解锁台词12
npc_charavoice-10000040,格里芬贡献解锁台词13
npc_charavoice-10000041,格里芬贡献解锁台词14
npc_charavoice-10000042,格里芬贡献解锁台词15
