tutorial_guide-10000100,基礎戦術
tutorial_guide-20000100,作戦指揮の基本中の基本です。これらをマスターしてから部隊を出撃させましょう。
tutorial_guide-10000101,人形獲得
tutorial_guide-20000101,まずは、戦術人形の製造方法を見てみましょう。
tutorial_guide-10000102,人形Lv上昇
tutorial_guide-20000102,人形のレベルを上げる方法を見てみましょう！
tutorial_guide-10000103,人形強化
tutorial_guide-20000103,作戦能力を上げるには、人形の強化が欠かせません。
tutorial_guide-10000104,編制拡大
tutorial_guide-20000104,人形の編制を拡大することで、作戦能力が目に見えて向上します。
tutorial_guide-10000105,スキル訓練
tutorial_guide-20000105,人形のスキルレベルを上げることもお忘れなく！
tutorial_guide-10000106,部隊編成
tutorial_guide-20000106,どう部隊を編成すればいいのか分かりませんか？ではクイック編成を試してみましょう！
tutorial_guide-10000200,入門戦術
tutorial_guide-20000200,戦闘が難しくなってきましたか？では、こちらを参考にして作戦能力を向上させましょう。
tutorial_guide-10000201,装備獲得
tutorial_guide-20000201,人形に装備を着けて、作戦能力を上げましょう！
tutorial_guide-10000202,装備強化
tutorial_guide-20000202,装備は強化することで、効果を最大限発揮できます。
tutorial_guide-10000300,中級戦術
tutorial_guide-20000300,戦術妖精がグリフィンに配備されました。彼女たちは戦闘をより順調に進めてくれるんです！
tutorial_guide-10000301,妖精獲得
tutorial_guide-20000301,戦術妖精を戦闘に参加させてみましょう！
tutorial_guide-10000302,妖精戦術
tutorial_guide-20000302,妖精を上手く使って、戦闘をより有利に進めましょう！
tutorial_guide-10000400,高次戦術
tutorial_guide-20000400,私たちが立ち向かっていくのは、より過酷な戦場です。人形のメンタルをアップグレードし、重装部隊と共に出撃させましょう！
tutorial_guide-10000401,メンタルアップグレード
tutorial_guide-20000401,人形たちをメンタルアップグレードさせ、限界突破させましょう。
tutorial_guide-10000402,重装部隊
tutorial_guide-20000402,重装部隊の準備が整いました。開発を進めましょう。
tutorial_guide-10000403,戦場支援
tutorial_guide-20000403,戦闘が困難になってきましたか？重装部隊の支援を上手く活用することで、戦局をひっくり返すことができるかもしれませんよ。
tutorial_guide-10000500,多彩生活
tutorial_guide-20000500,戦場外の生活にも楽しみが必要です。基地を飾り立てたり、人形に綺麗な服を着せてあげましょう。
tutorial_guide-10000501,宿舎編集
tutorial_guide-20000501,人形たちに暖かいお家を用意してあげましょう。
tutorial_guide-10000502,ガチャ
tutorial_guide-20000502,ガチャにて人形のスキンや家具を手に入れましょう。
tutorial_guide-10000503,ギフト贈呈
tutorial_guide-20000503,人形たちを労いたいのであれば、たまにはプレゼントをしてあげましょう。
tutorial_guide-10000504,指揮官クローゼット
tutorial_guide-20000504,人形に新しいお洋服を買ってあげるがあまりに、霞を食う羽目にならないようにしてくださいね？
tutorial_guide-10000600,基地外交
tutorial_guide-20000600,他の指揮官さまと仲良くなりましょう。友達は多いに越したことはありませんよ。
tutorial_guide-10000601,戦友追加
tutorial_guide-20000601,孤軍奮闘、戦友を作るに如かず、ですよ。
tutorial_guide-10000700,自律管理
tutorial_guide-20000700,休んでいる時間にも何かを手に入れたいですか？であれば、自律管理をしましょう。
tutorial_guide-10000701,後方支援
tutorial_guide-20000701,部隊を後方支援に派遣し、物資を手に入れましょう。
tutorial_guide-10000702,自律作戦
tutorial_guide-20000702,自律作戦を命じると、人形たちのみで戦闘に赴き、報酬や経験値を獲得してくれます。
tutorial_guide-10000703,前線基地
tutorial_guide-20000703,人形を探索へと派遣することで、豪華アイテムを手に入れることができます。
