tutorial_manual-10000100,基地ガイドブック
tutorial_manual-20000100,指揮官、まずは基地に慣れてくださいね～
tutorial_manual-10000101,基地紹介
tutorial_manual-20000101,指揮官、ここが貴方のオフィスですよ。
tutorial_manual-10000102,指揮官情報
tutorial_manual-20000102,ここでは指揮官の個人情報と副官の任命ができます。
tutorial_manual-10000103,倉庫
tutorial_manual-20000103,倉庫では指揮官の保有する人形、装備やアイテムなどを確認できます。
tutorial_manual-10000104,ショップ
tutorial_manual-20000104,欲しいものがあれば、なんでもショップで揃いますよ、
tutorial_manual-10000105,メール
tutorial_manual-20000105,メールボックスは随時確認してくださいね。
tutorial_manual-10000106,ランキング
tutorial_manual-20000106,ランキングを確認し、他の指揮官に習いましょう！
tutorial_manual-10000107,任務
tutorial_manual-20000107,何をすればいいか分からなくなったら、任務を進めましょう！
tutorial_manual-10000108,設定
tutorial_manual-20000108,自身の好みに応じてゲーム内の設定を変更できます。
tutorial_manual-10000109,図鑑
tutorial_manual-20000109,味方や敵を問わず、様々な詳細な情報をこちらで確認できます。
tutorial_manual-10000200,人形育成
tutorial_manual-20000200,戦術人形を強化したければ、他にも色々と知ってもらう必要があります。
tutorial_manual-10000201,人形紹介
tutorial_manual-20000201,異なる戦術人形の特徴を理解しましょう。
tutorial_manual-10000202,人形獲得
tutorial_manual-20000202,より多くの人形を手に入れ、部隊を強化しましょう。
tutorial_manual-10000203,人形レベルアップ
tutorial_manual-20000203,様々な手段で経験値を獲得し、人形のレベルを上げましょう。
tutorial_manual-10000204,人形強化
tutorial_manual-20000204,人形を強化し、ステータスを上げましょう。
tutorial_manual-10000205,人形修復
tutorial_manual-20000205,怪我をした人形は適宜修復しましょう。
tutorial_manual-10000206,編制拡大
tutorial_manual-20000206,人形を編制拡大することで戦力が上がり、経験値獲得量が増えます。
tutorial_manual-10000207,人形解体
tutorial_manual-20000207,人形を分解することで物資を獲得でき、レアリティの高い人形を分解するとコアが手に入ります。
tutorial_manual-10000208,スキル訓練
tutorial_manual-20000208,人形のスキルを上手く使うことが勝利への近道となります。
tutorial_manual-10000209,好感度
tutorial_manual-20000209,人形の好感度を上げるには、こういうことをしなければなりません。
tutorial_manual-10000210,着用エフェクト
tutorial_manual-20000210,特に効果はありませんが、人形がみんな可愛くなったでしょ？
tutorial_manual-10000211,人形スキン
tutorial_manual-20000211,人形たちに衣服を用意することを忘れずに。
tutorial_manual-10000212,メンタルアップグレード
tutorial_manual-20000212,人形の能力を上限突破させられます。
tutorial_manual-10000300,装備指南
tutorial_manual-20000300,装備を効率的に着用し、作戦能力を上げましょう。
tutorial_manual-10000301,装備分類
tutorial_manual-20000301,装備ごとに異なる特性を理解し、使用できる対象を確認しましょう。
tutorial_manual-10000302,装備着用
tutorial_manual-20000302,装備を効率的に着用し、最大限の能力を引き出しましょう。
tutorial_manual-10000303,装備製造
tutorial_manual-20000303,工廠内で、装備製造を完了。
tutorial_manual-10000304,装備強化
tutorial_manual-20000304,装備を強化し、ステータスを上げましょう。
tutorial_manual-10000305,装備較正
tutorial_manual-20000305,装備のステータスを引き上げることができます。
tutorial_manual-10000400,戦術妖精
tutorial_manual-20000400,戦術妖精たちを仲間に加えましょう。
tutorial_manual-10000401,妖精分類
tutorial_manual-20000401,異なるタイプの妖精は、発揮する効果もそれぞれです。
tutorial_manual-10000402,妖精製造
