()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
NPC-Shadowless(9)<Speaker>夏朵利兹</Speaker>||<BGM>BGM_Room</BGM><黑屏2><BIN>97</BIN>:等一下！
NPC-Shadowless(9)<Speaker></Speaker>||<SE1>RunStep</SE1>:熟悉的影子一闪而过，夏朵利兹从会客室内匆忙追出，却根本找不到人的踪迹。
NPC-Shadowless(6)<Speaker></Speaker>||:……
()<Speaker></Speaker>||:她站在岔道口，不甘心地瞪视着空荡荡的走廊。
()<Speaker>助理</Speaker>||:夏，夏朵！+你吓死我了……怎么了？突然跑出来？+要是格雷女士对我们的印象变差可怎么办啊！
()<Speaker></Speaker>||:身后的助理急匆匆地赶了出来，气喘吁吁地对夏朵抱怨起来。+夏朵收回了目光，看着助理，摇了摇头。
NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:抱歉，我刚才好像看到了一个熟人——+格雷女士有说什么吗？
NPC-Shadowless(8)<Speaker>助理</Speaker>||:她倒是没说什么……
NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:是吗？这女人还真够狡猾的。
NPC-Shadowless(8)<Speaker>助理</Speaker>||<震屏>:夏朵！
()<Speaker></Speaker>||:助理瞪大了眼睛。
()<Speaker>助理</Speaker>||:那可是格雷女士，你怎么能这么说她？
NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:艾丽，如果你真的想做一个好记者，就要学会看见这些名人的光环下真实的样子。
NPC-Shadowless(8)<Speaker>助理</Speaker>||:可我觉得格雷女士是个好人……+而且，我们也的确很需要更廉价的特效药。+她们做到了，这不是对人民的一剂强心针吗？
NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:个人的道德观在她们所处的层面起不到任何作用。+我不评判格雷本人的阵营，但至少她真的很聪明，她很清楚我们这些记者最想听什么。+也知道该怎么说话才能博取观众的好感。+她能有今天的地位和知名度，靠的可不止是脸蛋。
NPC-Shadowless(8)<Speaker></Speaker>||:夏朵双手插进风衣的衣兜里，偏头看向会客室的方向，犀利的目光仿若看透了一切。
NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:“伊登”或许是有效的……但在这块蛋糕被分好之前，真正该为之受益的人根本摸不着它的边角。+记住，艾丽，我们作为媒体的工作，是挖掘和还原真相。+我们工作的性质决定了我们势必要怀疑所有看见的东西。+至少，我们要让大众了解真正的情况，而不是只了解这些人想让他们了解的东西。
NPC-Shadowless(8)<Speaker>助理</Speaker>||:……真是太黑暗了。+我是说，你看待这些问题的方式，夏朵。
NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:这就是现实，艾丽。+企业和政府都是一丘之貉。+不要相信这些外表的光鲜亮丽，我们最终能信任的，只会是自己。
NPC-Shadowless(8)<Speaker></Speaker>||:夏朵挥了挥手，看着其他的同事们也已经收拾好了设备从房间内走出。
NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:回去吧。
()<Speaker>助理</Speaker>||:嗯……
()<Speaker></Speaker>||:一群人吵闹地从正门离开，夏朵慢悠悠地走在最后面，她停下脚，回身看了看走廊。
()<Speaker>助理</Speaker>||:夏朵？
NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:来了。
()<Speaker></Speaker>||:在采访团队离开之后，被夏朵的视线扫过的某个角落，莱特踱步而出。
NPC-Light(3)<Speaker>莱特</Speaker>||:……第六感还是这么敏锐啊。
NPC-Light(3)<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:滴。
NPC-Light(3);NPC-Ange(2)<Speaker>安洁莉娅</Speaker><通讯框>||:<color=#00CCFF>莱特，你在哪里？</color>+<color=#00CCFF>我们这边已经结束了。</color>
NPC-Light(3)<Speaker>莱特</Speaker>;NPC-Ange(2)||:嗯，好的，我马上回来。
NPC-Light(3)<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1><黑屏1>:关上通讯器，莱特用手指挠了挠脸。+……应该没有被她发现吧？+带着些许的不安，他再次消失在了监控的死角处。
