()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>356</BIN><BGM>10194</BGM>:……+安洁的临时藏身处。
AN94(0)<Speaker>AN94</Speaker>||:那么，我们要怎么做呢？
NPC-Ange(7)<Speaker>安洁</Speaker>;AN94(0)||:首先，我们不能什么准备都不做就冲过去。+我不管爵士说过什么，我只知道这里是和威廉有关的地点。+就算它看起来只是废弃的洋房，我也会当作里面有千军万马。
NPC-Ange(7);NPC-Light(1)<Speaker>莱特</Speaker>||:我可以联络我的下属。
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(1)||:可以，但是我只要你最信任的那部分。+如果你对他们没信心，我宁愿你一个人来。
NPC-Ange(7);NPC-Light(1)<Speaker>莱特</Speaker>||:……我明白了。
NPC-Ange(7)<Speaker>安洁</Speaker>||:这个地点就在柏林的市区，但是位置很偏僻，是富人区。+人口密度不大，但是治安很好。+如果我们大部队挺进，一定会被注意到。
NPC-Ange(7);AK15(0)<Speaker>AK15</Speaker>||:反过来说，帕拉蒂斯也不能驻扎大部队。
NPC-Ange(7)<Speaker>安洁</Speaker>||:94，你和莱特还有他的人在外面把守。+莱特至少在德国还有紧急执法权，即便被无关人士注意到，也不用担心事情闹大。+而且，我们也需要接应。
AN94(0)<Speaker>AN94</Speaker>||:明白。
NPC-Ange(7)<Speaker>安洁</Speaker>||:15，16，你们两个跟我行动，我们直接从正门进入。+按前端情报的信息来说，这栋洋房如今应该是无人居住……谁知道是不是真的。+但目前看来，没有从其他入口进入的必要。+15负责突击，16，你随时检测电子流动。+有什么发现立刻报告。
AK15(0)<Speaker>AK15</Speaker>||:明白。
RPK16(0)<Speaker>RPK16</Speaker>||:明白。
NPC-Ange(7)<Speaker>安洁</Speaker>||:以上，无计划，无战术，唯一命令：禁止开火。+当然，如果真的撞大运碰上了帕拉蒂斯的杂碎。+就随意炸烂他们的脑袋，后果由我承担。
RPK16(0)<Speaker>RPK16</Speaker>||:那么，我们什么时候出发？
NPC-Ange(7)<Speaker>安洁</Speaker>||:三点出发。+我们要做好万全的准备。
()<Speaker></Speaker>||:安洁将桌面上的地图收好，沉默了一会。
NPC-Ange(7)<Speaker>安洁</Speaker>||:我袭击酒吧的事情肯定会传到爵士的耳朵里。+我留给他联络我的时间，等到三点如果他还没有任何解释和消息。+就怪不得我了。
NPC-Light(0)<Speaker>莱特</Speaker>||:安洁小姐。
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(0)||:怎么了？
NPC-Light(0)<Speaker>莱特</Speaker>||:……我想跟你谈谈。
()<Speaker></Speaker>||:安洁看了看已经各自去做准备的忤逆小队。
NPC-Ange(7)<Speaker>安洁</Speaker>||:现在？
NPC-Light(0)<Speaker>莱特</Speaker>||:只有现在了。
NPC-Ange(7)<Speaker>安洁</Speaker>||:好吧。
()<Speaker></Speaker>||:安洁拉了一张椅子，又给莱特指了个座位。
NPC-Ange(7)<Speaker>安洁</Speaker>||:想聊什么？+你不会打退堂鼓了吧？
NPC-Ange(7);NPC-Light(3)<Speaker>莱特</Speaker>||:当然不，我尊敬安洁小姐，所以相信安洁小姐的判断。
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(3)||:我不记得自己算是个值得尊敬的人。+尤其是对你这样的人，你这种乖乖仔，跟我合不来吧？+你看上去就像在特工学校连思想品德都拿A的类型。
NPC-Ange(7);NPC-Light(2)<Speaker>莱特</Speaker>||:不，我没有上过……苏联有特工学校？
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(2)||:当然，你们没有吗？+我们的第一课就是挑选自己的狗狗搭档。+然后在毕业考的时候毙掉它。
NPC-Ange(7);NPC-Light(0)<Speaker>莱特</Speaker>||:多么残忍……这是为了保证每一位特工都能够服从命令吗？
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(0)||:也可能只是因为教官更喜欢猫。
NPC-Ange(7);NPC-Light(2)<Speaker>莱特</Speaker>||:呃，难道您在跟我开玩笑？
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(0)||:不像吗？
NPC-Ange(7);NPC-Light(0)<Speaker>莱特</Speaker>||:您别拿我寻开心了。+我是真的有很在意的事想要问问您的意见。
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(0)||:……说吧，如果我帮得上忙，我会给点建议的。+但也别太指望我，我说过，像我这样的人不值得成为标榜。+我甚至都不知道我有哪里值得你这样看待我。
NPC-Ange(7);NPC-Light(3)<Speaker>莱特</Speaker>||:您太谦虚了，但这一点也不影响。+我希望能成为像您一样的人。
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(3)||:什么样的人？
NPC-Light(3)<Speaker>莱特</Speaker>||<BGM>BGM_Empty</BGM>:“英雄”。
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(3)||:……+被叫作英雄的人，都刻在慰灵碑上了，小鬼。
NPC-Ange(7);NPC-Light(3)<Speaker>莱特</Speaker>||:不论倒下多少人，都前赴后继，这才是英雄的根性。+我希望能像您，像那些前辈一样，为了这个世界奉献更多。+即便是生命也在所不惜。
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(3)||:你这个年纪，说这些还太早了吧？
NPC-Ange(7);NPC-Light(3)<Speaker>莱特</Speaker>||:我还在路上，安洁小姐。+但至少我还在路上。
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(3)||:……你为什么会有这样的想法？
NPC-Ange(7);NPC-Light(0)<Speaker>莱特</Speaker>||:我知道这些话在您听起来，非常幼稚而且无聊。+但是……我发自内心地尊敬您，因为不论如何，您所做的一切。+都是为了这世界的明天。
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(0)||:……这并不幼稚，也不无聊。+莱特，这个时代没有留给理想主义者的位置，连一席也没有。+但那不代表理想主义就活该去死。+能像你这样这么纯粹地看待这个问题，是很难的。+同样，这也很宝贵。
NPC-Ange(7);NPC-Light(3)<Speaker>莱特</Speaker>||:……谢谢您。
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(3)||:所以，这就是你要寻求我的意见的事？+看起来不像，你的意志足够坚定了。+不管我怎么说，你都有一个自己的理念。
NPC-Light(3)<Speaker>莱特</Speaker>||:是的……
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:莱特摸了摸自己的包，从里面取出了一个袖扣。
NPC-Ange(7)<Speaker>安洁</Speaker>||:“U”？+……斯塔西的规矩真好笑。+每个高级特工都非得用字母做代号吗？
NPC-Ange(7);NPC-Light(3)<Speaker>莱特</Speaker>||:据说最开始的时候，是因为特工的数量刚好是26位。+而他们的姓名首字母又都刚好都不一样。
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(3)||:那你不是该叫“L”吗？
NPC-Ange(7);NPC-Light(3)<Speaker>莱特</Speaker>||:现在并不按姓名来取了，而是选自己心仪的单词。+也或许是本人的象征。
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(3)||:那你的是什么？
NPC-Ange(7);NPC-Light(3)<Speaker>莱特</Speaker>||:“UNKNOW”。+无名之辈。
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(3)||:……+所以你是个高级特工？我以为你是J的下属呢。
NPC-Light(0)<Speaker>莱特</Speaker>||:J前辈照顾了我很久，从我小时候就是了。+他是我母亲的弟子。+而我……我还不是高级特工。
()<Speaker></Speaker>||:看着莱特的表情，安洁似乎意识到了什么。
NPC-Ange(7)<Speaker>安洁</Speaker>||:你怂了？
NPC-Ange(7);NPC-Light(3)<Speaker>莱特</Speaker>||:……您要是说得委婉些我会很高兴的。
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(3)||:你比J优秀多了，至少在我看来是这样的。
NPC-Light(3)<Speaker>莱特</Speaker>||:J前辈只是风格跟我有些不同。+……我还很年轻，而且几乎没有亮眼的资历。+我不确定我有没有准备好接受这个袖扣。
()<Speaker></Speaker>||:莱特用拇指捻着袖扣，递向了安洁。+安洁愣了一下，接过袖扣，仔细地看了看。
NPC-Ange(7)<Speaker>安洁</Speaker>||:接受这个，对你有什么改变吗？
NPC-Ange(7);NPC-Light(3)<Speaker>莱特</Speaker>||:没什么太大的变化，可能我姐姐会生气吧。
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(3)||:那你有什么好紧张的？+怕你姐姐不让你进家门？
NPC-Light(3)<Speaker>莱特</Speaker>||:那倒不会，我们感情很好。
()<Speaker></Speaker>||:莱特腼腆地笑了笑。+安洁耸了耸肩，抬手准备把袖扣还回去，但莱特却没有去接。
NPC-Ange(7)<Speaker>安洁</Speaker>||:……怎么了？
NPC-Light(3)<Speaker>莱特</Speaker>||:我想请您暂时保管。
NPC-Ange(7)<Speaker>安洁</Speaker>||:什么？
()<Speaker></Speaker>||:安洁露出了错愕的表情。+莱特双手放在了膝盖上，正襟危坐了起来。
NPC-Light(1)<Speaker>莱特</Speaker>||<BGM>10258</BGM>:我想请您在这次的任务的结束后，再把它交还给我。+如果您认为，我有资格接受这个代号的话。
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(1)||:你要我给你一个毕业考？
NPC-Ange(7);NPC-Light(1)<Speaker>莱特</Speaker>||:是的。
NPC-Ange(7)<Speaker>安洁</Speaker>;NPC-Light(1)||:我可是个苏联人。
NPC-Ange(7);NPC-Light(1)<Speaker>莱特</Speaker>||:我知道。+但我想，没有比您更加适合的人了。
NPC-Ange(7)<Speaker>安洁</Speaker>||:……
()<Speaker></Speaker>||:安洁攥住了手。
NPC-Ange(7)<Speaker>安洁</Speaker>||:……我收下了。+但我不奉陪你的师生游戏。+等事情结束，不管怎么样，我都会还给你。
()<Speaker></Speaker>||:莱特笑了笑。
NPC-Light(3)<Speaker>莱特</Speaker>||:谢谢您。
RPK16(0)<Speaker>RPK16</Speaker>||<SE1>ClothingUp</SE1>:安洁。
()<Speaker></Speaker>||:在莱特站起来的时候，RPK16适时地走了过来。
NPC-Ange(7)<Speaker>安洁</Speaker>||:你又怎么了？
RPK16(4)<Speaker>RPK16</Speaker>||:我也有事想跟你谈谈——不欢迎吗？
NPC-Ange(7)<Speaker>安洁</Speaker>||:……你们约好的吗？
()<Speaker></Speaker>||:莱特看了看RPK16，后者对他露出了善意的笑容。+他腼腆地用微笑回应，并且让出了位置，绅士地离开了座位。
NPC-Ange(7)<Speaker>安洁</Speaker>||:你又想聊什么？
RPK16(3)<Speaker>RPK16</Speaker>||<BGM>BGM_Empty</BGM>:安洁。
()<Speaker></Speaker>||:RPK16坐在了位置上，双手放在膝盖上，标志性的微笑忽然消失，取而代之的是一副严肃的表情。
RPK16(3)<Speaker>RPK16</Speaker>||:可以取消这个行动吗？
NPC-Ange(7)<Speaker>安洁</Speaker>;RPK16(3)||:你说什么？+取消？为什么？
NPC-Ange(7);RPK16(3)<Speaker>RPK16</Speaker>||<BGM>BGM_Room</BGM>:我觉得这不太理智。+你至少应该跟苏联本部的人商量一下。
NPC-Ange(7)<Speaker>安洁</Speaker>;RPK16(3)||:我联系过老米莎，他没有给我答复。+我甚至不确定他有没有收到我的消息。
NPC-Ange(7);RPK16(3)<Speaker>RPK16</Speaker>||:你不觉得你应该等等吗？
NPC-Ange(7)<Speaker>安洁</Speaker>;RPK16(3)||:你觉得我有那么多时间可以等吗？+……而且，老米莎在这个时间沉寂，你觉得他在干什么？
NPC-Ange(7);RPK16(3)<Speaker>RPK16</Speaker>||:……
NPC-Ange(7)<Speaker>安洁</Speaker>;RPK16(3)||:他们这些大人物，现在是没有空闲管我们的事的。+我们要自力更生……你怎么突然这么谨慎了？
NPC-Ange(7);RPK16(3)<Speaker>RPK16</Speaker>||:我不知道，也许是视角不一样了？+12前辈也总是会考虑这么多吗？
NPC-Ange(7)<Speaker>安洁</Speaker>;RPK16(3)||:哼……我之前还一直觉得你们很像呢。+在同样的位置上，AK12考虑的，只有如何完成我的命令。+而不是我的命令会有什么不安因素。
NPC-Ange(7);RPK16(5)<Speaker>RPK16</Speaker>||:真不愧是AK12前辈，不论是谁都很信赖她啊。
NPC-Ange(7)<Speaker>安洁</Speaker>;RPK16(5)||:她跟15的关系不大好。
NPC-Ange(7);RPK16(0)<Speaker>RPK16</Speaker>||:15只是嫉妒她而已。+只是连15自己都没有意识到。
NPC-Ange(7)<Speaker>安洁</Speaker>;RPK16(0)||:还是不聊这个了……总之，这次任务势在必行，没有回旋的余地。+你只要考虑该怎么完成就够了。
RPK16(5)<Speaker>RPK16</Speaker>||:……
()<Speaker></Speaker>||:RPK16闭上了眼，又很快睁开。
RPK16(5)<Speaker>RPK16</Speaker>||:好的，我知道了。
NPC-Ange(7)<Speaker>安洁</Speaker>||:好，时间也差不多了。
()<Speaker></Speaker>||:安洁站了起来，不再与RPK多作言语。
NPC-Ange(7)<Speaker>安洁</Speaker>||:我们走吧。
RPK16(4)<Speaker>RPK16</Speaker>||:是。
()<Speaker></Speaker>||:……
()||<黑屏1>:
