()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()||<黑屏2><SE1>AVG_Water_Drip</SE1>:滴答。+昏暗的厂房中，破裂的管道滴落的冰水在地面上积起了水泊。+湿冷的空气浸透骨髓，每一次呼吸都刺痛着胸腔。
()<Speaker>玛赫莲</Speaker>||<黑屏1>:……艾尔莎。
()<Speaker></Speaker>||<BIN>229</BIN><黑屏2><BGM>m_avg_labyrinth</BGM>:唯一的光亮处，堆积如山的尸体将娇小的女孩围在中央。
()<Speaker>玛赫莲</Speaker>||:艾尔莎……再等等，等等我。+姐姐马上就给你把药做出来。
()<Speaker></Speaker>||:从天花板上落下的导管顶端生出了尖锐的刺针，狠狠地扎入了玛赫莲的皮肤。
()<Speaker>玛赫莲</Speaker>||:呜！
()<Speaker></Speaker>||:血液在流失。+如同吸血的蚂蟥，刺针贪婪地从玛赫莲的体内掠夺着养分。+她每往前走一步，落下的导管便越来越多。
()<Speaker>玛赫莲</Speaker>||:艾尔……莎。
()<Speaker></Speaker>||<SE1>Heartbeat</SE1>:噗通！+浑身都被刺入导管的玛赫莲不堪重负，整个人扑倒在了地上。+她艰难地爬行着。+只差一步了。那女孩的背影就在触手可及的地方。
()<Speaker>玛赫莲</Speaker>||:……！！
()<Speaker></Speaker>||:浑浊的水面映出了她的脸。+浑身的血液都被抽干殆尽，此时的玛赫莲，干枯的面庞就如同一具木乃伊。
()<Speaker>神秘的声音</Speaker>||:你是个怪物。+你是个用死人尸体造出来的怪物！
()<Speaker>玛赫莲</Speaker>||:不……不……+不是，我不是！
NPC-Lilyan(0)<Speaker>艾尔莎</Speaker>||:圣女……姐姐？
NPC-Lilyan(0);NPC-Machlian(6)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:艾尔莎！
NPC-Lilyan(0);NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||:玛赫莲猛地抬起了头，看到艾尔莎的脸时却心里一紧。+她溃烂的脸仍在不断地流血，逐渐硅化的皮肤也在撕裂原本就脆弱无比的肉体。
NPC-Lilyan(0)<Speaker>艾尔莎</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:姐姐……我好痛……
NPC-Lilyan(0);NPC-Machlian(6)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||<黑屏1>:艾尔莎……
NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||<黑屏2><BIN>9</BIN><SE1>Heartbeat</SE1>:咕噜——+水泊内骤然伸出无数双发黑腐烂的手，将艾尔莎的身体生生扯入了深渊之中。
NPC-Machlian(7)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:不！+艾尔莎！
NPC-Machlian(7)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||<BGM>BGM_Empty</BGM><震屏>:艾尔——！
()<Speaker></Speaker>||<BGM>BGM_Truth</BGM><BIN>202</BIN><闪屏><duration>5</duration></闪屏>:从梦中惊醒过来，玛赫莲的眼前，却是熟悉的格里芬指挥部。
()<Speaker>指挥官</Speaker>||:玛赫莲？你醒了？
()<Speaker></Speaker>||:众人围在战术桌前，似乎正在讨论着什么。+指挥官看向躺在沙发上的玛赫莲，皱了皱眉。
()<Speaker>指挥官</Speaker>||:怎么了？你看起来脸色不太好。
AR15Mod(4)<Speaker>AR15</Speaker>||:她脸色怎么会不太好？+这种时候都睡得着，心态好着呢。
AR15Mod(4);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:好可惜喔！我还想等开完会就在你脸上画画呢！
AR15Mod(4)<Speaker>AR15</Speaker><Shake>||:你还敢提这个！？
NPC-Machlian(6)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:我……
NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||:玛赫莲揉了揉眼睛，深吸了一口气。
NPC-Machlian(6)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……对不起，我没事。+你们在讨论什么？
