mall_classification-10001000,活动
mall_classification-20001000,限时活动
mall_classification-10002000,军需
mall_classification-20002000,
mall_classification-10003000,礼包
mall_classification-20003000,所有礼包内容
mall_classification-10004000,服装
mall_classification-20004000,指挥官服装
mall_classification-10005000,物品
mall_classification-20005000,消耗品
mall_classification-10001001,真核面具
mall_classification-20001001,
mall_classification-10001002,救援活动1
mall_classification-20001002,
mall_classification-10001003,救援活动2
mall_classification-20001003,
mall_classification-10001004,活动代币
mall_classification-20001004,
mall_classification-10002001,钻石
mall_classification-20002001,
mall_classification-10002002,月卡
mall_classification-20002002,
mall_classification-10003001,七日礼包
mall_classification-20003001,
mall_classification-10003002,特惠礼包
mall_classification-20003002,物资
mall_classification-10003003,装扮礼包
mall_classification-20003003,装扮
mall_classification-10005001,资源
mall_classification-20005001,
mall_classification-10005002,契约
mall_classification-20005002,
mall_classification-10005003,基建
mall_classification-20005003,
mall_classification-10005004,道具
mall_classification-20005004,
