mission_targettrain-10170101,제식표적
mission_targettrain-20170101,【지휘관닌께서 전투를 더 깊게 이해할 수 있도록 그리폰에서 모의표적 기능을 개발했습니다.\n 여기서 여러 특성을 지닌 가상적군을 상대로 제대를 편성해 모의전을 진행할 수 있습니다.】
mission_targettrain-10170102,제식표적
mission_targettrain-20170102,【지휘관닌께서 전투를 더 깊게 이해할 수 있도록 그리폰에서 모의표적 기능을 개발했습니다.\n 여기서 여러 특성을 지닌 가상적군을 상대로 제대를 편성해 모의전을 진행할 수 있습니다.】
mission_targettrain-10170103,제식표적
mission_targettrain-20170103,【지휘관닌께서 전투를 더 깊게 이해할 수 있도록 그리폰에서 모의표적 기능을 개발했습니다.\n 여기서 여러 특성을 지닌 가상적군을 상대로 제대를 편성해 모의전을 진행할 수 있습니다.】
mission_targettrain-10170104,제식표적
mission_targettrain-20170104,【지휘관닌께서 전투를 더 깊게 이해할 수 있도록 그리폰에서 모의표적 기능을 개발했습니다.\n 여기서 여러 특성을 지닌 가상적군을 상대로 제대를 편성해 모의전을 진행할 수 있습니다.】
mission_targettrain-10170105,제식표적
mission_targettrain-20170105,【지휘관닌께서 전투를 더 깊게 이해할 수 있도록 그리폰에서 모의표적 기능을 개발했습니다.\n 여기서 여러 특성을 지닌 가상적군을 상대로 제대를 편성해 모의전을 진행할 수 있습니다.】
mission_targettrain-10170201,연습표적
mission_targettrain-20170201,【지휘관닌께서 전투를 더 깊게 이해할 수 있도록 그리폰에서 모의표적 기능을 개발했습니다.\n 여기서 여러 특성을 지닌 가상적군을 상대로 제대를 편성해 모의전을 진행할 수 있습니다.】
mission_targettrain-10170202,연습표적
mission_targettrain-20170202,【지휘관닌께서 전투를 더 깊게 이해할 수 있도록 그리폰에서 모의표적 기능을 개발했습니다.\n 여기서 여러 특성을 지닌 가상적군을 상대로 제대를 편성해 모의전을 진행할 수 있습니다.】
mission_targettrain-10170203,연습표적
mission_targettrain-20170203,【지휘관닌께서 전투를 더 깊게 이해할 수 있도록 그리폰에서 모의표적 기능을 개발했습니다.\n 여기서 여러 특성을 지닌 가상적군을 상대로 제대를 편성해 모의전을 진행할 수 있습니다.】
mission_targettrain-10170204,연습표적
mission_targettrain-20170204,【지휘관닌께서 전투를 더 깊게 이해할 수 있도록 그리폰에서 모의표적 기능을 개발했습니다.\n 여기서 여러 특성을 지닌 가상적군을 상대로 제대를 편성해 모의전을 진행할 수 있습니다.】
mission_targettrain-10170205,연습표적
mission_targettrain-20170205,【지휘관닌께서 전투를 더 깊게 이해할 수 있도록 그리폰에서 모의표적 기능을 개발했습니다.\n 여기서 여러 특성을 지닌 가상적군을 상대로 제대를 편성해 모의전을 진행할 수 있습니다.】
mission_targettrain-10170301,가름
mission_targettrain-20170301,특수표적 - 가름//c 표적 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10170401,예고르
mission_targettrain-20170401,특수표적 - 예고르//c 표적 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10170501,실격이성질체
mission_targettrain-20170501,특수표적 - 실격이성질체//c 표적 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10170601,M16A1!
mission_targettrain-20170601,특수표적 - M16A1！//c 표적 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10170701,차단중대
mission_targettrain-20170701,특수표적 - 차단중대//c 표적 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10170801,01: 난수 봄버
mission_targettrain-20170801,[이중난수]에서 얻은 정보를 통해//c [표적훈련]에서 특히 강한 유닛을 재현했습니다. 연습을 통해 사전 준비를 할 수 있고//c 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10170901,02：난수 거신
mission_targettrain-20170901,[이중난수]에서 얻은 정보를 통해//c [표적훈련]에서 특히 강한 유닛을 재현했습니다. 연습을 통해 사전 준비를 할 수 있고//c 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10171001,03：난수 종말
mission_targettrain-20171001,[이중난수]에서 얻은 정보를 통해//c [표적훈련]에서 특히 강한 유닛을 재현했습니다. 연습을 통해 사전 준비를 할 수 있고//c 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10171101,04：난수 단절
mission_targettrain-20171101,[이중난수]에서 얻은 정보를 통해//c [표적훈련]에서 특히 강한 유닛을 재현했습니다. 연습을 통해 사전 준비를 할 수 있고//c 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10171201,05：난수 철벽
mission_targettrain-20171201,[이중난수]에서 얻은 정보를 통해//c [표적훈련]에서 특히 강한 유닛을 재현했습니다. 연습을 통해 사전 준비를 할 수 있고//c 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10171301,06：난수 독사
mission_targettrain-20171301,[이중난수]에서 얻은 정보를 통해//c [표적훈련]에서 특히 강한 유닛을 재현했습니다. 연습을 통해 사전 준비를 할 수 있고//c 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10171401,저장된 표적
mission_targettrain-20171401,작전 지역에서 적 부대를 표적으로 저장해 반복 연습을 통해//c 전투 능력을 심화할 수 있습니다.
mission_targettrain-10171501,꼭 맞는 거짓말
mission_targettrain-20171501,[몽중극]에서 얻은 정보를 통해//c [표적훈련]에서 특히 강한 유닛을 재현했습니다. 연습을 통해 사전 준비를 할 수 있고//c 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10171601,01: 열정의 야수들
mission_targettrain-20171601,[국지전]에서 얻은 정보를 통해//c [표적훈련]에서 특히 강한 유닛을 재현했습니다. 연습을 통해 사전 준비를 할 수 있고//c 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10171701,02: 불굴의 철칙
mission_targettrain-20171701,[국지전]에서 얻은 정보를 통해//c [표적훈련]에서 특히 강한 유닛을 재현했습니다. 연습을 통해 사전 준비를 할 수 있고//c 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10171801,03: 벌새 소용돌이
mission_targettrain-20171801,[국지전]에서 얻은 정보를 통해//c [표적훈련]에서 특히 강한 유닛을 재현했습니다. 연습을 통해 사전 준비를 할 수 있고//c 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10171901,04: 거대 전차
mission_targettrain-20171901,[국지전]에서 얻은 정보를 통해//c [표적훈련]에서 특히 강한 유닛을 재현했습니다. 연습을 통해 사전 준비를 할 수 있고//c 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10172001,01： 갈림길 이정표
mission_targettrain-20172001,[이성질체]에서 얻은 정보를 통해//c [표적훈련]에서 특히 강한 유닛을 재현했습니다. 연습을 통해 사전 준비를 할 수 있고//c 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10172101,02：폭우 속 노래꾼
mission_targettrain-20172101,[이성질체]에서 얻은 정보를 통해//c [표적훈련]에서 특히 강한 유닛을 재현했습니다. 연습을 통해 사전 준비를 할 수 있고//c 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10172201,03：이성질 탄환
mission_targettrain-20172201,[이성질체]에서 얻은 정보를 통해//c [표적훈련]에서 특히 강한 유닛을 재현했습니다. 연습을 통해 사전 준비를 할 수 있고//c 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10172301,이성질체
mission_targettrain-20172301,강력한 유닛. 연습을 통해 사전 준비를 할 수 있고//c 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10172401,01：역설·혼돈
mission_targettrain-20172401,[거울단계]에서 얻은 정보를 통해//c [표적훈련]에서 특히 강한 유닛을 재현했습니다. 연습을 통해 사전 준비를 할 수 있고//c 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10172501,02：역설·전갈
mission_targettrain-20172501,[거울단계]에서 얻은 정보를 통해//c [표적훈련]에서 특히 강한 유닛을 재현했습니다. 연습을 통해 사전 준비를 할 수 있고//c 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.
mission_targettrain-10172601,03：역설·말벌
mission_targettrain-20172601,[거울단계]에서 얻은 정보를 통해//c [표적훈련]에서 특히 강한 유닛을 재현했습니다. 연습을 통해 사전 준비를 할 수 있고//c 공개 기간 모두의 도전 시간 및 도전 데이터를 기록하여 서로 참고할 수 있도록 합니다.	
