()||<BIN>72</BIN><BGM>BGM_Room</BGM>:…………作战结束。
NPC-Seele(0)<Speaker>希尔</Speaker><通讯框>||:好了，已经为全员升级完协议了。+新的接口可以使用同一条线路在齐纳网络中进行同步，现在大家应该能互相看到对方的信号了。
NPC-Seele(0);G11(3)<Speaker>G11</Speaker><通讯框>||:呜哇！这是什么地方！？
HK416(0)<Speaker>HK416</Speaker><通讯框>;G11(3)||:这就是在二级意识平层看到的齐纳网络吗……
HK416(0);UMP9(0)<Speaker>UMP9</Speaker><通讯框>||:嗯……11和416以前都没有参加电子战的功能模块，这是第一次用模拟信号潜入齐纳网络吧？
HK416(0)<Speaker>HK416</Speaker>;UMP9(0)||:哼，有意思……
HK416(0);NPC-Seele(0)<Speaker>希尔</Speaker><通讯框>||:新的协议可以使用其他人形的计算机能来提升模拟信号的速度。+45小姐是队长的话，还是由您来控制信号命令吧。
HK416(0);UMP45(0)<Speaker>UMP45</Speaker><通讯框>||:可以吗？那么就算在电子网络里，大家也多多关照咯。
HK416(0)<Speaker>HK416</Speaker>;UMP45(0)||:讨厌死了，可以拒绝吗。
HK416(0);G11(0)<Speaker>G11</Speaker><通讯框>||:这么说的话，我的意识是在网络中，但是身体还在维护舱内……+那我现在到底是睡着了还是清醒呢……
UMP9(0)<Speaker>UMP9</Speaker><通讯框>;G11(0)||:唔，看来电子战这个东西，对G11的小脑瓜来说太复杂了呢。
UMP9(0);UMP45(0)<Speaker>UMP45</Speaker><通讯框>||:就当是做梦吧，不过不努力一点的话，可能永远醒不过来哦。
NPC-Deele(0)<Speaker>德尔</Speaker><通讯框>;UMP45(0)||:你们在闲聊什么啊……看起来对新的接口协议已经完全适应了呢。+再过一会主人就该发来通讯了，我会马上把你们都抽离出来的。
NPC-Deele(0);UMP45(0)<Speaker>UMP45</Speaker>||:那我们要尽快了，9，快点帮11和416适应在齐纳网络里漫游的感觉吧。
UMP9(3)<Speaker>UMP9</Speaker><通讯框>;UMP45(0)||<黑屏1>:好嘞！包在我身上吧！
