()||<BIN>9</BIN><SE1>AVG_Rain2</SE1><BGM>BGM_Empty</BGM>:……
？？()<Speaker>？？</Speaker>||<BIN>9</BIN>:M4……+…………+M4A1……
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏1>:…………+我这是……在哪里……
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN><黑屏2>:……！+这……+A……AR……
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN>:别乱动。+背你很累的。
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN><BGM>BGM_Wake</BGM>:…………+真的……是你？
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN><SE2>AVG_Rain2</SE2>:别乱动脑袋，听声音就能足够了吧？
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN>:为什么……+……我不敢相信！+AR15……你……还活着？！
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN>:先离开这里，之后我会慢慢解释这个事。
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN><SE1>AVG_Rain2</SE1>:可是为什么……在这个时候，你会出现……
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN>:我有我自己的任务，遇到你只是顺道罢了。+不过……至少不算是坏事吧。
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:先放我下来，我自己走。
AR15()<Speaker>AR15</Speaker>||<BIN>118</BIN>:如果你能走，我就没必要背着你了。
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:……？！+我的身体，不听使唤……？
AR15()<Speaker>AR15</Speaker>||<BIN>118</BIN><SE2>AVG_Rain2</SE2>:要怪就怪旁边那个家伙吧……+她在断线时出了些问题，你的心智模块受了点损坏，行动暂时受了些限制。
AK12()<Speaker>AK12</Speaker>||<BIN>118</BIN>:多少是我的错啦，所以我才帮你背了这个匣子呀。+不过你们这种落后的人形非要装那么精密的模块，多少也有责任吧？
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:那是……谁的声音？
AK12()<Speaker>AK12</Speaker>||<BIN>118</BIN>:战术人形AK12，来自【忤逆】小队。
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:忤逆……？你们是做什么的？+AR15，你现在也是她们的一员？
AR15()<Speaker>AR15</Speaker>||<BIN>118</BIN>:我接受了新的雇主，没有选择。+安洁莉娅，你见过她。
