()||<BIN>34</BIN>:……滴。
AN94(0)<Speaker>AN94</Speaker>||<BGM>BGM_Sneak</BGM><BIN>34</BIN>:我收到了AK12的明码通讯请求，要接入吗？
AN94(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>34</BIN>:喂，我不是说过有伞病毒时不要做这种蠢事吗……
AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:所有心智空间用于防御的话，我可以在【伞】病毒干扰下接通10秒。
NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>34</BIN>:做吧。
AK12(0)<Speaker>AK12</Speaker><通讯框>;NPC-Ange(0)||<BIN>34</BIN>:安洁，你在听吗？
AK12(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>34</BIN>:我在，你应该接到任务了吧，去β点集合。
AK12(0)<Speaker>AK12</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:虽然现在说有点不合时宜，不过嘛……+那个……我们好像遇到麻烦了啊。
AK12(0)<Speaker>AR15</Speaker>;NPC-Ange(0)||<BIN>34</BIN><SE1>Gunfight</SE1>:别磨蹭了！+安洁，我们正在被铁血的主力部队压制，需要支援！
NPC-Ange(0)<Speaker></Speaker>||<BIN>34</BIN>:……呲，呲。
NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>34</BIN>:别暴露太久了，坚持到我们过去！
NPC-Ange(0)<Speaker>AR15</Speaker>||<BIN>34</BIN>:安洁，另外——
NPC-Ange(0)<Speaker></Speaker>||<BIN>34</BIN>:……呲，呲。
NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>34</BIN>:还有M4A1的情况怎么样了？+AR15？
()||<BIN>34</BIN>:……
NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>34</BIN>:AR15？AK12？+啧，该死的……
AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:唔……安洁……+抱歉，这是我的极限了。+我……我应该可以做得更好的……
AN94(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>34</BIN>:作为战斗特化型你已经做得很好了，AK12她们正在被铁血主力压制。
AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:命令，是要去营救她们吗？
AN94(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>34</BIN>:没错，准备让AK12欠你人情吧。
AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:这和人情没关系，不让她受到伤害是我的职责。
AN94(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>34</BIN><黑点1>:（耸肩）随便怎么想吧，你开心就行了。
AN94(0)<Speaker>AN94</Speaker>||<BIN>10</BIN><黑点2>:我在刚才的扫描中看到了区域内敌人的数据，这是忤逆小队身处的战场地图。+我们前进的路上会有很多敌人，而包围AK12的铁血里更是有个铁血精英头目。
AN94(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>9</BIN>:刽子手……如今连这样的铁血单位都强到另一种境界了吗？
AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>9</BIN>:总之，要突破过去不是件容易的事。
AN94(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>9</BIN>:那……你希望我放弃AK12她们吗？
AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>9</BIN>:只要是您的命令，我一定会全力以赴。
AN94(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>9</BIN><黑屏1>:那就出发吧！她们还在等着我们！
