()||<BIN>98</BIN><BGM>BGM_Empty</BGM>:……作战结束。
NPC-Kalin(4)<Speaker>格琳</Speaker>||:终于……干掉它了吗？+快去检查对方的遗体！
NPC-Kalin(4)<Speaker>格里芬人形A</Speaker>||:指挥官！格琳小姐！那个尸体只是个傀儡！
NPC-Kalin(2)<Speaker>格琳</Speaker>||:诶！那么强的敌人，居然还只是个傀儡？！+那么……真正的代理人，会在哪儿呢……
()||<BIN>98</BIN><震屏><SE1>Explode</SE1><黑屏1>:……砰！
()||<BIN>9</BIN><BGM>BGM_stage10</BGM><黑屏2><火花>:……身后突然传来震耳欲聋的爆炸声！+……火雨和飞烟，还有旋转着的黑暗，坠落。+…………+……
格琳()<Speaker>格琳</Speaker>||:指挥官，你在哪里！+回答我，指挥官——！+大家快灭火！还有找到指挥官！
()||:……+……自己跌落到了地下，整个指挥部都在燃烧。+……传来一阵优雅而清脆的脚步声。
？？()<Speaker>？？</Speaker>||:人类真是脆弱……+这种程度的跌落，就已经无法行动了。
()||:……黑暗中听到了那个人形的声音，连忙抓起防身的手枪。
()||:……噗！+……胸口被重物紧紧压住，呼吸困难。
代理人()<Speaker>代理人</Speaker>||:抱歉，这是我的疏忽。+不过你的反应，是不是有点惊讶过头了呢？
()||:……烟尘开始消散，视觉渐渐恢复。
代理人()<Speaker>代理人</Speaker>||<黑屏1>:毕竟我说过……+我会亲手埋葬您的……
代理人()<Speaker>代理人</Speaker>||<BIN>123</BIN><睁眼>:
()||:……手枪……找不到了。
代理人()<Speaker>代理人</Speaker>||:人类终有一死，而我总是乐意为此效劳。+两年前，也有一位格里芬的指挥这样与我对峙过。+你和她究竟谁更狼狈呢？抱歉，我很难评价，总之结果都是一样……
()||:……试图挣扎一下，但铁血人形的力量远超过自己的想象。
代理人()<Speaker>代理人</Speaker>||:抱歉，弄疼您了吗？不过我已经很克制了，如果光靠重力放在您的胸口，您的胸腔显然会承受不住的。+而我喜欢慢一点……慢一点地欣赏……
()||<震屏><BIN>122</BIN>:……胸口的压迫越来越沉重，呼吸变得困难。
代理人()<Speaker>代理人</Speaker>||:啊……+这就是人类，这就是死亡……
()||:……已经……无法呼吸了。
代理人()<Speaker>代理人</Speaker>||:指挥官大人……+你的脸，越来越漂亮了……+这就是……最后的……+你留在世上最后的印记了……
()||:……到此……为止了吗？
()||<黑屏1>:……滴。
？？()<Speaker>？？</Speaker>||<黑屏2><BIN>9</BIN>:住手！代理人！+我们可以谈谈！
BOSS-8(0)<Speaker>代理人</Speaker>()||:……！+这个声音……
BOSS-8(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker><通讯框>||:很怀念吧？你可是个失败的谋杀者呢。
BOSS-8(0)<Speaker>代理人</Speaker>;NPC-Ange(0)||:……为什么，你还活着。
BOSS-8(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:这不重要，重要的是，这位指挥官也必须活着！
BOSS-8(0)<Speaker>代理人</Speaker>;NPC-Ange(0)||:为什么？
BOSS-8(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:你们……想见到M4A1吗？
BOSS-8(0)<Speaker>代理人</Speaker>;NPC-Ange(0)||:……
BOSS-8(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:我有办法，让你们见一面。
BOSS-8(0)<Speaker>代理人</Speaker>;NPC-Ange(0)||:我会相信你吗？
BOSS-8(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:你必须相信我！+铁血可以使用的部队已经都被歼灭了，你要是想要满足你的主脑的愿望的话，就让这位指挥官活下来。+我会……我会让她与你见面。
BOSS-8(0)<Speaker>代理人</Speaker>;NPC-Ange(0)||:…………+为了这个人类？
BOSS-8(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:我们都是人类，我有这么做的理由。
BOSS-8(0)<Speaker>代理人</Speaker>;NPC-Ange(0)||:我无法理解人类，也对此没有兴趣。+我只想趁着末日来临前好好享受个假期……+不过好像……连这种小要求都奢望不成了。
BOSS-8(0);NPC-Ange(0)||:
()||<黑屏1><关闭火花>:……呼——+……胸口突然被松开。
()||<黑屏2>:…………+……
代理人()<Speaker>代理人</Speaker>||<黑屏1>:无论人形还是人类，工作给了我们活着的理由……+……对吗？格里芬的指挥官大人？
