()||<BIN>99</BIN><BGM>BGM_Room</BGM>:…………
AK12(0)<Speaker>AK12</Speaker><通讯框>||<BIN>99</BIN>:安洁，进展顺利吗？
AK12(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>99</BIN>:这是形式上的慰问？
AK12(0)<Speaker>AK12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:我听说家用人形最开始就是为人类解闷用的。
AK12(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>99</BIN>:（苦笑）那你做得不错，我现在心情好多了。+说正事，我现在摸进了军方的防线内……
AK12(0)<Speaker>AK12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:啊……不愧是你，一如既往的不要命。
AK12(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>99</BIN>:是啊，可惜我就是死不了。+有个不幸的消息，军方的坦克已经开始部署了。+有一列洲际列车提前部署在这个区域，也是军方调來的，很明显他們早就准备好了这些增援。
AK12(0)<Speaker>AK12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:连重装甲部队都用上了吗？+不过是个叛乱机器人据点，有必要这么大费周章吗？
AK12(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>99</BIN>:这就说明铁血一定有军方无论如何都要拿到的东西。+不管怎样，一旦那些坦克开始推进，就没有什么能阻止军方了。
AK12(0)<Speaker>AK12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:但是还要一阵子吧？重装部队的部署至少需要三个时间单位。
AK12(0);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>99</BIN>:所以我现在标记了一个通讯中继站，你们尽快拿下它然后找到新的登录口，保证我能进一步侦测他们的行动。
AK12(0)<Speaker>AK12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:我们需要点时间，给识别信号提升下伪装等级。+不过你知道自己接下来能做什么吗？
NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>99</BIN><黑屏1>:放心吧，有人会告诉我怎么做。+只不过，她也需要点时间。
