()||<BGM>BGM_Sneak</BGM><BIN>22</BIN>:…………
NPC-Persica(3)<Speaker>帕斯卡</Speaker>||<BIN>22</BIN>:通讯正在恢复……+不知道是个好消息？还是坏消息……+而且军方……有没有得到主脑呢……+至少安洁……不要出事啊……
NPC-Persica(3);NPC-Ange(0)<Speaker>安洁</Speaker><通讯框>||<BIN>22</BIN><震屏>:帕斯卡——+喂，帕斯卡！
NPC-Persica(1)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:安洁！你怎么样了！
NPC-Persica(1);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>22</BIN>:我？我没事啊，大家都没事。+我刚刚利用临时借用的人形搞定了一个军方通讯点，然后躲到了里面。
NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:呼……+刚才到底是怎么回事呢……还有……
NPC-Persica(3);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>22</BIN>:好消息，军方失败了。
NPC-Persica(1)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:诶？
NPC-Persica(1);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>22</BIN>:根据我窃听到的消息，军方入侵主脑的计划没有奏效。+虽然原因不明，不过一定发生了意外状况。
NPC-Persica(1)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:和刚才的通讯中断有关吗？
NPC-Persica(1);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>22</BIN>:不知道，暂时也不重要。+关键是军方下一步的行动……
NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:下一步？抱歉，我暂时还想不到……
NPC-Persica(3);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>22</BIN>:不，军方下一步的行动，不是显而易见吗？
NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:你说什么……
NPC-Persica(3);NPC-Ange(0)<Speaker></Speaker></Speaker>||<BIN>22</BIN>:……安洁的频道里传来轰隆隆的声音。
NPC-Persica(3);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>22</BIN>:当然就是……外围的坦克部队了。+你听到声音了吧，它们正从山脚下推进。+坦克部队一旦踏进来，我的这些轻装人形根本没法阻止他们一步。
NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:这就不是我能负责的事情了。+但是军方一定是通过刚才的入侵行动才知道了主脑的位置，然后准备物理抢夺。
NPC-Persica(3);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>22</BIN>:没错，所以我们必须抢在他们前面，依靠……
NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:……安洁，你说得对，你是个军人而我是研究员。+军人为了任务，可以牺牲一切……
NPC-Persica(3);NPC-Ange(0)<Speaker>安洁</Speaker>||<BIN>22</BIN>:喂，别把我描述得那么冷血嘛，我可是很喜欢你给我的那几个人形的。+一切还在我预期之中，我会控制好的。+我先让404去寻找主脑位置，你也要一直为我提供支援哦。
NPC-Persica(3)<Speaker>帕斯卡</Speaker>||<BIN>22</BIN>:我的咖啡已经准备好了，就差你的运气了，安洁。
()||<BIN>22</BIN><黑屏1>:……通讯结束。
