()||<BIN>6</BIN><BGM>BGM_Sneak</BGM>:…………
RO635(0)<Speaker>RO635</Speaker>||:各位，我们就要到通讯站了！
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:喂！你们看那个！
RO635(4)<Speaker>RO635</Speaker>||:……！
()||<SE1>Explode</SE1>:…………轰！
M16(3)<Speaker>M16A1</Speaker>||:喂喂，那是【木星】吧！+居然这边也有？！
()||<SE1>Explode</SE1>:……轰！
RO635(4)<Speaker>RO635</Speaker>||:而且还不只有一架……+我们可能刚好掉在了不太走运的区域。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:喂喂！炮击把通讯站炸毁了！+这下怎么办？！
RO635(5)<Speaker>RO635</Speaker>||:只能改变行动计划了，绕开这里继续前进！+提高警惕，看来铁血已经发现我们了！
M16(3)<Speaker>M16A1</Speaker>||:我们一路上这么小心，怎么会被发现呢？
RO635(4)<Speaker>RO635</Speaker>||:不知道，也许这里的铁血头目非同一般。
M16(3)<Speaker>M16A1</Speaker>||:……梦想家那样的人形，还不只一个吗？
RO635(0)<Speaker>RO635</Speaker>||:先别担心，既然铁血部队还没包围过来，就说明它们还不知道我们的确切位置。+先改变行动计划了，绕开这里继续前进。
M16(3)<Speaker>M16A1</Speaker>||:我在西边看到一个树林，也许先躲到那里比较安全。
RO635(0)<Speaker>RO635</Speaker>||<黑屏1>:没办法，只能赌一赌看了……+赫丽安说过，之前有一支运输机小队也在这里被击坠了。+我们也许能在路上找到物资和幸存者，希望一切能来得及……+在这个深不可测的铁血人形，彻底发现我们之前……
()||<BGM>BGM_Empty</BGM><BIN>34</BIN><黑屏2>:…………同一时间，铁血指挥室。
BOSS-9(0)<Speaker>建筑师</Speaker>||<BGM>BGM_Boss</BGM>:哈哈，好！我中啦！+中啦！中啦！
计量官()<Speaker>计量官</Speaker>||:大清早的……好吵……
BOSS-7(0)<Speaker>计量官</Speaker>;BOSS-9(0)||:怎么……你中了什么？
BOSS-7(0);BOSS-9(0)<Speaker>建筑师</Speaker>||:喂喂！计量官，你看！+我刚刚打中了那个通讯站哦！
BOSS-7(0)<Speaker>计量官</Speaker>;BOSS-9(0)||:…………+所以……你打它做什么？
BOSS-7(0);BOSS-9(0)<Speaker>建筑师</Speaker>||:唔……没什么啊。+就是看它的位置很不顺眼啊，顺便想试试自己的准头嘛，嘻嘻！
BOSS-7(0)<Speaker>计量官</Speaker>;BOSS-9(0)||:真是的……+别把你的强迫症放在这种无聊的地方。+有这个时间，不如去搜索一下格里芬的幸存者。
BOSS-7(0);BOSS-9(0)<Speaker>建筑师</Speaker>||:诶？原来还有幸存者吗？
BOSS-7(0)<Speaker>计量官</Speaker>;BOSS-9(0)||:你的炮弹只是擦中了那些运输机，她们有极大的概率会安全迫降。
BOSS-7(0);BOSS-9(0)<Speaker>建筑师</Speaker>||:嗯……既然是你分析的数据……+不过，我们来这里是为了测试这些大炮吧？我们都出去的话，谁来看守大炮呢？
BOSS-7(0)<Speaker>计量官</Speaker>;BOSS-9(0)||:我会去找到她们的，你只要守着基地……+还有，别再乱开炮了，当心打到自己人。
BOSS-9(0)<Speaker>建筑师</Speaker>||<黑屏1>:好啦好啦，我知道了。+那就交给你啦，快点去吧！
