()||<BIN>7</BIN><BGM>BGM_Sneak</BGM>:…………半小时后。
M16(3)<Speaker>M16A1</Speaker>||:天气好像好转了一点，不过视野还是很差劲……+RO，你那边能看到机场吗？
RO635(4)<Speaker>RO635</Speaker>||:（眯起眼睛）没，我……还没……
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:喂，我看到机场啦！就在那边！+但是……没看到直升机，也没有物资啊……
M16(3)<Speaker>M16A1</Speaker>||:这样下去可不妙，大家的口粮都快见底了。+继续在外面行动，我们很快就要走不动了……
()||:…………滴。
NPC-Helian(0)<Speaker>赫丽安</Speaker><通讯框>||:M16，你们还在吗？+我刚才要说完的是，现在区域内的阵风导致空投补给十分困难。+我们的无人机只能在天气好转时才能抵达机场，然后立即撤离。
M16(3)<Speaker>M16A1</Speaker>;NPC-Helian(0)||:也就是说，我们必须抓住空隙来到机场进行补给，对吧？
M16(3);NPC-Helian(0)<Speaker>赫丽安</Speaker>||:是的，我会把阵风的间隔时间通知你，你们要算好时间来呼叫补给。+另外，我们有一名重要的人形在之前随着运输机坠落在这里。+她身上携带着重要的技术模块，请你们务必将她营救出来。
M16(3)<Speaker>M16A1</Speaker>;NPC-Helian(0)||:收到啦，不过那名人形是谁呢？
M16(3);NPC-Helian(0)<Speaker>赫丽安</Speaker>||:是M1887，是一名装配了霰弹武器的精英战术人形。+我们最后一次联络她时，她正在区域中心的避难所。+你们要从东南方的通道进入，绕开敌方的炮台阵线才能抵达。
M16(3)<Speaker>M16</Speaker>||<黑屏1>:收到命令，我们这就去避难所调查。
