()||<BIN>7</BIN><BGM>BGM_Sneak</BGM>:…………滴。
SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:呼……总算过来啦。+吃了点东西，身体也暖和起来啦……+那这里就是赫丽安说的避难所吗？
RO635(3)<Speaker>RO635</Speaker>||:应该没错了，不过你们看到……+呃……战术人形M1887了吗？
M16(2)<Speaker>M16A1</Speaker>||:没有，这里确实有人形来过，但数据显示那是三小时前的事了。+没办法，只能联系赫丽安了。
()||:…………滴。
M16(3)<Speaker>M16A1</Speaker>||:呼叫格里芬总部。+……是赫丽安小姐吗？
计量官()<Speaker>计量官</Speaker>||<BGM>BGM_Empty</BGM>:很遗憾，你打错了……+……格里芬的各位。
RO635(4)<Speaker>RO635</Speaker>||:……？！
RO635(5)<Speaker>RO635</Speaker>||:你是谁？！
BOSS-7(0)<Speaker>计量官</Speaker><通讯框>||<BGM>BGM_Boss</BGM>:铁血工造SP21 “Gager”，通称“计量官”。+AR小组，以及全部在场的格里芬人形，你们不可能逃出这里的。+就在通讯接通的这一刻，你们的存在已经被完全暴露了。
RO635(0)<Speaker>RO635</Speaker>;BOSS-7(0)||:…………
RO635(4)<Speaker>RO635</Speaker>;BOSS-7(0)||:（原来……现在才暴露吗？）
BOSS-7(0)<Speaker>计量官</Speaker>||<黑屏1>:我为你们的勇气和求生意志感到钦佩，不过很快就要结束了。+敬请享受最后的时光吧，铁血马上就会彻底包围你们……+……所有希望很快就会消散殆尽。
()||<黑屏2><BIN>34</BIN>:…………同一时间，铁血指挥室。
BOSS-9(0)<Speaker>建筑师</Speaker>||:哇！好帅气的发言啊，计量官！+就是这种气势！让那些半吊子见识下什么叫专业的战斗人形！
BOSS-7(0)<Speaker>计量官</Speaker>;BOSS-9(0)||:（叹气）不务正业的家伙，你也算一个吧……
BOSS-7(0);BOSS-9(0)<Speaker>建筑师</Speaker>||:喂喂！我可是在好好地测试炮台啊！+你看看外面，那一长列炮台都是我安的，齐发时一定很酷吧？
BOSS-7(0)<Speaker>计量官</Speaker>;BOSS-9(0)||:就为了这个？你就把炮台连着造到一起？+这样下去，就算是我，也没法保证后续的资源能跟得上啊……
BOSS-7(0);BOSS-9(0)<Speaker>建筑师</Speaker>||:没关系，这个样子才算得上整齐划一嘛！+再说，我好歹是你的长官啊！辅佐我不就是你的职责嘛！
BOSS-7(0)<Speaker>计量官</Speaker>;BOSS-9(0)||:是，那么作为副官，我现在要出门消灭几只虫子。
BOSS-7(0);BOSS-9(0)<Speaker>建筑师</Speaker>||:诶？一定要去吗？放着不管也没问题吧？
BOSS-7(0)<Speaker>计量官</Speaker>;BOSS-9(0)||:那几只虫子里，包括AR小组剩余的三人。
BOSS-7(0);BOSS-9(0)<Speaker>建筑师</Speaker>||:诶？？！那我也要去啊！
BOSS-7(0)<Speaker>计量官</Speaker>;BOSS-9(0)||:你出去了谁来照看基地？再说，基地是她们离开这里的必经之路。+你安心守在这里，一旦发现任何格里芬的行踪，就立刻通知我。
BOSS-9(0)<Speaker>建筑师</Speaker>||<黑屏1>:好好！快点去吧，我会好好看家的！
