()||<SE2>Alarm</SE2><BIN>10</BIN>:…………五分钟后，铁血警报响起。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE1>Battlefield</SE1>:警报响了，那家伙要来真的了！
M16(3)<Speaker>M16A1</Speaker>||:冷静点，它们不会马上到达这里。+RO，能估算出铁血会有多少兵力吗？
RO635(0)<Speaker>RO635</Speaker>||:…………+这个区域里的铁血……我想不是个小数目。+但是，我不认为以计量官的指挥效率，能一口气调动那么多部队。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE1>Battlefield</SE1>:这是什么意思？不会有太多敌人一起过来吗？
RO635(0)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>:还有一种可能……
RO635(3)<Speaker>RO635</Speaker>||:……就是这片区域内的头目不只有一个。
M16(3)<Speaker>M16A1</Speaker>||:喂喂，你说可能有两个头目？+快告诉我，你是瞎猜的。
RO635(0)<Speaker>RO635</Speaker>||:的确只是个猜测，但我们不能慌了手脚到处乱撞。+趁铁血还没包围过来，我们先寻找后方的突破点。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE1>Battlefield</SE1>:M1887怎么办？我们还没找到她……
RO635(0)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>:我们在前面没有遇到她，那么她一定在区域的更深处。+只能继续前进，然后撞大运能碰到她们了。+毕竟……保护我们自身的安全才是第一点。
M16(3)<Speaker>M16A1</Speaker>||:…………+我明白，RO，现在就指挥大家前进吧。
