()||<BIN>10</BIN>:【提示】请认真阅读接下来的剧情教程以顺利进行游戏。
AEK999(0)<Speaker>AEK999</Speaker>||:所以，这个又是什么，菲尔？
FAIL(0)<Speaker>菲尔</Speaker>||:这个嘛……你马上就会知道了。
DJMAXSUEE(0)<Speaker>希依</Speaker><Position>0,300</Position>||:大家！你们还好吗！
M950A(0)<Speaker>M950A</Speaker>||:希依！你醒过来了！
DJMAXSEHRA(0)<Speaker>世拉和妮娜</Speaker><Position>0,300</Position>||:我们又见面啦！
AEK999(0)<Speaker>AEK999</Speaker>||:啊！是你们！你们都在这里吗！
TMP(0)<Speaker>TMP</Speaker>||:怎么回事？良心发现了，菲尔？
FAIL(0)<Speaker>菲尔</Speaker>||:哎呀……我都说了，我也是为了大家好啊。
Thunder50(0)<Speaker>雷电</Speaker>||:你们……会原谅她吗？
DJMAXSUEE(0)<Speaker>希依</Speaker><Position>0,300</Position>||:我知道的，菲尔小姐……也是在保护我们。
DJMAXSEHRA(0)<Speaker>世拉和妮娜</Speaker><Position>0,300</Position>||:在那个封闭的环境下，也许那也是一种办法吧。
CLEAR(0)<Speaker>克莉尔</Speaker><Position>0,100</Position>||:（摊手）虽然过时了五十年很久就是了。
FAIL(0)<Speaker>菲尔</Speaker>||:喂喂，只有这个会伤到我的心啊，克莉尔。
CLEAR(0)<Speaker>克莉尔</Speaker><Position>0,100</Position>||:如果你稍稍识相一点，就不会被大家痛扁了啊。
FAIL(0)<Speaker>菲尔</Speaker>||:呜！别得意，不会再有第二次啦！
CLEAR(0)<Speaker>克莉尔</Speaker><Position>0,100</Position>||:哦？要比一比吗？谁的音乐更有魅力？
K2(0)<Speaker>K2</Speaker>||:她们两个……原来不是那么好的朋友吗？
FAIL(0)<Speaker>菲尔</Speaker>||:克莉尔，组个乐队吧！我们好好比试一下。+先说好，我的妖精们还不会马上认可你哦。
CLEAR(0)<Speaker>克莉尔</Speaker><Position>0,100</Position>||:哼哼，没问题，我不需要口袋城的居民也能做到。+（指着人形们）我只要她们就够啦！
()<Speaker>全体人形</Speaker>||:……诶？！
FAIL(0)<Speaker>菲尔</Speaker>||:哼哼，我很期待哦。+你和这些半吊子音乐爱好者们努力前进的灵魂，一定很美味才对。+口袋城的大家！我们也不能落后哦！
K2(0)<Speaker>K2</Speaker>||:克莉尔，你……你是认真的？
CLEAR(0)<Speaker>克莉尔</Speaker><Position>0,100</Position>||:有什么问题嘛，有我在这里呢！+放心吧，一个月后，我们一定能上台给大家献上最棒的演出！+现在，前方还有最后一个封印了，让我们先演练一下吧！
()||:【提示】前方的战斗将与通常战斗完全不同，请阅读以下说明。+首先，请提前关闭【自动技能】指令，并打开游戏设置的【音乐】开关，以免出现突发状况。+在音乐标记坠落到水平线的瞬间，准确点击对应的人形技能图标，以获得对应的MAX同步率。+否则，人形将受到一定伤害。+在音乐播放结束前保证您的人形没有全部被击败，即可获得胜利。+最后提示，请提前关闭【自动技能】指令，并打开游戏【音乐】以免出现突发状况。
