()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()||<BIN>157</BIN><BGM>BGM_Danger</BGM><黑屏2>:
()||:……最终决定让HK416用信号弹在【红区】进行标记。
AN94(2)<Speaker>AN94</Speaker>||:安洁，看那个信号弹！
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>||:是格里芬的制式信号弹，是指挥官在指引我们！
AN94(4)<Speaker>AN94</Speaker>||:可是……那里是红区，安洁……我不认为这是明智的选择。
AK12(2)<Speaker>AK12</Speaker>||:安洁……你恐怕撑不到安全地带。
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>||:咳……没关系……我愿意赌一把。
AN94(4)<Speaker>AN94</Speaker>||:这可不是靠意志力就能挺过去的事情。
AK12(2)<Speaker>AK12</Speaker>||:仪器显示，这个区域的污染度还在增加，进入【红区】只会让你的症状更加严重。
NPC-AngeDamage(3)<Speaker>安洁莉娅</Speaker>||:也就是说，更没有时间浪费了，我们快走！
AN94(4)<Speaker>AN94</Speaker>||:走吧，AK12，感染者增多了，不能拖延下去了。
AK12(2)<Speaker>AK12</Speaker>||:我强烈建议立刻采用【黄区】的路线！
NPC-AngeDamage(0)<Speaker>安洁莉娅</Speaker>||:我相信指挥官！咳咳……快、快点！
NPC-AngeDamage(2)<Speaker>安洁莉娅</Speaker><Shake>||:指挥官……咳咳……引导我们……
NPC-AngeDamage(2)<Speaker>安洁莉娅</Speaker><Shake>||:AK12，AN94……咳咳……
NPC-AngeDamage(2)<Speaker>安洁莉娅</Speaker><Shake>||<黑屏1>:如果……如果……你们知道……+咳……咳咳咳……！咳——！
()||<BIN>10</BIN><黑点2>:
