()||<SE1>Battlefield</SE1><BIN>7</BIN><Night>:…………
G11(2)<Speaker>G11</Speaker>||:呼……总算安全了，可累坏我了……
UMP9(2)<Speaker>UMP9</Speaker>||:嘿嘿，明明是416比较累吧……+诶？416，你怎么不反击了？
HK416(2)<Speaker>HK416</Speaker>||:…………+45，这会不会有点奇怪？+为什么我们的行动……会一直暴露在建筑师的摄像头之下？
UMP45(0)<Speaker>UMP45</Speaker>||<SE1>Battlefield</SE1>:哦？你觉得我是有意这么做的？+你的疑心病又犯了呢，416。
HK416(0)<Speaker>HK416</Speaker>||:那就请你快说点什么，治好我吧。
UMP9(2)<Speaker>UMP9</Speaker>||:416……
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏1>:哼哼……+布局是要花时间的，时间越久，对我们越有利。+而行动，到了现在才真正开始。
UMP45(0)<Speaker>UMP45</Speaker>||<SE1>Battlefield</SE1><BIN>10</BIN><黑屏2>:看到前面的据点了吗？
UMP9(0)<Speaker>UMP9</Speaker>||:那里……是建筑师的基地吧？
UMP45(0)<Speaker>UMP45</Speaker>||:没错，我们的目标就是突袭这个据点。
HK416(2)<Speaker>HK416</Speaker>||:开什么玩笑……+全是重型炮台的阵地里，基地难道不会防守更严密吗？
UMP45(0)<Speaker>UMP45</Speaker>||:通常情况是这样的。+但这一次，我们面对的不是通常的对手。
UMP9(0)<Speaker>UMP9</Speaker>||:而且，我们也不是通常的人形梯队啊！+我相信45姐，一定是有万全之策才行动的！
G11(0)<Speaker>G11</Speaker>||:你又输了哦，416。
HK416(0)<Speaker>HK416</Speaker>||:（叹气）……+反正你是队长。
UMP45(0)<Speaker>UMP45</Speaker>||:那么各位，我们必须迅速行动了。+不能给建筑师任何反应的机会，现在开始跑起来吧！
