()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Room</BGM><BGM>BGM_Room</BGM>:
安洁()||<黑屏1><BGM>BGM_Room</BGM>:……好了，闲谈时间结束。
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>||<黑屏2><BIN>181</BIN>:开始做我们该做的事吧。+AK12，现在隔离墙周边的状况如何？
AK12(0)<Speaker>AK12</Speaker>||:隔离墙外三公里扇面内有五处感染生物正在聚集，原因不明。+目测观察，这些感染生物的状态并不稳定。隔离墙附近的驻军没有采取行动。+另外，根据最新的预报，之后可能会有雷暴天气，附近的辐射程度会大大增加。
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:雷暴啊……真是糟糕的天气。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:雷暴天气可能会进一步刺激那些感染生物。+如果我是负责隔离墙安全的军官，这个时候就使用火力驱散那些怪物了。
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:这是不可能的。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:为什么？+现在城市里不是正在开重要的国际会议吗？
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:正因如此，为了避嫌军队使用武力会更加谨慎。+再说，由于坍塌液造成的污染，这里现在已经不再是这个国家的首都了，有没有足够的应急兵力都是个问题。+贝莱格莱德现在的地位……仅仅是一个污染区边缘的普通城市而已。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:所以也不会有太多人在乎一个被放弃的首都吗？
NPC-AngeStreet(0)<Speaker>安洁莉娅</Speaker>;AK12(0)||:没错……所以这里的守备力量比较薄弱。+相比其他的城市，各方势力在这里的力量都不是很强。+我想，这次会议之所以选在这里，多半也有这方面的考虑。
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:即使伴随着会被感染生物攻击的风险吗？
