()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BGM>BGM_Brain</BGM><BIN>159</BIN><黑屏2>:……+塔林市内，另一侧。+404小队正在废墟中搜索。
UMP45Mod(0)<Speaker>UMP45</Speaker>||:我找到干扰源了。
UMP45Mod(0)<Speaker></Speaker>||:UMP45向其他人招了招手，示意大家聚集过来。
HK416Mod(0)<Speaker>HK416</Speaker><Shake>;UMP45Mod(0)||<白屏1>:开什么玩笑？+这不就是……
HK416()<Speaker>HK416</Speaker>||<BIN>198</BIN><白屏2>:一具人类的尸体吗！
()<Speaker>UMP45</Speaker>||:但她的确是是干扰源——当然是其中之一。+嗯……她的下半身是机械。生命体征已经完全消失了。+看起来距离死亡时间不长，这些花瓣是……？
()<Speaker>HK416</Speaker>||:你打算在这里做尸检吗？
()<Speaker>UMP45</Speaker>||:我们干的杂活也不算少了，反正计件收费。+是辐射致死的么？9，帮我把她的胳膊抬起来。+……
()<Speaker>UMP45</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:……9？
()<Speaker></Speaker>||<黑屏2><BIN>199</BIN><SE1>AVG_whitenoise</SE1><BGM>m_avg_labyrinth</BGM>:天色不知何时改变了。+稀薄的雾气萦绕在UMP45的周围，而这里除了她与她怀中的少女尸体之外空无一人。+轻微的布料摩擦声响起，周围似乎有许多人在呢喃着什么。UMP45觉得有些熟悉，却想不起这是什么声音。+然后，她的手被少女冰冷而柔软的手握紧。
悠远的声音()<Speaker>悠远的声音</Speaker>||<SE1>AVG_Bell</SE1>:第一个人与劣质品一起，为了父亲走入夜幕。黑夜晕染了她白色的裙摆，花朵凋谢在堕落者的囚笼里。+第二个人是不完整的，还未走出去便已坠落。暮色冻结了她的时间，花朵在永恒的痛苦中停止生长。+第三个人与她的姐妹一起，手拉手闯进白昼。阳光摔碎在她黑色的衣袖上，花朵未绽便落入了铁水。+第四个人失去了同伴，迷失在雾气中。她还没有等到她的时刻，只是一味地模仿着血亲而活。+……第五个人，她是否在我的面前？
UMP45()<Speaker>UMP45</Speaker>||:M4？涅托？
悠远的声音()<Speaker>悠远的声音</Speaker>||<SE1>AVG_Bell</SE1>:你是我们的一员吗？+你是被选中的那个人么？+或者，你愿意接纳我们吗？
UMP45()<Speaker>UMP45</Speaker>||:这是什么暗号吗？+不对，这是强行链接……我的云图在被读取……像是要炸了一样………
悠远的声音()<Speaker>悠远的声音</Speaker>||<黑屏1><SE1>AVG_Bell</SE1>:啊，她能听到我们的声音。+啊，她知道我们的同伴在哪里。+虽然被选中的人还是没有出现，但是那个愿意接纳我们的人终于来了。+太好了。+太好了。
悠远的声音()<Speaker>悠远的声音</Speaker>||<SE1>AVG_Bell</SE1><BIN>9</BIN><黑屏2>:太好了。
NytoIsomer(0)<Speaker>悠远的声音</Speaker>||<黑屏1><SE1>AVG_Bell</SE1>:太好了。
急迫的声音()<Speaker>急迫的声音</Speaker>||<黑屏2><黑屏1>:……姐！45姐，快醒醒！
()<Speaker></Speaker>||<BIN>159</BIN><黑屏2><SE1>AVG_tele_disconnect</SE1><BGM>BGM_Empty</BGM>:周围的景象豁然大亮。+UMP45环视四周，404小队的成员全都在她的身边。+少女的尸体静静躺在她怀里，面容安详，如同沉睡。
UMP9Mod(4)<Speaker>UMP9</Speaker>||<SE1>Heartbeat</SE1>:醒过来了吗？+看得到我吗45姐？回我一句话——
