()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<Night><BIN>6</BIN><黑屏2>:……格里芬基地正门。+趁着刚刚战斗的空隙，经过破坏者精心改造后的铁血兵蚁混入了格里芬人形当中，正乖巧懂事地坐在门口。
FAL(2)<Speaker>FAL＆雪貂菲儿</Speaker>||:……
CZ75(2)<Speaker>CZ75</Speaker>||<BGM>BGM_Hello</BGM>:你们看不见吗……有几个小家伙在那里蹲着……
KP31(2)<Speaker>索米</Speaker>||:就是看见了才不知道该怎么办……+像是被抛弃的流浪动物一样……委屈巴巴地等着我们……
FAL(2)<Speaker>FAL</Speaker>||:等等，走过来了……+一直抱着我的腿蹭，看来是品味不错的兵蚁。
()<Speaker></Speaker>||:雪貂菲儿发出了不满的声音。
OC44(2)<Speaker>OTs-44</Speaker><Position>0,-150</Position>||:呜哇！正好可以给我帮上忙！
WA2000(2)<Speaker>WA2000</Speaker>||:带回基地也不是不可以，我是说，我们现在也很需要帮忙对吧……
G36(4)<Speaker>G36</Speaker>||:这么冷的天气，放它们在外面好可怜哦……
M1903(2)<Speaker>春田</Speaker>||<黑点1>:既然大家都不反对，那我们就先收留下来，等指挥官回来之后再做定夺吧。
()<Speaker></Speaker>||<BIN>7</BIN><黑点2><Night>:……格里芬基地附近的隐蔽角落。+眼看着改造兵蚁成功被格里芬人形接收，破坏者高兴地一猛子扎进了雪堆里。
BOSS-7(0)<Speaker>计量官</Speaker><通讯框>||:<color=#00CCFF>这么快就放松警惕，可要当心乐极生悲。</color>
()<Speaker></Speaker>||:破坏者成熟稳重地自己钻了出来。
BOSS-6(0)<Speaker>破坏者</Speaker>||:放心吧，我不会让失败再次重演的。
()<Speaker></Speaker>||<黑点1><BGM>BGM_Empty</BGM>:破坏者握紧了拳头，眼神充满坚定。
()<Speaker></Speaker>||<黑点2><BIN>9</BIN><黑屏1>:……与此同时。+……格里芬基地的烟囱边。+ART556若有所思地盯着这些新来的兵蚁，嘴角弯起了一抹邪恶的笑。
