()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>7</BIN><黑屏2><Night>:……格里芬基地附近的隐蔽角落。
BOSS-6(0)<Speaker>破坏者</Speaker>||:哼哼，这样就想赢过我？+不愧是天真的格里芬人形，果然按照我的路线给我的兵蚁留出了逃跑的空间。
BOSS-7(0)<Speaker>计量官</Speaker><通讯框>||:<color=#00CCFF>听上去，你那边进行得很顺利啊？</color>
BOSS-6(0)<Speaker>破坏者</Speaker>||<黑点1>:那当然，毕竟是我制定的计划！+接下来只要让它冲进礼物堆里，这些愚蠢的格里芬人形就再也抓不到我了！+我的礼物快递即将送达哈哈哈哈……
()<Speaker></Speaker>||<BIN>81</BIN><黑点2><BGM>BGM_Sneak</BGM>:……格里芬基地混战现场。+兵蚁疲惫地从人形的围堵中钻出，按照命令朝着礼物堆的方向发动了最后的冲刺……
M1903(2)<Speaker>春田</Speaker>||:这个方向……看来是打算钻进礼物堆中蒙混过关……
WA2000(2)<Speaker>WA2000</Speaker>||:CZ75！它朝你去了！
CZ75(2)<Speaker>CZ75</Speaker>||:交给我吧，就让我来把你砍成——
()<Speaker></Speaker>||:CZ75预判着兵蚁的走位，斧头蓄力一击砸下，却落了空。+OTs-44轻轻扯了扯CZ75的衣角。
OC44(2)<Speaker>OTs-44</Speaker><Position>0,-150</Position>||:你看……兵蚁突然不动了……
()<Speaker></Speaker>||<黑点1>:CZ75这才注意到原本夺命狂奔的兵蚁突然停下了动作，保持着即将跃入礼物堆中的姿势……
()<Speaker></Speaker>||<BIN>9</BIN><黑点2>:破坏者看着监控中的画面露出了疑惑的表情。
BOSS-6(0)<Speaker>破坏者</Speaker>||<黑点1>:怎么回事……为什么不再响应我的指令了？+温度在迅速飙升……+我明明没有设置炸弹模式的啊……
()<Speaker></Speaker>||<BIN>81</BIN><黑点2>:格里芬人形好奇地凑上前。
KP31(2)<Speaker>索米</Speaker>||:似乎是动能消耗过快，温度上升引起的宕机？
MG5(2)<Speaker>MG5</Speaker>||:只是这种程度的运动，就已经热到宕机了吗？
()<Speaker></Speaker>||:索米和MG5小心地靠近一动不动的兵蚁……
WA2000(2)<Speaker>WA2000</Speaker>||:等等——！
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:WA2000的呐喊还没来得及引起人形们的注意，就淹没在了一声爆炸中。
()<Speaker></Speaker>||<SE1>Explode</SE1>:“砰”——
KP31(3)<Speaker>索米</Speaker><Shake>||<火花>:啊啊啊——
MG5(3)<Speaker>MG5</Speaker>||:可恶——
()<Speaker></Speaker>||<BGM>BGM_Wake</BGM>:兵蚁突然爆炸，登时火焰就吞下了礼物堆……+人形们爆发出的哀嚎瞬间掀翻了天花板。
RFB(2)<Speaker>RFB</Speaker>||:不要啊！！！我精心准备的礼物……
M1873(2)<Speaker>柯尔特左轮</Speaker>||:不！！！等等，放下我的可乐！！！
SVD(2)<Speaker>SVD</Speaker>||:都这种时候了，就不要心疼可乐了啊！
M1903(2)<Speaker>春田</Speaker>||:我去启动火灾急救设施，你们去那边的保洁室接水灭火。
()<Speaker></Speaker>||:格琳娜痛苦地揪住头发，脸色黑得像烧毁的基地墙壁。
NPC-Kalin(7)<Speaker>格琳娜</Speaker>||<黑点1>:怎么会这样……+基地修复的费用……可千万不要算在我的头上啊！
()<Speaker></Speaker>||<BIN>7</BIN><黑点2><Night><关闭火花>:……与此同时，格里芬基地附近的隐蔽角落。+破坏者激动得跳出了藏身的灌木丛。
BOSS-6(0)<Speaker>破坏者</Speaker><Shake>||<黑点1>:怎么会这样！！！不！！！+等等，我还有其他兵蚁可以操纵……+我还有机会……
()<Speaker></Speaker>||<BIN>81</BIN><黑点2>:格里芬人形再次乱成一团，大家慌慌张张地灭火，努力抢救出已经烧得漆黑的礼物……
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:待到硝烟终于散尽，一个吊在半空被熏得黑乎乎的人形出现在了眼前……
WA2000(2)<Speaker>WA2000</Speaker>||<BGM>m_avg_casual</BGM>:你吊在这里做什么，ART556？
ART556(5)<Speaker>ART556</Speaker><Position>0,200</Position>||:嗯……这个……我可以解释的……
()<Speaker></Speaker>||:ART556沉思了片刻。
