()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:几分钟前。
()<Speaker></Speaker>||<BIN>222</BIN><黑屏2><BGM>BGM_Danger</BGM>:基地一层，通海阀不远处。
UMP45Mod(0)<Speaker>UMP45</Speaker>||<SE2>Gunfight</SE2>:UMP45呼叫AR小队，你们到哪里了？+我们弹药快打完了。
UMP45Mod(0);HK416Mod(0)<Speaker>HK416</Speaker>||:手枪子弹也打完了！+指挥官，把你的枪给我！
UMP45Mod(0);HK416Mod(0)<Speaker>指挥官</Speaker>||:还有两分钟就要引爆了，你们自己想办法离开吧。
UMP45Mod(0)<Speaker>UMP45</Speaker>;HK416Mod(0)||<SE1>Select</SE1>:我们自己离开谁付报酬给我们？我从不做亏本生意。+最后一个弹匣！
UMP45Mod(0);NPC-Kalin(8)<Speaker>格琳娜</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>指挥官！我们有人形突破封锁冲进来了！</color>+<color=#00CCFF>现在你在什么位置？！</color>
UMP45Mod(0);NPC-Kalin(8)<Speaker>指挥官</Speaker>||:不是说不要管我吗，你们先撤！
UMP45Mod(0);NPC-Kalin(8)<Speaker>格琳娜</Speaker>||:<color=#00CCFF>这种事没有人会答应的！</color>+<color=#00CCFF>快告诉我们你的位置！</color>
UMP45Mod(0)<Speaker>UMP45</Speaker>;NPC-Kalin(1)||:已经同步过去了，有多少人可以来支援？
SL8(1)<Speaker>SL8</Speaker>;NPC-Kalin(1)||<SE1>AVG_tele_disconnect</SE1>:真遗憾啊，只有我一个，还是从海里游上来进了水的。+不过我还能握枪，也带了完好的弹药补给来。
SL8(1);HK416Mod(0)<Speaker>HK416</Speaker>||:有总比没有好！
SL8(1)<Speaker>SL8</Speaker>||:你说得对。哇喔，指挥官，你看起来也太凄惨了吧！+……哦，不用说话，保存好体力！
()<Speaker></Speaker>||<SE1>RunStep</SE1>:突破的人形身上已经受了不少的创伤，但她还是迅速地来到了我身边。+获取弹药后，404小队也恢复了反击的火力。
RO635(0)<Speaker>RO635</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>RO呼叫404，我们从你们的侧面靠近，不要对我们开枪。</color>
UMP45Mod(0)<Speaker>UMP45</Speaker>||<SE1>AVG_pistol_finalshot_n</SE1><SE1>AVG_tele_disconnect</SE1>:来得太晚了。
()<Speaker></Speaker>||<SE2>Gunfight</SE2><SE1>Explode</SE1>:AR小队的火力猛然在军方分队的侧面爆发，两发榴弹在士兵之间炸开，再加上人形的准确射击，这支分队很快就被消灭了。
RO635(0)<Speaker>RO635</Speaker>||:指挥官你没事吧？
RO635(0)<Speaker>指挥官</Speaker>||:至少没死。还有一分钟就要爆炸了，我们赶紧离开这里。
RO635(0)<Speaker>RO635</Speaker>||:没问题，我们马上突破出去，404的两位也请跟紧我们。
UMP45Mod(0)<Speaker>UMP45</Speaker>||:当然。
SL8(1)<Speaker>SL8</Speaker>||:啊，指挥官不用勉强。来，我抱着你跑比较快！
SL8(1)<Speaker>指挥官</Speaker>||<黑屏1>:等等，我还不至于……算了，拜托了。
()<Speaker></Speaker>||<黑屏2><BIN>234</BIN><SE1>Explode</SE1>:在AR小队的优势火力下，格里芬一行人终于突破了军方小队最后的火力封锁。+在离开基地内侧不久，爆炸声便接踵而至，大量的海水随着炸开的缺口汹涌地冲进基地内。+人形们带着我提早爬上了上层的空间，从而避免了被海水冲走的命运。+但是显而易见，还在基地中的士兵们就没有那么幸运了。
NPC-Kalin(4)<Speaker>格琳娜</Speaker>||<BGM>BGM_Empty</BGM>:没想到军方最后真的被我们消灭了……虽然是以这种形式。+真是难以想象……
NPC-Kalin(4)<Speaker>指挥官</Speaker>||:但是安洁和忤逆还在下面，M4也联系不上。+海水这么倒灌下去，基地的下层都会被淹没。
NPC-Kalin(1)<Speaker>格琳娜</Speaker>||:她们一定能够有办法脱身的。
NPC-Kalin(1)<Speaker>指挥官</Speaker>||:希望如此吧，我们在这里现在也做不了什么了。+这些孩子是？
NPC-Kalin(3)<Speaker>格琳娜</Speaker>||:刚才404小队的人形将她们带回来的。
NPC-Kalin(3)<Speaker>指挥官</Speaker>||<BGM>BGM_Room</BGM>:……涅托的幼体么？+这就是安洁她们提早进来调查的目标？
NPC-Jason(1)<Speaker>K</Speaker>;NPC-Kalin(3)||<SE1>RunStep</SE1>:指挥官！
NPC-Jason(1)<Speaker>指挥官</Speaker>;NPC-Kalin(3)||:原来你还活着啊，K。
NPC-Jason(1)<Speaker>K</Speaker>;NPC-Kalin(3)||:你是盼着我出些事故么。
NPC-Jason(1)<Speaker>指挥官</Speaker>;NPC-Kalin(3)||:你来得正好，这些是安洁让404小队带出来的孩子，你应该知道些什么吧。
NPC-Jason(1)<Speaker>K</Speaker>;NPC-Kalin(3)||:这是在基地下面发现的那些孩子吗。
NPC-Jason(1);NPC-Kalin(3)<Speaker>格琳娜</Speaker>||:是的。
NPC-Jason(1)<Speaker></Speaker>||:K看着躲在UMP45身后的小涅托，眼神有一些复杂。
NPC-Jason(1)<Speaker>指挥官</Speaker>||:有什么能跟我们解释的吗，史塔西的凯恩先生。
NPC-Jason(1)<Speaker>K</Speaker>||:这些孩子并不是我们的首要目标，确切地说我们一开始并不知道她们的存在。+不过我在南欧寻找帕拉蒂斯的线索时，有看到过涅托幼体原型的相关信息。+那是一份关于一座非法的孤儿院的情况报告。
NPC-Jason(1)<Speaker>指挥官</Speaker>||:孤儿院？
NPC-Jason(1)<Speaker>K</Speaker>||:对，德国南部一家孤儿院。我们相信是帕拉蒂斯开始他们实验的地方。这些孩子们都是帕拉蒂斯制造的克隆体。
NPC-Jason(1)<Speaker>指挥官</Speaker>||:为了什么目的？
NPC-Jason(1)<Speaker>K</Speaker>||:帕拉蒂斯尝试制作能连接网络的人类来进入OGAS系统。+但这仅仅停留在情报官员的猜测中，没人确切地知道帕拉蒂斯进行到哪一步了。
NPC-Jason(1);NPC-Kalin(4)<Speaker>格琳娜</Speaker>||:人类意志构成的心智空间？+这……不太可能吧。
UMP45Mod(0)<Speaker>UMP45</Speaker>;NPC-Kalin(4)||:可惜这是真的，我已经在实验室里见识过了。
UMP45Mod(0)<Speaker>指挥官</Speaker>||<BGM>BGM_Empty</BGM>:是么……+太奇怪了，帕拉蒂斯到底在制造什么？
()<Speaker></Speaker>||<SE1>Explode</SE1><SE2>Alarm</SE2><震屏>:轰，轰，轰！+地面又开始震动起来。
