()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker></Speaker>||<黑屏2><BIN>86</BIN><Night><火花><SE2>Alarm</SE2>:……公寓外。+姗姗来迟的消防队和警方终于封锁了现场，开始对火场进行紧急的扑灭。+斯塔西们悄悄从现场消失，将自己的影子藏在了不见光的角落中。+上一幕的演员退场，新人便登上了舞台。
()<Speaker>群众A</Speaker>||<SE1>AVG_Crowd</SE1><BGM>BGM_Battle</BGM>:喂……快看！那个人！
()<Speaker>群众B</Speaker>||:咦……夏朵？是夏朵利兹！
()<Speaker></Speaker>||:夏朵利兹蛮横地跨过了封锁，高举着自己的记者证。
NPC-Shadowless(9)<Speaker>夏朵利兹</Speaker>||:我是柏林电视台的夏朵利兹！+请问谁是负责人！我想采访关于这次火灾的事！
NPC-Shadowless(9)<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:滴。+她的耳麦恰到时候地响了起来。
NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:喂？对，我是夏朵，嗯，我已经在现场了……现在？还是一片混乱。+我需要支援，对，摄影师。+十五分钟？你跟我开玩笑吗？+最多五分钟！
NPC-Shadowless(8)<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:她关掉了耳麦，又看向了混乱的情景。+消防员们是不必考虑了，现在正是火灾最棘手的节点，她不能去打搅他们。+警察？虽然是不错的选择……但是这段时间她跟警察打交道的结果都不是很愉快。+那么……
NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:嗯？
NPC-Shadowless(8)<Speaker></Speaker>||:她敏锐的第六感在关键的时刻再次起了作用。
NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:……见鬼。
()<Speaker></Speaker>||<SE1>RunStep</SE1>:她三步并作两步，直接上前抓住了人群中的一个警察。
NPC-Shadowless(9)<Speaker>夏朵利兹</Speaker>||:凯文！
NPC-Shadowless(9);NPC-Keven(0)<Speaker>J</Speaker>||:你怎么在这！？+不，你怎么发现我的！？
NPC-Shadowless(9);NPC-Keven(0)<Speaker></Speaker>||<BGM>BGM_Empty</BGM><黑点1>:警察打扮的J被夏朵拉着，两人躲避着人群的视线，缩到了一个角落里。
NPC-Shadowless(9)<Speaker>夏朵利兹</Speaker>||<关闭火花><黑点2><Night><BGM>BGM_Brain</BGM>:闭嘴！回答我！你怎么在这？+斯塔西跟这件事是什么关系？
NPC-Shadowless(9);NPC-Keven(0)<Speaker>J</Speaker>||:饶了我吧，小祖宗。+你想害我丢饭碗吗？
NPC-Shadowless(9)<Speaker>夏朵利兹</Speaker>;NPC-Keven(0)||:我知道！我不会耽误你太多时间的！
NPC-Shadowless(8)<Speaker></Speaker>;NPC-Keven(0)||:夏朵一把扯住了J的衣领，关掉了自己的录音笔。+在混乱的现场，几乎不再有人注意到这狭小的角落里对峙的两人。
NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>;NPC-Keven(0)||:我不会为难你……告诉我，莱特还好吗？+他今晚没回家，我感觉他不太对劲。
NPC-Shadowless(8);NPC-Keven(0)<Speaker>J</Speaker>||:……
NPC-Shadowless(8);NPC-Keven(0)<Speaker></Speaker>||:J张了张嘴，一时之间不知道该说什么。
NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>;NPC-Keven(0)||:……我们昨天吵了一架。
NPC-Shadowless(8);NPC-Keven(0)<Speaker>J</Speaker>||:呃……我要为此负责吗？
NPC-Shadowless(6)<Speaker></Speaker>;NPC-Keven(0)||:夏朵狠狠地踩了J的皮鞋一脚。
NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>;NPC-Keven(0)||:只是老样子而已……但我这次想了很多。+有些话，我希望你帮我转达给他。
NPC-Shadowless(8);NPC-Keven(0)<Speaker>J</Speaker>||:你们姐弟的问题能不能别扯上我……
NPC-Shadowless(8);NPC-Keven(0)<Speaker></Speaker>||:J疼得呲牙咧嘴，却不禁有些庆幸。+托这的福，至少他不必苦恼要如何维持表情，夏朵的第六感非常敏锐，如果自己有什么不对，她很快就能发现。+……他该怎么跟夏朵说呢？
NPC-Shadowless(9)<Speaker>夏朵利兹</Speaker>;NPC-Keven(0)||:闭嘴！别打断我！+而且他会进斯塔西本来就是你的错！
NPC-Shadowless(8)<Speaker></Speaker>;NPC-Keven(0)||:夏朵小心地确认了一下周围。
NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>;NPC-Keven(0)||:……我想了很多，也许他说的没错。+我愿意理解他的决定……我们是亲人。+我永远支持他。
NPC-Shadowless(8);NPC-Keven(0)<Speaker>J</Speaker>||:……
NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>;NPC-Keven(0)||:就是这样。
NPC-Shadowless(8)<Speaker></Speaker>;NPC-Keven(0)||:夏朵松开了J，撩了一下头发，佯装无事般又将目光放在了身后。+J一时之间竟不知道她是在确认周围还是在掩饰害羞。
NPC-Shadowless(8);NPC-Keven(0)<Speaker>J</Speaker>||:……我会转达的。
NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>;NPC-Keven(0)||:谢谢……改天来我家吃饭吧。+我们也很久没见了。
NPC-Keven(0)<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:得到回应后，夏朵对J笑了笑，然后歉意地欠了欠身，转身匆匆地从角落里跑了出去。+如她自己所说的那样，她的确没有耽误J太多的时间。
NPC-Keven(0)<Speaker>J</Speaker>||<BGM>BGM_Wake</BGM>:莱特……你这个臭小子……
NPC-Keven(0)<Speaker></Speaker>||:看着恢复工作状态的夏朵已经开始采访目击现场的市民，他也抬起了头，看向火势已经逐渐被控制的公寓。+……得进去看看。
NPC-Keven(0)<Speaker>J</Speaker>||:不好意思！借过！+我是警察！
()<Speaker></Speaker>||<SE1>RunStep</SE1><黑屏1>:掏出了伪造的警员证，J从人群中穿了过去。
