()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()||<黑屏2><BIN>82</BIN><BGM>BGM_Moon</BGM>:午后。+玛赫莲从睡梦中迷迷糊糊醒来。+床边坐着的人形也正在假寐。
NPC-Machlian(6)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:唔……
VP1915(0)<Speaker>帕罗莎</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:你醒了。
VP1915(0)<Speaker></Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:在玛赫莲轻轻伸懒腰之际，帕罗莎睁开了眼。
VP1915(0)<Speaker>帕罗莎</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:你睡得应该还不错吧？
VP1915(0);NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:嗯，挺好的……+其他人呢？
VP1915(0)<Speaker>帕罗莎</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:她们在外面研究怎么制作人类食用的料理，听声音似乎进展得不太顺利。
VP1915(0);NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:……
VP1915(0);NPC-Machlian(5)<Speaker></Speaker><Position>0,-50</Position>||:玛赫莲侧耳倾听，房间外确实吵吵闹闹的，但听不太清她们到底在吵什么。
VP1915(0)<Speaker>帕罗莎</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:要出去看看吗？睡醒以后，走一走或许更易消乏。
NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:好的。
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><黑屏1>:玛赫莲从床上起身，跟着帕罗莎走出了屋外。
()<Speaker></Speaker>||<黑屏2><BIN>129</BIN><BGM>m_avg_casual</BGM>:几个人形果然正在激烈争吵，厨房的灶台上摆放着几盘焦黑的不明物体。
Kolibri(0)<Speaker>蜂鸟</Speaker>||:……你这样做菜，就算我把味觉模块关了都吃不下去！
Kolibri(0);Derringer(0)<Speaker>德林加</Speaker>||<震屏>:你懂什么啊？！这可是我私藏的点心！
Kolibri(0)<Speaker>蜂鸟</Speaker>;Derringer(0)||:那也不能拿来炸啊！
Derringer(0)<Speaker>德林加</Speaker>||:指挥官说想吃热的嘛！
NPC-Machlian(5)<Speaker>玛赫莲</Speaker>||:……
VP1915(0)<Speaker>帕罗莎</Speaker>;NPC-Machlian(5)||:你们在吵什么？
