()||<BIN>34</BIN><BGM>BGM_Empty</BGM>:…………
FNFNC(0)<Speaker>FN-FNC</Speaker>||<BIN>34</BIN>:……这样，可以了吧？
FN49(0)<Speaker>FN-49</Speaker>||<BIN>34</BIN>:停……停下来了吗……
BB_Noel(2)<Speaker>诺爱尔</Speaker>||<BIN>34</BIN>:我上去看看！
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:诺爱尔，小心点。
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>诺爱尔</Speaker>||<BIN>34</BIN>:喂，你到底……是什么人？
GG_elfeldt_505(0)<Speaker>艾尔菲尔特</Speaker>;BB_Noel(2)||<BIN>34</BIN>:…………+你……你是……
GG_elfeldt_505(0);BB_Noel(2)<Speaker>诺爱尔</Speaker>||<BIN>34</BIN>:……！+她……知道我吗？
GG_elfeldt_505(0)<Speaker>艾尔菲尔特</Speaker>;BB_Noel(2)||<BIN>34</BIN>:人……人偶……+我的……“感情”……？+对了……华伦泰的……“感情”……+我……我是……+我到底……是……！
GG_elfeldt_505(0)<Speaker>艾尔菲尔特</Speaker>;BB_Noel(2)||<BIN>34</BIN><黑屏1><震屏>:唔啊啊啊啊啊啊啊！
()||<BIN>9</BIN><SE1>TiexueDie</SE1>:……艾尔菲尔特应声倒下，失去了动静。
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN><黑屏2>:…………+你们先别动，我上去看看。
FAL(0);FNFNC(0)<Speaker>FN-FNC</Speaker>||<BIN>34</BIN>:小、小心一点啊……
FAL(0)<Speaker>FAL</Speaker>;FNFNC(0)||<BIN>34</BIN><BGM>BGM_Room</BGM>:…………+傀儡网络神经被切断了，已经无法动弹了。
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>34</BIN>:……傀儡网络？这么说它是……
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>34</BIN>:恩，这只是一具铁血改造的傀儡子机而已……+也就是说……这不是本体。
FAL(0);BB_Noel(2)<Speaker>诺爱尔</Speaker>||<BIN>34</BIN>:不是……本人吗？+那、那么！真正的艾尔菲尔特到底在哪里？
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:子机在这里的话，本体应该也在附近……+各位！马上对附近的可疑地点展开搜索！
