()||<BIN>34</BIN><BGM>BGM_War</BGM>:…………
FNFNC(0)<Speaker>FN-FNC</Speaker>||:哈……哈……强、强过头了吧……
FN49(0)<Speaker>FN-49</Speaker>||<BIN>34</BIN>:居然……还没倒下……
GG_elfeldt_505(0)<Speaker>艾尔菲尔特</Speaker>||<BIN>34</BIN>:人……偶……歼……灭……
GG_elfeldt_505(0);FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN>:这家伙，和那些铁血不太一样……+……并没有……“感情”吗？……
GG_elfeldt_505(0)<Speaker>艾尔菲尔特</Speaker>;FAL(0)||<BIN>34</BIN>:…………
GG_elfeldt_505(0);BB_Noel(2)<Speaker>诺爱尔</Speaker>||<BIN>34</BIN>:……不一样……+……不一样？+对了！并不一样！
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:……怎么了？+你之前好像也在说这个。
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>诺爱尔</Speaker>||<BIN>34</BIN>:她和我在穿越“窑”时见到的样子，并不一样！
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:嗯？……+是说她不是你看见的那个“兔子”吗？
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>诺爱尔</Speaker>||<BIN>34</BIN>:虽然很像，但是……+我还需要进一步确认一下！+如果……如果能当面和她交谈就好了……
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN><黑屏1>:现在并不是见面的时机，我们还需要进一步削弱她的力量，才能安全靠近她。+重新组织进攻，直到她露出破绽为止！
