 ()||<BIN>1</BIN><Night><BGM>BGM_Room</BGM>:……到达第一个据点。
MP5(0)<Speaker>MP5</Speaker>||:报告，MP5抵达目的地。
MG5(0)<通讯框><Speaker>MG5</Speaker>;MP5(0)||:看来还算顺利呢，我们之前还担心这个任务会不会太勉强了。
MG5(0);MP5(0)<Speaker>MP5</Speaker>||:嘻嘻，多亏了指挥官的引导呢，我也会小心的。
MG5(0)<Speaker>MG5</Speaker>;MP5(0)||:很好，那你找到当地的侦察人形了吗？
MP5(0)<Speaker>MP5</Speaker>||:那个……不知道哪里去了，会不会是藏起来了？
MP5(0)<Speaker>？？</Speaker>||:既然是在敌方地盘侦察，藏起来不是理所当然吗？
MP5(0)<Speaker>MP5</Speaker>||<震屏>:呀！是谁？！
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:嘘……铁血就在旁边，那么大声是想死吗。
WA2000(0);MP5(0)<Speaker>MP5</Speaker>||:（小声）抱、抱歉……WA2000小姐。你这边情况怎么样？
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:我的情况？当然很好。而战场的情况？那就未必了。+这里到处都是装甲虫子，你是怎么一个人跑进来的。
WA2000(0);MP5(0)<Speaker>MP5</Speaker>||<黑屏1>:我？我是被当地的指挥官护送过来的。
WA2000()<Speaker>WA2000</Speaker>||<BIN>9</BIN>:诶？什么？！+喂！怎么突然就切到指挥官那边了！
MP5()<Speaker>MP5</Speaker>||:嘘……请小声点，铁血就在旁边呀！
WA2000()<Speaker>WA2000</Speaker>||:（小声）知、知道了，不用你提醒啊……
WA2000(0)<Speaker>WA2000</Speaker>||<黑屏1>:那个……你就是S09区指挥官吗？+呃……感谢你的协助，还有……+……没有了，向你致敬，报告结束。
MP5(0)<Speaker>MP5</Speaker>||<BIN>1</BIN><黑屏2><Night>:诶？这就结束了呀？
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:我们是人形，只要完成任务就行了吧。
WA2000(0);MP5(0)<Speaker>MP5</Speaker>||:可是……你的脸好像红了？难道是不好意思？
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:哪、哪有！再说了，我是为了任务而生的，不擅交流也很正常吧！
WA2000(0);MP5(0)<Speaker>MP5</Speaker>||:到底要肯定还是要否定啊……
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:别啰嗦了，你不是来回收侦察报告的吗，拿到了还不快点走。
WA2000(0);MP5(0)<Speaker>MP5</Speaker>||:谢谢你，WA小姐。这里还有些补给品，是G36小姐专门为你准备的。
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:啊……是巧克力冰淇淋吗？不愧是G36，还真了解我。+不过不准对人说哦……WA2000喜欢冰淇淋？太可笑了。
WA2000(0);MP5(0)<Speaker>MP5</Speaker>||<黑屏1>:那个……十分抱歉……+其实……和指挥官的通讯一直没关……
WA2000()<Speaker>WA2000</Speaker>||<BIN>9</BIN>:………………+……早说啊！
