 ()||<BIN>1</BIN><Night><BGM>BGM_Sunshine</BGM>:……到达第二个据点。
MP5(0)<Speaker>MP5</Speaker>||:那个……有人在吗？
P7(0)<Speaker>P7</Speaker>;MP5(0)||:哎呀，是MP5啊！欢迎欢迎！
P7(0);MP5(0)<Speaker>MP5</Speaker>||:P7小姐，你好。
P7(0)<Speaker>P7</Speaker>;MP5(0)||:你好你好，一路辛苦啦！先坐下来吃些点心吧！
P7(0);MP5(0)<Speaker>MP5</Speaker>||<黑屏1>:啊……谢、谢谢你……
MP5()<Speaker>MP5</Speaker>||<BIN>9</BIN>:噗——！！+这、这个味道是！
P7(0)<Speaker>P7</Speaker>||:哈哈哈，这可是我特制的美味馅饼哦！
MP5(0)<Speaker>MP5</Speaker>||:你不要骗我，我吃过那么多馅饼，没有哪个是这种口感的！
P7(0)<Speaker>P7</Speaker>;MP5(0)||:哼哼，这可是我从56-1小姐那里学来的，这可是她们家乡的特产啊。+融合了五种坚果的精美点心，只有每年的月圆之夜才能食用哦。
P7(0);MP5(0)<Speaker>MP5</Speaker>||:这五种坚果……都是什么啊？
P7(0)<Speaker>P7</Speaker>;MP5(0)||:这个嘛……我把配方忘了，只能用五种胡椒拌着奶酪粉凑合一下喽。
P7(0);MP5(0)<Speaker>MP5</Speaker>||:等等，胡椒根本不是坚果吧！+还有……奶酪粉怎么会有草莓味呢！
P7(0)<Speaker>P7</Speaker>;MP5(0)||:这个嘛……56-1说要加“冰糖”来着。+我不知道那是什么，就放了点草莓冰淇淋。+这可是最后一勺冰淇淋呢，为了“招待”你我可是大出血呢！
P7(0);MP5(0)<Speaker>MP5</Speaker>||:呜……不愧是爱开玩笑的P7啊。+但是……我的工作还是要继续，不能感情用事。+这是G36小姐给你带来的补给品，是一大罐冰镇果汁哦。
P7(0)<Speaker>P7</Speaker>;MP5(0)||:哼，这红彤彤的颜色，是番茄汁吧？+G36又想让我喝那种东西，我才不上当。+没关系，我这里有吸管。小小尝一口，不喜欢再退货也来得及呢。
P7(0)<Speaker>P7</Speaker>;MP5(0)||<黑屏1>:嗯，那就稍稍吸一口吧……
P7()<Speaker>P7</Speaker>||<BIN>9</BIN><BGM>BGM_Empty</BGM>:噗！！这、这个味道是！+咳咳！不是番茄汁，是更可怕的东西！好辣啊！我的喉咙！
MP5(0)<Speaker>MP5</Speaker>||<BGM>BGM_Boss</BGM>:居然在地上打滚了，看来效果非凡呢。+这是被称作“毒蛇”的超级辣椒熬制而成的蔬菜汁，只要一小口，就有催泪弹一样的效果。+G36小姐说过，如果你用乱七八糟的东西来整我，就把这个给你喝。
P7()<Speaker>P7</Speaker>||:居然拿这种东西对付我！你们太过分了，眼泪都止不住啦！
MP5(0)<Speaker>MP5</Speaker>||:G36小姐还说，如果你够乖就给你冰镇的番茄汁，现在倒是能网开一面让你喝哦。
P7()<Speaker>P7</Speaker>||:别想让我喝那种恶心的东西！我要冰淇淋！草莓冰淇淋！
MP5()<Speaker>MP5</Speaker>||:你忘了吗？最后一勺冰淇淋，已经被你用来整我了啊。
P7()<Speaker>P7</Speaker>||:呜……怎么会这样……
MP5()<Speaker>MP5</Speaker>||:桌子上这个就是侦察报告吧，任务完成，我告辞了。
P7()<Speaker>P7</Speaker>||:等等！咳……请等一下！MP5！MP5姐姐！+呜呜……番、番茄汁……求您了……
