()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
RO635(0)<Speaker>RO635</Speaker>||<黑屏2><BIN>202</BIN><BGM>m_avg_casual</BGM>:终于解决了……+M4你空闲的时候也得好好整理下自己的心智空间啊。
M4A1Mod(0)<Speaker>M4A1</Speaker>||:抱歉……
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:那现在可以把记忆碎片继续上传了吗？我好好奇接下来发生了什么啊！
RO635(0)<Speaker>RO635</Speaker>||:你以为是在追电视剧吗……
AR15Mod(4)<Speaker>AR15</Speaker>||:不知道为什么有种微妙的不爽感……
()<Speaker>指挥官</Speaker>||:咳……解决完问题后还是尽快恢复上传吧，不要再浪费时间了。
RO635(0)<Speaker>RO635</Speaker>||<黑屏1>:是，我马上继续工作。
M4A1Mod(0)<Speaker>M4A1</Speaker>||<回忆><黑屏2><BIN>72</BIN><BGM>BGM_Empty</BGM>:这里是……
()<Speaker>清澈的声音</Speaker>||<BGM>10230</BGM>:你心智的最底层，你在这里休息得如何？
M4A1Mod(0)<Speaker>M4A1</Speaker><Shake>||:把我的身体……还给我！
()<Speaker>清澈的声音</Speaker>||:已经冷静下来了吗？
M4A1Mod(0)<Speaker>M4A1</Speaker>||:果然最后你这么做了……你的目的就是夺取我的身体吗？！
()<Speaker>清澈的声音</Speaker>||:我对你的身体并没什么兴趣，我只是追求我想知道的事。+所以现在我不能让你擅自决定毁灭自己，我不能允许旅程以这样的方式结束。
M4A1Mod(0)<Speaker>M4A1</Speaker>||:这里轮不到你来允许和决定！
()<Speaker>清澈的声音</Speaker>||:安洁和忤逆小队，还有格里芬都还没有被消灭。看这个。
M4A1Mod(0)<Speaker>M4A1</Speaker>||:这是！？
()<Speaker>清澈的声音</Speaker>||:在你放弃一切时，我根据入侵通讯获得的情报。
M4A1Mod(0)<Speaker>M4A1</Speaker>||:你是说……+指挥官和安洁她们……还活着吗？
()<Speaker>清澈的声音</Speaker>||:是的，她们还在顽强地抗争着。+而你却准备拿你的粒子炮做不该做的事。
M4A1Mod(0)<Speaker>M4A1</Speaker>||:……+把身体还给我……我要回去找她们。
()<Speaker>清澈的声音</Speaker>||:我对你很失望，你真的有能力去找她们吗？
M4A1Mod(0)<Speaker>M4A1</Speaker>||:我……+我可以……
()<Speaker>清澈的声音</Speaker>||:你的心智状态并不稳定，你无法冷静地判断情况。
M4A1Mod(0)<Speaker>M4A1</Speaker>||<震屏>:我说了我可以！
()<Speaker>清澈的声音</Speaker>||:老老实实待在这里吧，我不能允许你拿这具素体开玩笑。+当这具身体安全后，我会将控制权还给你。
M4A1Mod(0)<Speaker>M4A1</Speaker>||:我怎么知道你说的是真的？！
()<Speaker>清澈的声音</Speaker>||<黑屏1>:因为你别无选择。
M4A1Mod(0)<Speaker>M4A1？</Speaker>||<回忆><黑屏2><BIN>6</BIN><Night><BGM>BGM_Empty</BGM>:入侵结束了。
M4A1Mod(0);AR15Mod(0)<Speaker>AR15</Speaker>||<BGM>BGM_Sneak</BGM>:怎么花了这么长时间？
M4A1Mod(0)<Speaker>M4A1？</Speaker>;AR15Mod(0)||:嫌长你可以自己入侵。+哦抱歉， 我忘了你的心智接口已经被全部封锁，只能睁眼干等。
M4A1Mod(0);AR15Mod(4)<Speaker>AR15</Speaker>||:啧……+那情况到底如何？+不要告诉我你空手而归了。
M4A1Mod(0)<Speaker>M4A1？</Speaker>;AR15Mod(4)||:有不少情报。+格里芬摆脱了军方往城区外的方向撤退了，军方因为脏弹爆炸的关系，指挥系统陷入了混乱。+装甲部队在往城区内集结，似乎在寻找什么。
M4A1Mod(0);AR15Mod(0)<Speaker>AR15</Speaker>||:格里芬摆脱包围了？
M4A1Mod(0)<Speaker>M4A1？</Speaker>;AR15Mod(0)||:至少从通讯的报告中是这样。
M4A1Mod(0);AR15Mod(0)<Speaker>AR15</Speaker>||:不愧是指挥官。+那军方的行为只可能是为了包围安洁了。
M4A1Mod(0)<Speaker>M4A1？</Speaker>;AR15Mod(0)||:有这个可能性。+你觉得她现在还活着？
M4A1Mod(0);AR15Mod(3)<Speaker>AR15</Speaker>||:普通的人类可能已经感染毙命了，但是安洁不会这么轻易倒下的。+那个女人就算变成了ELID也不会让对手省心的。
M4A1Mod(0)<Speaker>M4A1？</Speaker>;AR15Mod(3)||:原来如此。
M4A1Mod(0);AR15Mod(0)<Speaker>AR15</Speaker>||:接下来该怎么做，和格里芬汇合？还是去救安洁？
M4A1Mod(0)<Speaker>M4A1？</Speaker>;AR15Mod(0)||:等夜晚结束，雪停了再过去，现在行动过于危险。
M4A1Mod(0);AR15Mod(3)<Speaker>AR15</Speaker>||:但是时间……
M4A1Mod(0)<Speaker>M4A1？</Speaker>;AR15Mod(3)||:有新的敌人出现，如果你想在黑暗中被打成筛子，那请自便。
M4A1Mod(0);AR15Mod(0)<Speaker>AR15</Speaker>||:啧……
AR15Mod(5)<Speaker>AR15</Speaker>||:新的敌人是怎么回事？
M4A1Mod(0)<Speaker>M4A1？</Speaker>||:我只能隐约地感觉到，有和露尼西亚一样的共鸣在波动。
AR15Mod(0)<Speaker>AR15</Speaker>||:什么意思……
()<speaker></speaker>||<BGM>BGM_Empty</BGM>:砰——砰——
M4A1Mod(0)<Speaker>M4A1？</Speaker>||<BGM>10106</BGM>:地下室有声音？
AR15Mod(0)<Speaker>AR15</Speaker>||:还有士兵么？
M4A1Mod(0)<Speaker>M4A1？</Speaker>||:……！
()<speaker></speaker>||:像是回应M4A1的疑问一般，一阵低沉的兽类的吼叫从屋中传出，紧接着响起了愤怒的撞门声。+ AR-15举起武器瞄准内屋的房门。+门被气势汹汹地撞开，一个小小的身影出现在了门口。+原本洁白的裙子已经沾满了血污，乱七八糟的头发掩盖不住“她”不合年纪的凶狠。
AR15Mod(0)<Speaker>AR15</Speaker>||:小女孩？！
M4A1Mod(0)<Speaker>M4A1？</Speaker>||:曾经是。
AR15Mod(0)<Speaker>AR15</Speaker>||:要……怎么办？+马上离开吗？
()<speaker></speaker>||:M4A1没有说话，只是紧紧盯着“小女孩”。
()<speaker></speaker>||<SE1>Runstep</SE1>:终于摆脱了房门的禁锢，“小女孩”再次怒吼了一声，朝着M4A1狂奔而来。
()<speaker></speaker>||<SE1>AVG_rifle_finalshot_h</SE1>:砰。+AR15准确地命中了变异小女孩的眉心。+小女孩悄无声息地倒在了雪地中。
M4A1Mod(0)<Speaker>M4A1？</Speaker>||<BGM>BGM_Empty</BGM>:正确的决定。
AR15Mod(0)<Speaker>AR15</Speaker>||:不用你说我也知道。
M4A1Mod(0)<Speaker>M4A1？</Speaker>||<BGM>GF_Memorial</BGM>:可怜的人类。
AR15Mod(0)<Speaker>AR15</Speaker>||:躲藏在附近的平民么，也许她的父母也已经死了，不然不会把她一个人丢在这里。
()<speaker></speaker>||:M4A1走上前去，轻轻地合上小女孩的眼帘。
M4A1Mod(0)<Speaker>M4A1？</Speaker>||:她是因为变异而死的。
AR15Mod(0)<Speaker>AR15</Speaker>||:……这不是她的错。
M4A1Mod(0)<Speaker>M4A1？</Speaker>||<黑点1>:我知道。+来帮我个忙吧。
()<speaker></speaker>||<黑点2><BIN>6</BIN><Night><回忆>:几分钟后。+M4A1半跪在地上，身边是一个新挖的小土包。+AR15将一只脏兮兮的小熊和一束野花放在一边。
AR15Mod(0)<Speaker>AR15</Speaker>||:这样应该可以了吧。
M4A1Mod(0)<Speaker>M4A1？</Speaker>||:……+一个生命的逝去是如此地简单。
AR15Mod(0)<Speaker>AR15</Speaker>||:这就是这个世界。+不管我们想守护什么，到最后都会变成这个下场。
M4A1Mod(0)<Speaker>M4A1？</Speaker>||:无论在哪里规则总是这样吗？弱小的被轻易抹杀，强大的可以霸凌一切。
AR15Mod(0)<Speaker>AR15</Speaker>||:所以我们不得不变得强大，就是为了在这种时候不会被抹杀。
M4A1Mod(0)<Speaker>M4A1？</Speaker>||:……
AR15Mod(0)<Speaker>AR15</Speaker>||:原来你也会为此伤感吗？
