()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>202</BIN><黑屏2><BGM>BGM_Room</BGM>:那之后感觉过了很久很久……+那个时候我已经几乎放弃了，放弃AR小队还可以团聚的希望。
AR15Mod(0)<Speaker>AR15</Speaker>||:幸好你的放弃只是“几乎”，我们大家终究都回到了一起。
()<Speaker>指挥官</Speaker>||:所以你们直到贝莱格莱德的行动时才露面……
AR15Mod(0)<Speaker>AR15</Speaker>||:是的，我们花了好久才登上忤逆的飞机，之后在安洁的身体恢复前我们也得不到任何情报。+直到404通知我们说营救行动很成功，我们才放下心来。+在听到在贝莱格莱德会和格里芬合作时，我们立马就赶了过去。
RO635(0)<Speaker>RO635</Speaker>||:所以那个时候……在下水道里帮助我们的也是M4么？
RO635(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||:抱歉，我当时能做到的只有这些了。
RO635(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:我就说RO你没那么厉害嘛~
RO635(0)<Speaker>RO635</Speaker>||:那种情况换谁都没法从内部解开锁死的系统好么！
()<Speaker>指挥官</Speaker>||:不过没想到，丹德莱你竟然可以入侵涅托？
NytoIsomer(4)<Speaker>丹德莱</Speaker>||:404小队可以做到，我没理由不能做到吧？+虽然那之后帕拉蒂斯加强了那些异构体的脑部干扰，这具素体当时我就无法直接入侵。
AR15Mod(0)<Speaker>AR15</Speaker>;NytoIsomer(4)||:所以在地下时你要M4和我去射击涅托们头部的阻断器。
AR15Mod(0);NytoIsomer(4)<Speaker>丹德莱</Speaker>||:是的，这些素体并不是用无线电或者什么协议来传递信息，而是仅仅通过思考就可以做到。
AR15Mod(0);NytoIsomer(4)<Speaker>指挥官</Speaker>||:思考？
NytoIsomer(4)<Speaker>丹德莱</Speaker>||:是的，所以我才能感觉到涅托的共鸣，只要她们在思考，我就能感知到她们的存在，她们的情绪，甚至是她们的思想。
NytoIsomer(4)<Speaker>指挥官</Speaker>||:你把我弄糊涂了……这是怎么做到的？
NytoIsomer(4)<Speaker>丹德莱</Speaker>||:我也不清楚，我只是遵循着本能这么做而已。+我的目的不就是为了弄清楚这些问题的原因么？
NytoIsomer(4)<Speaker>指挥官</Speaker>||:好吧……
NytoIsomer(4)<Speaker>丹德莱</Speaker>||:不管怎么说，终于我们都离自己的目标又近了一步。+我想我也已经表现出了足够的真诚来让大家理解我的存在并不是有害的了吧？
M4A1Mod(0)<Speaker>M4A1</Speaker>||:你的存在只是暂时因为你能够提供帮助，我会紧紧地盯着你的一举一动。
NytoIsomer(4)<Speaker>丹德莱</Speaker>||:对我来说足够了。
()<Speaker></Speaker>||:咚咚，有敲门的声音。
()<Speaker>UMP45</Speaker>||:看来感人的叙旧已经结束了，我们可以进来了么？
()<Speaker>指挥官</Speaker>||:请进吧。
G11(0)<Speaker>G11</Speaker>||:哇，这个房间好暖和，一会我可以不到冷得要死的外面去么？
HK416Mod(0)<Speaker>HK416</Speaker>||:我在你身上点把火你就不觉得冷了。
UMP9Mod(0)<Speaker>UMP9</Speaker>||:指挥官看着呢，你们别闹了！ 
NPC-Kalin(0)<Speaker>格琳娜</Speaker>||:啊，404小队的大家来了，信息荚现在如何了？
UMP45Mod(0)<Speaker>UMP45</Speaker>||:已经解决了。
