()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:同一时间，M16A1的躲藏点……
M16A1()<Speaker>M16A1</Speaker>||<黑屏1>:唉。 +牛是吹出去了，不过还是有个帮手比较靠谱吧。+虽然……
M16A1()<Speaker>M16A1</Speaker>||<黑屏2><BIN>26</BIN><BGM>BGM_Sneak</BGM>:我猜你不是来帮忙的，对吗。
？？？()<Speaker>？？？</Speaker>||:是不是觉得，来的是个铁血会更好？
M16A1()<Speaker>M16A1</Speaker>||:无所谓啦，反正也不是没想过这种情况。+不过作为格里芬的人形，却要猎杀铁血以外的人形，至少给个理由嘛。
？？？()<Speaker>？？？</Speaker>||:作为404小队专属的权限，任何阻碍到我行动的人形，无论敌我都可以予以攻击。
M16A1()<Speaker>M16A1</Speaker>||:哎呀……你们的权限，还真是方便啊，我有点羡慕呢。
？？？()<Speaker>？？？</Speaker>||:闭嘴，M16！+你明明知道……这个代价是什么……
M16A1()<Speaker>M16A1</Speaker>||:（耸肩）……那么，我真的有这么碍眼吗？
？？？()<Speaker>？？？</Speaker>||:说实话吧，我从没有因为这份权限感到开心，除了这一次。
M16A1()<Speaker>M16A1</Speaker>||<黑屏1>:老实说，在国家安全局的时候我还挺喜欢你的，就那一次。+而这一次，终于要摊牌了吧…… 
HK416(0)<Speaker>M16A1</Speaker>||<黑屏2><BIN>9</BIN>:……HK416。
HK416(0)<Speaker>HK416</Speaker>||<黑屏1>:开始吧，M16A1。+这一次，你终于逃不掉了。
