()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:……+……滴。
干扰者()<Speaker>干扰者</Speaker>||<BGM>BGM_Boss</BGM>:……M4A1，我就知道你会打过来。
M4A1()<Speaker>M4A1</Speaker>||<黑屏1>:……+告诉我……M16的下落。
BOSS-4(0)<Speaker>干扰者</Speaker><通讯框>||<BIN>5</BIN><黑屏2>:说实话，我不知道她在哪里，我也不在乎。
M4A1(3)<Speaker>M4A1</Speaker>;BOSS-4(0)||:那你们的目标到底是什么？+格里芬已经进入你的辖区，你到现在还没有像样的反击行动！
M4A1(0);BOSS-4(0)<Speaker>干扰者</Speaker>||:哦？没想到坐着不动也能吓到你们呢。+好吧，那我就告诉你，我接受的命令……
M4A1(0)<Speaker>M4A1</Speaker>;BOSS-4(0)||:……
M4A1(0);BOSS-4(0)<Speaker>干扰者</Speaker>||:嘻嘻♪其实没什么啊，就是打发时间罢了。
M4A1(0)<Speaker>M4A1</Speaker>;BOSS-4(0)||:打发时间？这就是你的命令？
M4A1(0);BOSS-4(0)<Speaker>干扰者</Speaker>||:有什么奇怪的？如果主脑愿意，我可以坐下来和你们开心地喝茶。+但是前提是……你能到达我的茶室来。
M4A1(0)<Speaker>M4A1</Speaker>;BOSS-4(0)||<黑屏1>:这不难，干扰者。
M4A1(0)<Speaker>M4A1</Speaker>||<黑屏2><BIN>10</BIN>:格里芬追踪到先遣小队留下的坐标，我们马上就能见面了。
BOSS-4(0)<Speaker>干扰者</Speaker><通讯框>||:嘻嘻♪那我就尽情期待了。
