()||<BIN>18</BIN><BGM>BGM_Sneak</BGM>:同一时间，M16A1的躲藏点……
M16(3)<Speaker>M16A1</Speaker>||<黑屏1>:呿……+我刚准备撤退呢，告诉我你不是来帮416收尾的……
UMP45(0)<Speaker>M16A1</Speaker>||<黑屏2>:……UMP45。
UMP45(0)<Speaker>UMP45</Speaker>||:……♪+这话我可不信，你那边的箱子里，不是还有两支大杀器吗？
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||:那个啊，估计不是为你们准备的呢……+……你觉得呢？
M16(3);UMP45(0)<Speaker>UMP45</Speaker>||:……同感♪+毕竟嘛，我们只是在收工回家的路上，顺便接一下416罢了。
M16(0)<Speaker>M16A1</Speaker>;UMP45(0)||:还真是厉害呢，就这么几个人，还敢独立行动。
M16(0);UMP45(0)<Speaker>UMP45</Speaker>||:那种小任务，让"9"她一个人干都够了。+之前416做的够多了，我就给她放了个假。
M16(0)<Speaker>M16A1</Speaker>;UMP45(0)||:然后她度假的方式，就是想打断我的腿……+（苦笑）只有你们会这样，45，只有你们。
M16(0);UMP45(0)<Speaker>UMP45</Speaker>||:放心啦，416又不会杀了你，她只是有点不爽。
M16(0)<Speaker>M16A1</Speaker>;UMP45(0)||:我知道，所以我饶了她一命。
M16(0);UMP45(0)<Speaker>UMP45</Speaker>||:我知道，所以我也会饶你一命。
M16(0)<Speaker>M16A1</Speaker>;UMP45(0)||:哈，那看来是我赚啦，成交成交。
M16(0);UMP45(0)<Speaker>UMP45</Speaker>||:但你现在回去，只会把这条命也搭进去哦，M16。
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||<黑屏1>:……哦？+别小看16LAB的云图技术，我可没那么容易死。+45，你们这次任务……究竟知道了什么？ 
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏2><BIN>9</BIN>:来，靠近一点嘛。+（悄悄地说）“下雨了，在平原之上。”
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||:下雨？平原？……什么东西？
M16(3);UMP45(0)<Speaker>UMP45</Speaker>||:1500到1700近距离渗透后截获的通讯记录。+一共搜索到41960个结果，当中提到了那个和基本战术常识不符的字段——+你如果有兴趣，那看看这份对比图,更重要的是之后她要做的事情……
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||:喂喂，别又开复读模式啊。+你这小脑瓜里，就不能装点大家能听懂的语言吗。
M16(3);UMP45(0)<Speaker>UMP45</Speaker>||:或许，你们的“制造者”，会明白这个意思哦。
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||<黑屏1>:你说……什么？
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏2><BIN>18</BIN>:嘻嘻♪总之，我们先告辞了。+如果你遇到了队友，就说……
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||:就说你们被干掉了，我知道规矩。
M16(3);UMP45(0)<Speaker>UMP45</Speaker>||:嘻嘻♪就是这样，那么，下次见喽。
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||<黑屏1>:（叹气）真希望没有下次。+你们这群混蛋……
