()||<BIN>4</BIN><BGM>BGM_NightOPS</BGM><Night>:…………抵达目标仓库。
97typeS(0)<Speaker>97霰</Speaker>||:（招手）五六儿！好久不见啦！
56-1type(0)<Speaker>56-1式</Speaker>||:等候多时了，你们路上发生了什么吗？
M99(0)<Speaker>M99</Speaker>||:不好意思，路上有不少铁血，绕道花了些时间。
56-1type(0)<Speaker>56-1式</Speaker>||:没关系，补给品都打包好了，我们快撤吧。
97typeS(0)<Speaker>97霰</Speaker>||:怎么就这么点啊？我以为会塞满好几辆车呢。
56-1type(0)<Speaker>56-1式</Speaker>||:之前是有很多的……不过现在都被搬空了，所以才派我来看守最后这些。
M99(0)<Speaker>M99</Speaker>||:诶？铁血已经穷到来抢我们的补给吗？
56-1type(0)<Speaker>56-1式</Speaker>||:这个……+其实是附近其他地区的居民来搬的，不过宣传上的事情，你知道……+要不是【木星】打到了这里，估计连最后这点都保不住喽。
M99(0)<Speaker>M99</Speaker>||:这样啊……+物资都是军方严格分配下来的，绝对不允许任何人乱动，就算是人类也不可以。+剩下的补给，我们一定要保护好啊。
97typeS(0)<Speaker>97霰</Speaker>||<黑屏1>:好，我们就把它们安全送到目的地吧！
