()||<BGM>BGM_Boss</BGM><BIN>15</BIN>:……格里芬一处废弃指挥室，铁血破坏者最后的藏身地。
BOSS-6(0)<Speaker>破坏者</Speaker>||:……听到了吗，梦想家！格里芬比预想得快了好多！
BOSS-11(0)<Speaker>梦想家</Speaker><通讯框>||:……+哎呀……你在那边吵什么呢？
BOSS-6(0)<Speaker>破坏者</Speaker>;BOSS-11(0)||:快点，启动你的火力阻挡她们！
BOSS-6(0);BOSS-11(0)<Speaker>梦想家</Speaker>||:……诶？为什么要这么做啊？
BOSS-6(0)<Speaker>破坏者</Speaker>;BOSS-11(0)||:不是说好了吗！我完成任务，你会用空中支援掩护我撤退的！
BOSS-6(0);BOSS-11(0)<Speaker>梦想家</Speaker>||:哦……+那么……你的任务完成了吗？
BOSS-6(0)<Speaker>破坏者</Speaker>;BOSS-11(0)||:针对克鲁格的刺杀是失败了，不过也是预料中的结果。+重要的是，铁血植入AR-15的程序生效了，我在她的心智云图中发现了涉及3号安全屋的资料。+【伞】计划的数据已经凑齐了，快点帮我离开这里！
BOSS-6(0);BOSS-11(0)<Speaker>梦想家</Speaker>||:可是……既然任务已经完成了，那你还有什么价值了呢？
BOSS-6(0)<Speaker>破坏者</Speaker>;BOSS-11(0)||:什么……
BOSS-6(0);BOSS-11(0)<Speaker>梦想家</Speaker>||:我说啊……我们是人形吧？+所谓人形，就是用完就扔的消耗品吧？+好像没必要为了回收垃圾，再浪费更多我的宝贝呢。
BOSS-6(0)<Speaker>破坏者</Speaker>;BOSS-11(0)||:你……你怎么可以这样！
BOSS-6(0);BOSS-11(0)<Speaker>梦想家</Speaker>||:反正就算死掉了，很快又能活过来的嘛。+而且关于我的记忆，你也会统统忘掉。+然后，你会再次像小狗一样乖乖听我的命令哦。
BOSS-6(0)<Speaker>破坏者</Speaker>;BOSS-11(0)||:怎么……可能……我才不会……再次相信你！
BOSS-6(0);BOSS-11(0)<Speaker>梦想家</Speaker>||:真的吗，我亲爱的小蠢货？+你以为现在的事情……是第一次发生吗？
BOSS-6(0)<Speaker>破坏者</Speaker>;BOSS-11(0)||:……！！+你这个混蛋！疯子！小矮个儿！+明明……明明说好，会来救我的……
BOSS-6(0);BOSS-11(0)<Speaker>梦想家</Speaker>||:好啦，别哭了，只是个玩笑而已嘛。
BOSS-6(0)<Speaker>破坏者</Speaker>;BOSS-11(0)||:玩……笑……？真的？
BOSS-6(0);BOSS-11(0)<Speaker>梦想家</Speaker>||:代理人怕我乱来，把接受资料的密匙装在了你身上。
BOSS-6(0)<Speaker>破坏者</Speaker>;BOSS-11(0)||:唔……是代理人……为我做的……
BOSS-6(0);BOSS-11(0)<Speaker>梦想家</Speaker>||:我已经开始料理AR小组了，你还有十分钟时间离开这里哦。
BOSS-6(0)<Speaker>破坏者</Speaker>;BOSS-11(0)||:是、是吗……
