()||<BIN>9</BIN><BGM>BGM_Danger</BGM>:……滴。
M16A1()<Speaker>M16A1</Speaker>||<黑屏1>:指挥官？内格夫？你们在吗！
NEGEV(0)<Speaker>内格夫</Speaker>||<黑屏2><BIN>2</BIN>:M16，你们去哪儿了！+现在S08区到处都是铁血，而且还强得离谱！+我们差点就提前撤退，不等你了！
M16(3)<Speaker>M16A1</Speaker><通讯框>||:抱歉，因为一些事耽误了一下。+内格夫，指挥官，听着，先不要管其它事态。+炼金术士的部队开始行动了，恐怕是冲着你们来的。
NEGEV(0)<Speaker>内格夫</Speaker>;M16(3)||:哼，清算旧账的时候到了吗？+那你呢，你和SOP-II要去哪儿？
NEGEV(0);M16(3)<Speaker>M16A1</Speaker>||:我们有我们的安排，应付得过来，不用担心。+你们小心一点，指挥官，好好保护内格夫她们！
NEGEV(0)<Speaker>内格夫</Speaker>;M16(3)||:喂！M16！喂喂！
NEGEV(0);BOSS-5(0)<Speaker>炼金术士</Speaker><通讯框>||:早安啊，格里芬的各位。+狩猎就要开始了，你们准备好了吗？+而且，我很期待与你的再次见面呀，内格夫小姐……
NEGEV(0)<Speaker>内格夫</Speaker>;BOSS-5(0)(0)||:是吗？不过我现在可是超级火大啊，炼金术士……+你最好祈祷别被我遇上，尤其在还有一口气的时候……
NEGEV(0);BOSS-5(0)<Speaker>炼金术士</Speaker>||:哦？凭你那上世纪的子弹又能撑多久呢？+让我猜猜看吧，你会和你的同伴一起被我撕碎，还是倒在独自落逃的路上呢？+你就把最棒的恐惧写在脸上，等着我来摘取吧！
NEGEV(0)<Speaker>内格夫</Speaker>;BOSS-5(0)(0)||<黑屏1>:求之不得呢，铁血的混蛋……
内格夫()<Speaker>内格夫</Speaker>||<黑屏2><BIN>9</BIN>:让战斗开始吧，指挥官。+没什么比痛饮仇敌之血更令人沉醉了。
