()||<BIN>79</BIN><BGM>BGM_Room</BGM>:…………军方宴会中。
NPC-Havel(0)<Speaker>哈维尔</Speaker>||:我坐在这边没问题吧？+抱歉，我腿脚不太方便，喜欢坐在离出口近的地方，希望你们能理解。
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Havel(0)||:你也太见外了。+就算是我很想一枪毙了你，也不会选在有那么多媒体记者在楼下的今天。
NPC-Carter(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||:哈哈哈，卡特你讲笑话的水平真是一如既往得糟糕，看看你下属的表情就知道了，对吧这位小哥？
NPC-Carter(0);NPC-Yegor(0)<Speaker>叶戈尔上尉</Speaker>||:………………
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Yegor(0)||:我觉得我说的不是笑话，看看我下属的表情就知道了。
NPC-Carter(0);NPC-Yegor(0)<Speaker>叶戈尔上尉</Speaker>||:………………
NPC-Carter(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||:随便吧，至少它没达到效果。哎呀克鲁格先生，能见到你真是太好了。+由卡特主导的军队和承包商的联合行动，就算用我不太灵活的脚来思考，都知道除了你也不会有别的人选了吧。+不过话说回来，卡特能搞那么大动静真是全靠了你呢。+当时要不是你把莱柯送出去，恐怕……现在我们几个就只能蹲在养老院里打牌了吧。
NPC-Kyruger(0)<Speaker>克鲁格</Speaker>;NPC-Havel(0)||:…………
NPC-Kyruger(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||:啊……这位就是最近大出风头的指挥官吗？+帕斯卡对你的评价可一点都不低，她这个人很挑剔，你要珍惜这份……荣誉？应该可以这么说吧。+……哦抱歉，我还没介绍自己对吗？我以为克鲁格先生在你入职前就隆重介绍过了。 +我是哈维尔·维特金，“重要行动原型机械制造公司”的首席执行官，也就是大家俗称的【IOP】公司的……老板。+你手下的人形基本都是从我们公司的生产线上制造出来的，哦当然有一小部分不是……哈哈不过那不重要。
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Havel(0)||:哈维尔先生，如果你只是进来介绍自己的……
NPC-Carter(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||:当然不啦，眼下曾帮我创建公司的大恩人，和不停地向我发来订单的大主顾。+他们聚在一起想要干票大事，身为供货方的我怎么能不来祝贺恭喜呢？
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Havel(0)||:如果你想打听行动的细节，那可是军事机密。
NPC-Carter(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||:据我所知在餐桌上是不存在什么机密的，特别是在有好酒的前提下。
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Havel(0)||:我已经戒酒很多年了。
NPC-Carter(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||:那你的人生真是损失太多乐趣了。不过也难怪，将军是个实用主义者，一贯看事情是重视结果的。+没错，一个人活着，过程有趣固然重要，但如果结果不好的话那就等于是白活了。
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Havel(0)||:所以？你想说什么。
NPC-Carter(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||:如果你们想要的结果是干掉铁血，做这种什么联合演习的事实在太多此一举了。+哦原谅我说得很直白，我的意思是要认真对付铁血，克鲁格先生完全可以一个人解决，对吧？+那么重点就在于，要么就是有人喜欢无聊到想搞事情，要么就是对付铁血根本就不是某些人想要的结果。
NPC-Kyruger(0)<Speaker>克鲁格</Speaker>;NPC-Havel(0)||:…………
()||:…………卡特看了一眼克鲁格。
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Havel(0)||:和格里芬公司合作是为了试验往后更好的联合行动模式，哈维尔先生，你再胡言乱语我可就要以威胁国家安全罪逮捕你了。
NPC-Carter(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||:你还是改不了喜欢威胁人的坏毛病啊卡特，你就是个管后勤的，唬不了我。抓我这种事还是让安全局的人去考虑吧。+再说我是专门来支持你们的行动啊，有仗打就有大票的订单，我高兴都来不及呢。
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Havel(0)||:…………
