()||<BIN>10</BIN><BGM>DJMAX_ShadowFlowerF</BGM>:……挑战完成。
M950A(0)<Speaker>M950A</Speaker>||:……
CLEAR(0)<Speaker>克莉尔</Speaker><Position>0,100</Position>||:表现不错呢，950小姐！+展现了不同寻常的一面哦！
M950A(0)<Speaker>M950A</Speaker>||:不同往常？
TMP(0)<Speaker>TMP</Speaker>||:就是“很酷”的意思哦，950。
M950A(0)<Speaker>M950A</Speaker>||:唔……+和我很搭吗？
AEK999(0)<Speaker>AEK999</Speaker>||:如果是昨天，我会觉得很不可思议。+但是现在，我看到了你在舞台上的表现，没有比这首歌更适合你的音乐了。
M950A(0)<Speaker>M950A</Speaker>||:真、真的吗？+舞台上的记忆有点模糊，我不是很清楚了……
Thunder50(0)<Speaker>雷电</Speaker>||:很酷，应该继承下来。
M950A(0)<Speaker>M950A</Speaker>||:哈……哈哈……太不好意思了……+回想起来，也许是我压抑太久的缘故吧……+我不相信我真的有一天会站到舞台上，展现出自己真正想要成为的样子……
K2(0)<Speaker>K2</Speaker>||:大胆面对自己吧，950。+也许下次可以应聘主唱哦。
Thunder50(0)<Speaker>雷电</Speaker>||:（竖拇指）加油。
M950A(0)<Speaker>M950A</Speaker>||:雷电……+嗯！我会尝试的！+哼哼……下次大家可以组织一次卡拉OK哦！
CLEAR(0)<Speaker>克莉尔</Speaker><Position>0,100</Position>||:（小声）我们中会不会觉醒了麦霸啊……
AEK999(0)<Speaker>AEK999</Speaker>||:（小声）你不知道她之前在总部时的传说……+据说有一次周年庆典礼的时候……
M950A(0)<Speaker>M950A</Speaker>||:A？E？K？
AEK999(0)<Speaker>AEK999</Speaker>||:啊！没什么，我们继续吧！
CLEAR(0)<Speaker>克莉尔</Speaker><Position>0,100</Position>||<黑点1>:950小姐……真的有不同寻常的一面啊。
