()||<BIN>10</BIN>:<color=#FF0000>【警告】以下内容为本场【战斗教学】，请勿跳过！</color>
Henrietta(0)<Speaker>海莉艾塔</Speaker>||:啊，乔瑟先生来了！早安！+今天的例行训练也请您多指教了！
NPC-Kalin(2)<Speaker>格琳娜</Speaker>||:哦哦！是这个！+参与战斗的不止是义体，辅佐官自己也一样身在战场，积累了比义体更多的战斗经验。
NPC-Kalin(0)<Speaker>格琳娜</Speaker>||:每一位辅佐官都会在例行训练时指导自己的义体，形成与自己接近的战斗习惯。
Henrietta(0)<Speaker>海莉艾塔</Speaker>||:最近训练项目也没有变，只要打靶完成测试就好了。+摆好姿势，然后射击……
Rico(0)<Speaker>莉可</Speaker>||:啊，你们在这边啊。
Henrietta(0)<Speaker>海莉艾塔</Speaker>||:早安，莉可。+只有你自己过来吗？
Rico(0)<Speaker>莉可</Speaker>||:吉安先生有事出去了，公社让我过来和你们一起训练。
NPC-Kalin(0)<Speaker>格琳娜</Speaker>||:要指导的人变成两个了呢。+海莉艾塔已经很熟练了，莉可还需要你来指导。
NPC-Kalin(3)<Speaker>格琳娜</Speaker>||:不过，类似的训练您早就烂熟于心了，对不对？+这里有计分系统，要是用完所有子弹还没有达到规定分数的话，就会判定失败……+您不会让倾慕您的小姑娘失望吧，指挥官？可别粗心大意哦！
()<Speaker>系统</Speaker>||:<color=#FFFF00>作为辅佐官，优秀的战斗素质必不可少。</color>+<color=#FFFF00>用摇杆调整莉可的位置，然后在正确的时机点击按钮，扣下扳机击中目标吧！</color>
