()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
M590(0)<Speaker>M590</Speaker>||<BIN>73</BIN><黑屏2><BGM>BGM_Hello</BGM>:吓死我了……您问问题的方式也太独特了。
Grizzly(0)<Speaker>灰熊MkⅤ</Speaker>||:哈哈哈，抱歉抱歉。+我就是想知道，要怎么样才能快速跟人搞好关系。
M590(0)<Speaker>M590</Speaker>||:我跟500的相处模式并不能成为参考。+而且您的说法就好像我在饲养她一样……
m82(0)<Speaker>M82</Speaker>||:但是，灰熊队长居然也会为这种事烦恼吗？+我觉得您很擅长与人相处啊。
Grizzly(0)<Speaker>灰熊MkⅤ</Speaker>||:唔……该怎么说呢。+因为我平常跟人相处的时候，完全没想过那么多。+这话让我自己来说有点怪怪的，不过我这人可没什么算计。+能和大家相处得好都是大家给面子而已。
M590(0)<Speaker>M590</Speaker>||:就是这样单纯的灰熊小姐才赢得了队员们的尊敬吧。+那为什么事到如今又考虑起这种事来了？+有什么特别在意的对象吗？
Grizzly(0)<Speaker>灰熊MkⅤ</Speaker>||:你这说法怎么怪怪的……+跟那种事没关系，M82也知道的吧？+我们小队马上又要来一个新人了。
m82(0)<Speaker>M82</Speaker>||:新人……AK-Alfa？
Grizzly(0)<Speaker>灰熊MkⅤ</Speaker>||:对对对，就是那个人。+哇啊……我头痛死了啦，本来就听说是个特别难相处的人+要是跟她处不好怎么办啊？+要是她跟队里的人闹矛盾怎么办啊？+万一出点什么事，那可全都是我这个队长的责任啊——！
M590(0)<Speaker>M590</Speaker>||:原来如此，我明白了。+虽然平时普通地跟人相处一点都不觉得有压力。+但一旦意识到“同人好好相处”是个工作任务的话，刻意去做反而没有那么自然。+既然如此，平常心不就好了？
Grizzly(0)<Speaker>灰熊MkⅤ</Speaker>||:哪有那么简单，要是能说做到就做到我就不会烦恼了。+这种事就是一旦意识到了就挥之不去的啊。+本来队长责任这种事就跟我的性格合不来，现在还突然要打破我原本稳定的舒适圈，我当然会觉得棘手啦。+更何况，我要担心的也不只是我一个人的事，如果她跟其他队员处不好也是我的问题啊！
M590(0)<Speaker>M590</Speaker>||:对灰熊小姐来说，还真是个非常棘手的工作呢。
Grizzly(0)<Speaker>灰熊MkⅤ</Speaker>||:我从一开始就是这么说的了吧……+道理我都明白，我也知道平常一点去应对可能才是最好的。+但是一想到出错的可能，就觉得慌得不行啊。
M590(0)<Speaker>M590</Speaker>||:这或许就是您责任感的一种体现吧。+我已经完全明白了。
m82(0)<Speaker>M82</Speaker>||:难以置信，灰熊队长居然考虑了这么多事。
Grizzly(0)<Speaker>灰熊MkⅤ</Speaker>||:你难道觉得我是个热血笨蛋队长吗……+总而言之，我之前一直都有努力在做，虽然不敢自夸做得有多好。+但现在的灰熊小队好歹也算是建立了互相信赖的羁绊关系。+我好不容易放松下来，结果这时候突然要来新人，我当然会担心前功尽弃啊！
m82(0)<Speaker>M82</Speaker>||:嗯，我们大家都非常信赖灰熊队长，小队内的大家也都是好人。+真的不是队长在杞人忧天吗……
Grizzly(0)<Speaker>灰熊MkⅤ</Speaker>||:这谁说得准，万一那个新人比想象中还要讨人厌怎么办！
M590(0)<Speaker>M590</Speaker>||<黑屏1>:已经完全进入到职场综合征状态了……+原来如此，如果是这样的话，我倒是有个建议，要不要听一听呢？
