()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()||<BIN>166</BIN><Night><黑屏2><SE1>RunStep</SE1>:月光照着面面相觑的四个人形，以及破坏的墙面，好像一出荒谬的舞台剧布景。+还没等维尔德回答，粉色头发的人形忽然皱起眉头，一把抓起维尔德的手就跑。
Welrod(0)<Speaker>维尔德</Speaker>||<BGM>GF_20HW_Scene_BPM82_loop</BGM>:等等，干什么？
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||:你动静太大了，工人们会惊醒的！
sub2000(5);Welrod(0)<Speaker>维尔德</Speaker>||:……我到底是为了谁啊！
NPC-PasserbyM(0)<Speaker>掉了一只眼睛的人形</Speaker>;Welrod(0)||:嘎嘎……
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||:嗯，我明白，我们得快点！
sub2000(5);Welrod(0)<Speaker>维尔德</Speaker>||:你怎么连这个都听得懂啊？！
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||<黑屏1>:我猜的！
()<Speaker></Speaker>||<BIN>86</BIN><Night><黑屏2>:跑过街区、跑过公路。+最终，人形们在贫民区的巷道里停下了。
Welrod(0)<Speaker>维尔德</Speaker>||<BGM>BGM_Empty</BGM>:现在可以说明是怎么回事了吗？
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||<BGM>BGM_Hello</BGM>:你怎么还在？
sub2000(5);Welrod(0)<Speaker>维尔德</Speaker>||:是你一路拉着我跑的。+而且，你们看起来状态不好，我想知道原因。
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||:啊……这个说起来有点麻烦啊。
NPC-PasserbyM(0)<Speaker>掉了一只眼睛的人形</Speaker>;Welrod(0)||:库库。
sub2000(5)<Speaker>米希亚</Speaker>;Welrod(0)||:总之，我叫米希亚，这个少了眼睛的叫锁匠，没胳膊的叫厨师。+我们还有其他一些人形住在这里，算是我们的家吧。+然后……前几天我觉得那边的水泥不错，想带一些回来造挡风墙，一不小心就被砌进墙里了。
sub2000(5);Welrod(0)<Speaker>维尔德</Speaker>||:一不小心？是偷水泥未遂躲进水泥墙后面，被工人一起砌进去了吧。+你这是犯罪，米希亚，我劝你现在就去自首。
sub2000(2)<Speaker>米希亚</Speaker>;Welrod(0)||:你是警用人形吗，管这么多？
sub2000(2);Welrod(0)<Speaker>维尔德</Speaker>||:如果社会只有警察强制才能遵守法律，这一定是个非常糟糕的国家。
sub2000(2)<Speaker>米希亚</Speaker>;Welrod(0)||:对我们来说也差不多……总之，我可不会去自首。
Welrod(0)<Speaker>维尔德</Speaker>||:这可由不得你！
()<Speaker></Speaker>||:正在维尔德打算强行带走米希亚时，稚嫩的声音响起。
()<Speaker>？？？</Speaker>||:不许你带走米希亚！
()<Speaker></Speaker>||<震屏3>:小小的撞击感从维尔德脚后跟传来。+与此同时，“锁匠”和“厨师”一边一个，抓住了维尔德的手臂。
sub2000(5)<Speaker>米希亚</Speaker>||:扫扫？
()<Speaker>扫扫</Speaker>||:快跑呀，米希亚！我们拖住她，你要活下来！
();Welrod(0)<Speaker>维尔德</Speaker>||<SE1>Rope</SE1>:等等，这到底是怎么回事？这个扫地机器人在做什么……推我吗？
Welrod(0)<Speaker>扫扫</Speaker><Shake>||<黑点1>:呜……！
()||<BIN>86</BIN><Night><黑点2><BGM>BGM_Empty</BGM>:……+短暂的闹剧后，维尔德终于在人形们的营地坐下。+以米希亚和锁匠等人形为首，十几个各有残损的人形坐在后面，七嘴八舌地讲起了它们的故事。
Welrod(0)<Speaker>维尔德</Speaker>||<BGM>BGM_Moon</BGM>:也就是说，大家都是被淘汰的人形，如果不躲在这里的话就会被销毁？
sub2000(5)<Speaker>米希亚</Speaker>;Welrod(0)||:就是这样。+你也看见了，扫扫和我这样相对完整的人形反而是少数……反正大家都是混日子，但是没谁想被销毁。
sub2000(5);Welrod(0)<Speaker>维尔德</Speaker>||:你偷水泥，也是为了把这个漏风的地方修一修？
sub2000(5);Welrod(0)<Speaker></Speaker>||:听到这句话，矮小的扫地机器人跳了跳。
sub2000(5);Welrod(0)<Speaker>扫扫</Speaker>||:下雨的时候，还会漏雨……
NPC-PasserbyF(0);Welrod(0)<Speaker>维尔德</Speaker>||:即使如此，这也是犯罪。
sub2000(2)<Speaker>米希亚</Speaker>;Welrod(0)||:但你也是人形吧，大小姐？+如果你把我带走，光凭扫扫是不可能拿回足够的物资的。
sub2000(2);Welrod(0)<Speaker>维尔德</Speaker>||:那是盗窃。
sub2000(2)<Speaker>米希亚</Speaker>;Welrod(0)||:也有一部分是从垃圾堆里翻出来的，这不算偷。+总之，我现在不能走。
sub2000(2);Welrod(0)<Speaker></Speaker>||:面对人形们闪烁着敌意的目光，维尔德一时间沉默了。
sub2000(2);Welrod(0)<Speaker>维尔德</Speaker>||:<color=#A9A9A9>都没有武器，我可以轻松地消灭掉全部……</color>+<color=#A9A9A9>但是就像米希亚说的，我也是人形，一样不想被销毁，己所不欲勿施于人。</color>+<color=#A9A9A9>该怎么做？</color>
sub2000(2)<Speaker>米希亚</Speaker>;Welrod(0)||:总之，你要是愿意高抬贵手放我一马的话……
sub2000(2);Welrod(0)<Speaker>维尔德</Speaker>||:不可能。
sub2000(2)<Speaker></Speaker>;Welrod(0)||:听到这句话，米希亚皱起眉头。+人形们也骚动起来，似乎想要冲向维尔德。
sub2000(5);Welrod(0)<Speaker>维尔德</Speaker>||:但是我可以帮助你们。+等大家能自力更生之后，你要保证再也不去偷东西。
sub2000(2)<Speaker>米希亚</Speaker>;Welrod(0)||:帮我们？你要怎么帮我们？+求职，还是物资援助？大家都是淘汰了三五轮的人形了，怎么可能还找得到工作。
sub2000(2);Welrod(0)<Speaker>维尔德</Speaker>||:嗯……首先，我这里还有些存款。+我会买一些零件来，先保证大家都能行动，然后再考虑向收入不那么高的人群提供家政服务，能换多少钱换多少钱。
sub2000(5)<Speaker>米希亚</Speaker>;Welrod(0)||:我很感谢你愿意帮助他们。+但是请记住，无论他们还是我，和你的工作环境都完全不是一回事，不要用你的思考理所当然地代入我们。+在我们的环境里，不是说出来的事情就一定能被解决，不是伸出手就一定会被回应。
sub2000(5);Welrod(0)<Speaker>维尔德</Speaker>||:但如果只是给你们一些物资就走的话，很难解决掉问题吧？+判决只是一瞬间，但我们的运行时间却不只有一秒。+想掐断罪恶的源头，那就必须先从根部改变。
sub2000(5)<Speaker>米希亚</Speaker>;Welrod(0)||:漂亮话谁都会说。
sub2000(5);Welrod(6)<Speaker>维尔德</Speaker>||<黑屏1>:我可是精英人形，言出必行。+在找到让大家自力更生的方法之前，我会留在这里。
()<Speaker></Speaker>||<BIN>86</BIN><黑屏2><BGM>BGM_Empty</BGM>:……次日早晨。
Welrod(0)<Speaker>维尔德</Speaker>||<BGM>m_avg_casual</BGM>:呃……这种型号该怎么装眼睛？直接塞进去可以吗？
NPC-PasserbyM(0)<Speaker>掉了一只眼睛的人形</Speaker>;Welrod(0)||:嘎……嘎！
sub2000(2)<Speaker>米希亚</Speaker><Shake>;Welrod(0)||:你别这么用力！锁匠说他自己能行，你把眼球给他就可以。
sub2000(2)<Speaker>扫扫</Speaker>;Welrod(0)||:镜子在这里！
Welrod(0)<Speaker>维尔德</Speaker>||:他会修自己？
sub2000(5)<Speaker>米希亚</Speaker>;Welrod(0)||:他是修理型号，原本就是做这行的。+等他弄好自己的眼球和声带，就让他负责修其他人吧。
sub2000(5);Welrod(0)<Speaker>维尔德</Speaker>||:好，维修就拜托锁匠。+我看你们不太缺能源，是怎么做到的？
sub2000(5)<Speaker>米希亚</Speaker>||:有人类淘汰的太阳能板，轮流充电应付日常生活还是可以的。
()<Speaker></Speaker>||:维尔德点点头，在小本子上划掉了一项。+她扫视周围，废弃的人形们围在锁匠身边，它们的表情仍然灰暗，似乎阳光永远照不到它们身上。+但它们仍然在等待，等待着轮到自己被修理的那一刻到来。
Welrod(6)<Speaker>维尔德</Speaker>||:会好起来的。
()<Speaker></Speaker>||<黑屏1>:她对着这片狼藉的巷道如此许诺。
