()||<BGM>BGM_Hello</BGM><BIN>22</BIN>:……
G3(0)<Speaker>G3</Speaker>||:终于……结束了。
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>嘲讽妖精</Speaker>||:感觉没什么变化，维护真的有做完吗？
G3(0)<Speaker>G3</Speaker>;FairyTaunt(0)<Position>0,250</Position>||:是的……真的结束了。+现在只需要将这个地方清理干净……
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:都是嘲讽妖精害的，它把架子撞倒了！
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>嘲讽妖精</Speaker>||:你还敢说我，你明明也推倒了很多东西。
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:我也很难过啊，我那么想帮忙，但是却没有手！
G3(0)<Speaker>G3</Speaker>||:大家不要吵了……我自己可以收好。
FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:G3小姐为什么会是一个人在这里啊？
FairyTaunt(0)<Position>0,250</Position><Speaker>嘲讽妖精</Speaker>||:就是啊，是不是被欺负了？
G3(0)<Speaker>G3</Speaker>||:不要这样想，没有的事……
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:之前其他人来维护的时候都是一群人一起来，然后一结束马上就离开了。
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>嘲讽妖精</Speaker>||:像你这样还会自己一个人留下来收拾……+真的就像是被欺负了哦。
G3(0)<Speaker>G3</Speaker>;FairyTaunt(0)<Position>0,250</Position>||:会需要收拾也是你们的顽皮造成的……+我没有被其他人欺负，不要乱说。
G3(0);FairyTaunt(0)<Position>0,250</Position><Speaker>嘲讽妖精</Speaker>||:我懂了，听这无力的反驳！
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:原来是这样，看起来是那种不懂得拒绝的好人呢。
G3(0)<Speaker>G3</Speaker>||:妖精的维护之所以会是难题，也和你们有关啊。+如果你们愿意乖乖听话，这也不至于变成大家都不想做的事情。
FairyTaunt(0)<Position>0,250</Position><Speaker>嘲讽妖精</Speaker>||:大家不想做的事情被推给了G3小姐，好辛苦哦。
FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:就是说啊。
G3(0)<Speaker>G3</Speaker>||:你们……+（叹气）算了……
G3(0);FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:但是不要担心，我们可以帮助G3小姐！
G3(0)<Speaker>G3</Speaker>;FairyWarrior(0)<Position>0,250</Position>||:……帮助？
FairyTaunt(0)<Position>0,250</Position><Speaker>嘲讽妖精</Speaker>;FairyWarrior(0)<Position>0,250</Position>||:勇士妖精……难道你是要把那件事告诉G3小姐……？
FairyTaunt(0)<Position>0,250</Position>;FairyWarrior(0)<Position>0,250</Position><Speaker>勇士妖精</Speaker>||:有什么办法，你刚刚摔坏了这么多东西，良心都不会痛一下吗？
FairyTaunt(0)<Position>0,250</Position><Speaker>嘲讽妖精</Speaker>||:唔……
