()||<BIN>88</BIN><BGM>BGM_Sad</BGM>:……某废弃仓库中。
BrenMK(1)<Speaker>布伦</Speaker>||:可恶……被困在这种地方……
BrenMK(1)<Speaker></Speaker>||:布伦靠在仓库的门后。+她从破旧门板间的缝隙向外望去，不远处的铁血正渐渐向这里逼近。
BrenMK(1)<Speaker>布伦</Speaker>||<黑屏1>0,3</黑屏1>:如果刚才转移速度足够快，就不会被逼退到这里了……+明明已经到了新的小队，我理应变得更强了才对啊！
()||<BIN>9</BIN><黑屏1>0.3</黑屏1>:——真的是这样吗？
()||:在精英人形混编的小队中，光是跟上大家的步伐就已经足够费力了。+我原以为那是暂时的，但现在这个状况……已经不是自我安慰就能解决的了。
BrenMK(1)<Speaker>布伦</Speaker><Shake>1.5</Shake>||:可恶，可恶啊！+为什么我不能变得更强！为什么！！！
()||<黑屏1>0.3</黑屏1>:——其实我一直都明白的。
()||:我没有办法变得像精英人形一样那么强。+就算我再怎么努力，也突破不了那个极限。+我只能在这里停下了吗？
BrenMK(1)<Speaker>布伦</Speaker>||<黑屏1>0,0.3</黑屏1>:要永远望着她们的背影吗……+我怎么能允许这种事发生！+但是我……我应该要怎么办？
()||<BIN>88</BIN><黑屏2>0,0.5</黑屏2>:布伦重新站起来，拎起自己的机枪。
BrenMK(0)<Speaker>布伦</Speaker>||:……我不能窝囊地在这里等死。+如果能再见到你的话，就向你询问那个答案吧。+维尔德……
()||<SE1>Gunfight</SE1>:仓库外响起枪声。
BrenMK(0)<Speaker>布伦</Speaker>||<白屏1>0,2</白屏1>:怎么？！
Welrod(0)<Speaker>维尔德</Speaker>||<白屏2>0,0.5</白屏2><BIN>89</BIN>:布伦！+你没事吧？
BrenMK(0)<Speaker>布伦</Speaker>||:维尔德？！+你怎么会在这里！
BrenMK(0);Welrod(0)<Speaker>维尔德</Speaker>||:我们小队正好在附近执行任务，被指挥官调来支援了。+看来我等正义的铁锤及时降临于此，废话先不多说，优先解决眼下的状况。
BrenMK(0)<Speaker>布伦</Speaker>;Welrod(0)||:……又做多余的事。+就算你们没来，我也能杀出去……
BrenMK(0);Welrod(0)<Speaker>维尔德</Speaker>||:我知道。+不过现在请你配合我，给予这些罪恶的铁血正义的制裁！
BrenMK(0)<Speaker>布伦</Speaker>||<黑屏1>:……开始吧，维尔德。
()||<BIN>9</BIN><黑屏1><SE1>Gunfight</SE1><BGM>BGM_Empty</BGM>:……+……战斗结束。
()||<BGM>BGM_Wake</BGM><黑屏2><BIN>2</BIN>:格里芬小队临时会合点。
L85A1(0)<Speaker>L85A1</Speaker>||:呜呜……你没事太好了！布伦！+听说你被围困在这里，我们担心死了！
BrenMK(0)<Speaker>布伦</Speaker>;L85A1(0)||:……不是什么严重的事。+另一个呢？
BrenMK(0);L85A1(0)<Speaker>L85A1</Speaker>||:你说IDW吗？+她去临时维修了，很快就过来和我们会合！
BrenMK(0)<Speaker>布伦</Speaker>;L85A1(0)||:啧……那个蠢猫又弄伤自己了。+你先去照看她吧……+我有些话要和维尔德说。
BrenMK(0);L85A1(0)<Speaker>L85A1</Speaker>||:……嗯。+那个……+布伦，任务结束后……要来我们的茶会吗？
BrenMK(0)<Speaker>布伦</Speaker>;L85A1(0)||:……看情况。
BrenMK(0);L85A1(0)<Speaker>L85A1</Speaker>||:无论你来还是不来……决定了的话，一定要告诉我哦。
BrenMK(0)<Speaker>布伦</Speaker>;L85A1(0)||:我会的。
L85A1(0)<Speaker>L85A1</Speaker>||<黑点1>:那么，回头见！
()||<黑点2>:L85A1离开了。
Welrod(0)<Speaker>维尔德</Speaker>||:布伦，你要和我说什么？
BrenMK(0)<Speaker>布伦</Speaker>;Welrod(0)||:维尔德……你为什么会这么强？
BrenMK(0);Welrod(0)<Speaker>维尔德</Speaker>||:为什么问这个？
BrenMK(0)<Speaker>布伦</Speaker>;Welrod(0)||:我一直以来都想变强。+但是无论我怎么努力……我都没办法做到像你……精英人形们那样。+无论是在战斗中还是在平时，你一直都那么优秀。+告诉我，维尔德，为什么你会那么强？
BrenMK(0);Welrod(0)<Speaker>维尔德</Speaker>||:因为我是精英人形。
BrenMK(0)<Speaker>布伦</Speaker>;Welrod(0)||:我不要这种答案！+明明你这个家伙也有着奇怪云图，做人阴沉做事古板，又老爱讲些做作的大道理！+但是，你就算纵容着那些不知进取的家伙，依然能将任务完成得足够好。+即使总是说着奇怪的话，大家却还是喜欢你……
BrenMK(0);Welrod(0)<Speaker>维尔德</Speaker>||:布伦……
BrenMK(0)<Speaker>布伦</Speaker>;Welrod(0)||:为了变强，我放弃了多少东西，却依旧比不上精英人形……+可恶，你这种家伙……简直就是作弊啊……
BrenMK(0);Welrod(0)<Speaker>维尔德</Speaker>||:只是为了变强而变强，那你的程度就仅限于此了，布伦。
BrenMK(0)<Speaker>布伦</Speaker>;Welrod(0)||:为什么？
BrenMK(0);Welrod(0)<Speaker>维尔德</Speaker>||:告诉你我强大的真正原因吧——+因为我一直维护着正义。
BrenMK(0)<Speaker>布伦</Speaker>;Welrod(0)||:因为要维护“正义”，所以才会变强吗？
BrenMK(0);Welrod(0)<Speaker>维尔德</Speaker>||:不是的。
BrenMK(0)<Speaker>布伦</Speaker>;Welrod(0)||:那是因为什么？
BrenMK(0);Welrod(0)<Speaker>维尔德</Speaker>||:正义必须是强大的。+正因为强大，所以才是正义。+所以维护正义的我，也必须是强大的。
BrenMK(0)<Speaker>布伦</Speaker>;Welrod(0)||:……什么跟什么啊。+根本就……听不明白。
BrenMK(0);Welrod(0)<Speaker>维尔德</Speaker>||:你一直想要变强，但你真的明白什么是强大吗，布伦？
BrenMK(0)<Speaker>布伦</Speaker>;Welrod(0)||:那么，维尔德……+在你眼中，什么才是强大？
BrenMK(0);Welrod(0)<Speaker>维尔德</Speaker>||:强大不是数据比谁优秀，强大也不是将他人踩在脚下。
Welrod(0)<Speaker>维尔德</Speaker>||:被深埋进荒芜大地的理想之种，在信念与努力的浇灌下，终将让自己的枝叶触及天空。+明白自己向往什么，继而立于这片大地之上，笔直地迈向那个目标。+这颗坚定而永不放弃的心，人们称之为“强大”。
BrenMK(0)<Speaker>布伦</Speaker>||:……维尔德，你又在说这种奇怪的话了。
BrenMK(0);Welrod(0)<Speaker>维尔德</Speaker>||:无论何时都能贯彻正义——这就是我变强的理由。+布伦，你的理由是什么？
BrenMK(0)<Speaker>布伦</Speaker>;Welrod(0)||:我……
BrenMK(0);Welrod(0)<Speaker>维尔德</Speaker>||:找到那个理由吧，布伦。+那样你就能真正变得强大。
BrenMK(0)<Speaker>布伦</Speaker>;Welrod(0)||:说的轻松，维尔德……+这种东西哪有那么容易就找到啊。
BrenMK(0);Welrod(0)<Speaker>维尔德</Speaker>||:我相信你会找到的。+找到你想做的事，找到你想“扮演”的那个角色。
BrenMK(0)<Speaker>布伦</Speaker>;Welrod(0)||:可是……我已经到达极限了，维尔德。也许我无法变得更加强大了。
BrenMK(0);Welrod(0)<Speaker>维尔德</Speaker>||:我不这么认为，布伦。+你会变得更强……你有那个资格。+只是，缺乏一个契机而已。
BrenMK(0)<Speaker>布伦</Speaker>;Welrod(0)||:……契机？
BrenMK(0);Welrod(0)<Speaker>维尔德</Speaker>||:我想到了一个方法，你想听听吗？
BrenMK(0)<Speaker>布伦</Speaker>;Welrod(0)||:什么方法？
BrenMK(0);Welrod(0)<Speaker>维尔德</Speaker>||<黑屏1>:那就是——
