()||<BIN>82</BIN><BGM>GF_Memorial</BGM>:格里芬人形宿舍内。
IDW(0)<Speaker>IDW</Speaker><Delay>1</Delay>||:啊，在这里！L85A1！
L85A1(0)<Speaker>L85A1</Speaker><Shake>1</Shake>||:呜、呜啊！+吓我一跳……IDW，拜托下次你打招呼不要这么大声好吗？
L85A1(0);IDW(0)<Speaker>IDW</Speaker>||:抱歉啦！人家今天有点激动！+<size=50>布伦是今天回我们小队吧？！！</size>+<size=60>好久没见，好想她！！！</size>
L85A1(0)<Speaker>L85A1</Speaker>;IDW(0)||:啊哈哈……虽然可以理解你的心情……
L85A1(0)<Speaker>L85A1</Speaker>||:不过你再这么大声下去，被布伦听到的话又要说……
BrenMKMod(0)<Position>0,230</Position><Speaker>布伦</Speaker>||:吵死了，蠢猫。
BrenMKMod(0)<Position>0,230</Position>;IDW(0)<Speaker>IDW</Speaker>||:啊！是……是布伦？！+你看上去和之前有些不一样了！+哇，这新衣服好棒——！！！
BrenMKMod(0)<Position>0,230</Position><Speaker>布伦</Speaker>||<震屏3>:都说了要你安静些！
L85A1(0)<Speaker>L85A1</Speaker>||:布伦，欢迎回来！+看来你的心智升级很顺利呢。
BrenMKMod(0)<Position>0,230</Position><Speaker>布伦</Speaker>;L85A1(0)||:嗯，我能感觉到自己的力量更强了。+多亏维尔德帮我争取了名额。
BrenMKMod(0)<Position>0,230</Position>;L85A1(0)<Speaker>L85A1</Speaker>||:呜呜……你能回来真的是太好了！
BrenMKMod(0)<Position>0,230</Position><Speaker>布伦</Speaker>;L85A1(0)||:等、等一下，你怎么突然哭了？
BrenMKMod(0)<Position>0,230</Position>;L85A1(0)<Speaker>L85A1</Speaker>||:抱歉抱歉，我只是今天有点激动……
BrenMKMod(0)<Position>0,230</Position><Speaker>布伦</Speaker>;L85A1(0)||:你不是邀请我参加茶会吗？+比起在这哭，不如赶快去泡茶。
BrenMKMod(0)<Position>0,230</Position>;L85A1(0)<Speaker>L85A1</Speaker>||:真是的……布伦，还是这么严格啊。
BrenMKMod(0)<Position>0,230</Position><Speaker>布伦</Speaker>;L85A1(0)||:因为你们太容易懈怠了。+……对了，维尔德呢？
BrenMKMod(0)<Position>0,230</Position>;IDW(0)<Speaker>IDW</Speaker>||:队长去提交开办茶会的申请啦！
BrenMKMod(0)<Position>0,230</Position><Speaker>布伦</Speaker>;IDW(0)||:不是之前已经取得过指挥官的许可了吗？
BrenMKMod(0)<Position>0,230</Position>;IDW(0)<Speaker>IDW</Speaker>||:因为之前布伦你不在呀喵。+所以队长要我们暂停茶会的计划，等你回来再继续办！
BrenMKMod(0)<Position>0,230</Position><Speaker>布伦</Speaker>;IDW(0)||:……真是，总是喜欢做多余的事。
BrenMKMod(0)<Position>0,230</Position>;L85A1(0)<Speaker>L85A1</Speaker>||:既然布伦你回来了，那么我们赶紧讨论茶会的事情吧？
BrenMKMod(0)<Position>0,230</Position><Speaker>布伦</Speaker>;L85A1(0)||:哦……好的。+你们要讨论什么？
BrenMKMod(0)<Position>0,230</Position>;L85A1(0)<Speaker>L85A1</Speaker>||:让我看看……+只剩咖啡厅的装饰风格没敲定了。
IDW(0)<Speaker>IDW</Speaker>;L85A1(0)||:要超——可爱的风格，最好塞满了猫咪玩偶哒喵！
IDW(0);L85A1(0)<Speaker>L85A1</Speaker>||:那样太夸张了啦，还是用古典的英式风格……+布伦的意见呢？
BrenMKMod(0)<Position>0,230</Position><Speaker>布伦</Speaker>;L85A1(0)||:为了让大家不忘记我们的使命，就用靶场风格的装饰吧。
BrenMKMod(0)<Position>0,230</Position>;IDW(0)<Speaker>IDW</Speaker>||:哈啊？！+不行不行，那样的话会把大家吓跑哒喵！
L85A1(0)<Speaker>L85A1</Speaker>;IDW(0)||:布伦，总觉得你回来之后风格和维尔德越来越像了……+不会是被她携带的病毒什么的传染了吧？！
L85A1(0);Welrod(0)<Speaker>维尔德</Speaker>||:说什么呢，我可没有电子战模块。
L85A1(0)<Speaker>L85A1</Speaker><Shake>1</Shake>;Welrod(0)||:呜、呜啊！+维尔德……下次出现之前打个招呼，可以吗？+吓死我了……
Welrod(0)<Speaker>维尔德</Speaker>||:是你的警惕性太低了。+L85A1，连这点地板的震动都感受不到，会容易被敌人偷袭的。
BrenMKMod(0)<Position>0,230</Position><Speaker>布伦</Speaker>||:……噗。
IDW(0)<Speaker>IDW</Speaker>||:咦，布伦……好像在笑？！+队长！L85A1！！快看快看，布伦笑了！！！
BrenMKMod(0)<Position>0,230</Position><Speaker>布伦</Speaker>||:蠢猫，大惊小怪什么。+我只是突然觉得……你们吵吵嚷嚷的样子很有趣。
Welrod(0)<Speaker>维尔德</Speaker>||:你是在嘲笑我们吗，布伦？+现在可是在认认真真地讨论计划！
IDW(0)<Speaker>IDW</Speaker>||:就是就是！布伦也要认真些啊！
L85A1(0)<Speaker>L85A1</Speaker>||:唉……又变成这样了。+什么时候才能讨论出个结果呢……
BrenMKMod(0)<Position>0,230</Position><Speaker>布伦</Speaker>||:好了，你们都别吵。+总之今天一定要拿出个方案，不要让指挥官和其他人形失望。
BrenMKMod(0)<Position>0,230</Position><Speaker>布伦</Speaker>||<黑屏1>:另外，我还有一件事想告诉你们。
()||<BIN>9</BIN><黑屏1>:……+我依旧想要变强。+我还在寻找着维尔德之前提到过的，变强的理由。+而现在，我想我也许发现了姑且可以充当理由的事物——
布伦()<Speaker>布伦</Speaker>||<黑屏1>:抱歉，之前让你们担心了。+布伦，今天正式回归。+今后也请将最艰巨的任务交给我。+我会用实际行动来证明我的强大！
