()<Speaker></Speaker>||<BIN>82</BIN><BGM>BGM_Empty</BGM>:
()||<BGM>GF_Memorial</BGM>:格里芬人形宿舍内。
()||:CZ52坐在桌边，认真阅读着在桌上摊开的一本破旧的小册子。
CZ52(0)<Speaker>CZ52</Speaker>||:“白瓷青亭伫立在秀色池塘中央。”+“玉带拱桥如虎背，伸展至白瓷青亭旁。”+“亭中良友相聚，锦服华装。肆酒高谈，笔墨激扬。”
CZ52(0)<Speaker>CZ52</Speaker>||:这里描写的，应该是在风景如画的地方和朋友们一起饮酒写作吧？+真是很美的景象呢……
()||:CZ52一边阅读，一边想象着诗歌中描写的美景。+专心致志的她，并没有听见敲门的声音。
？？？()||:CZ52，你在吗？
CZ52(0)<Speaker>CZ52</Speaker>||:“翠色拱桥的倒影如一弯明月”……好想去看看这样的风景啊。+不过有几个地方看不太懂呢，如果有机会能向95请教就好了……
？？？()||:啊，门没锁吗？+那个，抱歉……我进来了哦？
()||:门开了。+听到响声，CZ52吓了一跳，猛的站起身看向门口。
CZ52(0)<Speaker>CZ52</Speaker>||<BGM>BGM_Empty</BGM>:是谁？！
？？？()||<BGM>BGM_Hello</BGM>:呜、呜啊！！
Type88(0)<Speaker></Speaker><Position>1000,0</Position><Shake>||:进来的人形唰地闪身躲到了门口的置物柜后面。+CZ52只看到两只长长的耳朵从柜子旁边一抖一抖地探出来。
CZ52(0)<Speaker>CZ52</Speaker>||:抱歉……我吓到你了吗？
Type88(0)<Speaker></Speaker><Position>1000,0</Position>||:柜子旁露出来的那一对耳朵停止了抖动。
()||:紧接着，耳朵的主人出现在了CZ52面前。
Type88(0)<Speaker>88式</Speaker>||:你好……我是负责这次春节活动的88式……+刚才听到你好像在读什么，可能没有听见敲门，所以我就擅自开门进来了……对不起……
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:没关系，是我太入神了。+等等，你说你是负责那个……春节活动？是东方那个像新年一样的节日吗？
CZ52(0);Type88(0)<Speaker>88式</Speaker>||:是……今年由我来负责。+来找你也是为了想请你来帮忙……
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:真的吗？需要我做些什么呢？
CZ52(0);Type88(0)<Speaker>88式</Speaker>||:呃，你是答应了吗？
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:嗯，我对这个节日很感兴趣。+是要挂起灯笼，在一起吃丰盛的晚宴吧？+对了，我还记得之前那次还做了窗户和墙面的装饰品。那种装饰我也可以完成的！
CZ52(0);Type88(0)<Speaker>88式</Speaker>||:那个……那些都已经有别人去做了……+我来找你是想邀请你一起加入拜年的队伍……
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:“拜年”？那是什么？
CZ52(0);Type88(0)<Speaker>88式</Speaker>||:那是东方庆祝新年的一种很古老的习俗……
()||:88式向CZ52解释了拜年相关的信息。
CZ52(0)<Speaker>CZ52</Speaker>||:噢……我明白了，就是逐一拜访大家，送去新年的祝福吗？
