()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<BIN>72</BIN><黑屏2>:……
()<Speaker></Speaker>||:<color=#FFFF00>【“向帅气又可爱的指挥官坦白”作战计划载入中……】</color>+<color=#FFFF00>【载入完成】</color>+<color=#FFFF00>【第357次模拟作战启动】</color>
4type(0)<Speaker>四式</Speaker>||<BGM>GF_Memorial</BGM>:指挥官，你在做这次任务的准备吗？+其实……+吾辈……有事想告诉指挥官……
()<Speaker></Speaker>||:……
4type(0)<Speaker>四式</Speaker>||:指挥官，对不起！+吾辈……吾辈对你撒谎了……+这次行动的情报是假的！！
4type(0)<Speaker>四式</Speaker>||:吾辈不是想存心戏弄指挥官！+只是受人威胁，逼不得已才……
4type(0)<Speaker>四式</Speaker>||:指挥官你不要生吾辈的气！+呜呜呜，不要拆吾辈的火控核心啊！
4type(0)<Speaker>四式</Speaker>||:煤窑？！不要啊！！！+吾辈不想去煤窑呜呜呜……
4type(0)<Speaker>四式</Speaker>||:<size=50>指挥官！指挥官！！不要走啊！！！</size>
()<Speaker></Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:<color=#FFFF00>【第357次模拟作战失败】</color>+<color=#FFFF00>【模拟作战结果：被拆掉火控核心送去煤窑】</color>
()<Speaker>指挥官</Speaker>||<黑屏2><BIN>8</BIN><BGM>BGM_Hello</BGM>:四式，有什么心事吗？怎么在这里发呆？
4type(0)<Speaker>四式</Speaker>||<立绘震动>:啊！指挥官……
4type(0)<Speaker>四式</Speaker>||:吾……吾辈在进行作战前的准备！+毕竟是第一次去海边执行任务呢……+还怪紧张的哈哈……<c>尽管放心吧，我的计划可是很周全严密的。<c>不用紧张，有我在。
4type(0)<Speaker>四式</Speaker>||<分支>1</分支>:嗯！我相信指挥官的决策！
4type(0)<Speaker>四式</Speaker>||<分支>2</分支>:是、是的！+（吾辈的心智云图好像极速升温了……）
()<Speaker>指挥官</Speaker>||<黑点1>:你继续做准备吧，我去确认其他成员的准备情况。
()<Speaker></Speaker>||<BIN>9</BIN><黑点2><BGM>BGM_Empty</BGM>:……
4type(0)<Speaker>四式</Speaker>||:呜呜……+吾辈的指挥官怎么能这么帅气……
4type(0)<Speaker>四式</Speaker>||<震屏>:啊！糟了！+吾辈……还是没能将实情告诉指挥官……+不行啊！一定要对指挥官坦白！
4type(0)<Speaker>四式</Speaker>||<黑屏1>:可是……+如果这次行动取消的话，吾辈根本没有灵感更新漫画……+死线也快到了，不更新的话一定会被编辑……
()<Speaker></Speaker>||<黑屏2><回忆><BIN>80</BIN><BGM>GF_Cafe</BGM>:……
()<Speaker>催更编辑</Speaker>||<震屏>:什么！！！+没有灵感？！这就是你拖更的理由？+拜托……好歹给我一点有说服力的理由啊喂！+我们这一行也很辛苦的……
4type(0)<Speaker>四式</Speaker>||:对不起！+可是，吾辈真的毫无灵感……+最近也没有什么执行任务的机会……
()<Speaker>催更编辑</Speaker>||:没有灵感，那就去制造灵感。+规矩是死的，人是活的啊！+啊对不起，忘了你是人形……+有了，你可以这样！
()<Speaker></Speaker>||:……
()<Speaker></Speaker>||:…………
4type(0)<Speaker>四式</Speaker>||<震屏>:什么！！！+你居然让吾辈编造谎言骗指挥官执行虚假的任务？！+不行不行！吾辈绝对不会背叛指挥官的！
()<Speaker>催更编辑</Speaker>||:你们不是有格里芬论坛吗？+匿名上去发个虚假的情报贴，指挥官也不会知道是你干的。
4type(0)<Speaker>四式</Speaker>||:不行不行！+吾辈做不到！
()<Speaker>催更编辑</Speaker>||:（嘴角扬起一抹邪恶的笑）+那看来，你可爱的指挥官明天就会知道……+最近很火的指挥官做主角的少女漫画的作者是谁了……+啊呀，上次好像还给我们留言问这部漫画的作者是谁来着呢……
4type(0)<Speaker>四式</Speaker>||:你、你！+答应过吾辈绝不泄密的！
()<Speaker>催更编辑</Speaker>||<黑点1>:不想被泄密的话，就去给我好好制造灵感吧♪+喏，帖子我已经帮你写好了。+就用最近很火的美人鱼做主题怎么样哈哈哈哈……
4type(0)<Speaker>四式</Speaker>||<关闭蒙版><BIN>9</BIN><黑点2><BGM>BGM_Empty</BGM>:别说被编辑出卖了……+说不定坦白之后，当场就会被愤怒的指挥官抠掉火控核心……+然后送去煤窑……
4type(0)<Speaker>四式</Speaker>||<BGM>BGM_Wake</BGM>:在黑漆漆的煤窑……+吾辈将永远看不见指挥官，更不可能更新连载了！
4type(0)<Speaker>四式</Speaker>||<黑屏1>:<size=50>不要啊！！！</size>
()<Speaker>指挥官</Speaker>||<BIN>8</BIN><黑屏2>:四式？快过来集合，我们准备出发了！
4type(0)<Speaker>四式</Speaker>||:收到！吾辈这就来！
4type(0)<Speaker>四式</Speaker>||<黑屏1>:吾辈……+终于还是做了有愧于指挥官的事啊……
()<Speaker></Speaker>||<BIN>162</BIN><BGM>BGM_Empty</BGM><黑屏2>:……
()<Speaker>指挥官</Speaker>||<BGM>m_avg_casual</BGM>:好的，接下来我们就按之前的分组各自进行任务吧！+此次任务比较轻松，在这附近的海域搜索与美人鱼有关的任何情报。+各小组以成员安全为首要目标，前往指定地点执行任务吧。+记得按时向我汇报情况。
()<Speaker>美人鱼调查小分队</Speaker>||:收到！
4type(2)<Speaker>四式</Speaker>||<黑点1>:太好了！接下来可以近距离观察指挥官了！+吾辈的一切努力都没有白费！
()<Speaker></Speaker>||<黑点2>:四式藏在指挥官附近的椰子树后，认真记录着指挥官的行动。
4type(2)<Speaker>四式</Speaker>||:指挥官果然选择了先安排先锋搜查组的工作啊。+先锋搜查组……好像是刘易斯和R93……+让吾辈凑近一点看看……
Lewis(2)<Speaker>刘易斯</Speaker>||:报告指挥官，先锋搜查组目前进展顺利！+R93已经先一步进入目标区域侦查了！+不过，我这里有一点小问题……
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:刘易斯掏出了防晒用品。
()<Speaker></Speaker>||:……
()<Speaker></Speaker>||:…………
4type(2)<Speaker>四式</Speaker>||<BGM>BGM_Danger</BGM>:刘易斯……+居然让指挥官帮她擦防晒！！！+<size=50>太过分了！！！</size>
4type(2)<Speaker>四式</Speaker>||:<size=30>吾辈……</size>+<size=30>什么时候能拥有那样的荣誉……</size>
4type(2)<Speaker>四式</Speaker>||:现在不是东想西想这些的时候！+四式，振作起来！+要好好画下指挥官的每一刻，这都是吾辈宝贵的灵感啊。
()<Speaker></Speaker>||:指挥官帮刘易斯擦完防晒后，刘易斯突然手持防晒用品逼近了指挥官。
()<Speaker></Speaker>||:……
()<Speaker></Speaker>||:…………
4type(2)<Speaker>四式</Speaker>||:居然还想给指挥官擦防晒？！+刘·易·斯！+吾、吾辈要跟你决一死战！
4type(2)<Speaker>四式</Speaker>||<Delay>:等等！+好险……还好没有冲出去……+哈哈，刘易斯被指挥官拒绝了♪
4type(2)<Speaker>四式</Speaker>||<黑点1><BGM>BGM_Empty</BGM>:看来指挥官要移动到下一个小组了。+吾辈也要继续跟上了！
4type(2)<Speaker>四式</Speaker>||<黑点2>:指挥官到这么偏僻的角落做什么呢？+那里好像有什么东西在动？
Type88(4)<Speaker>88式</Speaker>||<BGM>BGM_Moon</BGM>:指挥官……+我……
4type(2)<Speaker>四式</Speaker>||:那是后勤救援组的88式？+吾辈好像听说过88式游泳模块的缺陷……+为了这次任务，88式也一直在努力研发什么配件来着。+不过就算研制出提升游泳能力的配件，果然还是很难踏出那一步吧。
()<Speaker></Speaker>||:……
()<Speaker></Speaker>||:…………
4type(2)<Speaker>四式</Speaker>||:指挥官好温柔啊！+这么耐心地开导88式……
SPS(2)<Speaker>谢尔久科夫</Speaker>||:88式，原来你在这里啊。
4type(2)<Speaker>四式</Speaker>||:后勤救援组的谢尔久科夫也来了。+根据情报，谢尔久科夫接受过专业的训练，应该能保护好88式……
4type(2)<Speaker>四式</Speaker>||:最近基地的人形都出去探索了，留下来的本来也不多。+指挥官选中88式加入队伍，也是无奈之举吧。
4type(2)<Speaker>四式</Speaker>||<黑点1>:……+等等……+如果不是吾辈散布的谣言，88式现在应该也在基地专注自己的研发吧。+……+88式，这一期的漫画，吾辈一定把你画得最美！
4type(2)<Speaker>四式</Speaker>||<黑点2>:指挥官来到了海边。+诶？那是谁……+叫什么来着……吾辈怎么毫无印象……+莫非吾辈的记忆模块进水了？
()<Speaker>指挥官</Speaker>||:Z-62，你怎么一个人在海里抱着个大西瓜？
