()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑点2><BIN>83</BIN><SE1>AVG_amb_wilderness</SE1>:马卡洛夫站在院子里，茫然地看着四周的景象。+天色渐渐亮了，阳光覆上基地的地面和武器、以及每一位来往的人形。+风声、笑声、号令声……一切都如此熟悉，可又都有一些奇妙的违和感。
PM(4)<Speaker>马卡洛夫</Speaker>||:我……为什么会在这里……？
PM(4)<Speaker>马卡洛夫</Speaker>||<黑屏1>:冷静下来，马卡洛夫……回忆一下之前发生的事……
()<Speaker>马卡洛夫</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:我……在追寻真相。
()<Speaker></Speaker>||<黑屏2><BIN>82</BIN><BGM>BGM_Dorm</BGM>:几天前。
PM(0)<Speaker>马卡洛夫</Speaker>||:呼……派对上只要有酒，就会变成完全大乱斗的情况。+M950A还在唱啊，算了，不管她了……我现在就要休息。
PM(0)<Speaker></Speaker>||:宿舍里一片安静，慷慨激昂的歌声远远传来，也失去了杀伤力。+马卡洛夫自言自语着倒在床上，望着天花板梳理自己的数据。+四十分钟后，她闭上了眼睛。
PM(0)<Speaker>系统</Speaker>||:<color=#00CCFF>马卡洛夫，你要休息了吗？</color>+<color=#00CCFF>格里芬论坛发送了新的推荐内容。</color>
PM(0)<Speaker>马卡洛夫</Speaker>||:是的，不要吵我。
PM(0)<Speaker>系统</Speaker>||:<color=#00CCFF>“劲爆，指挥官房照泄露……”</color>
PM(0)<Speaker>马卡洛夫</Speaker>||:无聊。
PM(0)<Speaker>系统</Speaker>||:<color=#00CCFF>“房中的神秘身影到底是谁？”</color>
PM(0)<Speaker>马卡洛夫</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:……什么？
()<Speaker></Speaker>||<黑屏2><BIN>8</BIN>:指挥室。
NPC-Kalin(0)<Speaker>格琳娜</Speaker>||：哈欠……好，这样就没什么事要做了！接下来就是美美地睡一觉……
NPC-Kalin(0);PM(0)<Speaker>马卡洛夫</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1><BGM>BGM_Room</BGM>:<color=#00CCFF>打扰了，格琳娜小姐在吗？</color>
NPC-Kalin(0)<Speaker>格琳娜</Speaker>;PM(0)||：我在哦！有什么事吗，马卡洛夫？
NPC-Kalin(0);PM(0)<Speaker>马卡洛夫</Speaker>||:<color=#00CCFF>是这样的，不知道您刚才有没有看到论坛的帖子。</color>+<color=#00CCFF>今天监控室值班的斯捷奇金从监控录像里发现指挥官的房间里有陌生的女性影子，把这张图片发到了论坛上。</color>
NPC-Kalin(0)<Speaker>格琳娜</Speaker>;PM(0)||：什么？还有这种事！
NPC-Kalin(0);PM(0)<Speaker>马卡洛夫</Speaker>||:<color=#00CCFF>事态严重，我想我们应该先删掉照片，然后再考虑如何解决……</color>
NPC-Kalin(0)<Speaker>格琳娜</Speaker>;PM(0)||：谢谢你的提醒，马卡洛夫，我会立马删掉这个帖子。+但是已经扩散出去的就很难办……
NPC-Kalin(0);PM(0)<Speaker>马卡洛夫</Speaker>||:<color=#00CCFF>已经扩散出去的，要求保密就好。</color>+<color=#00CCFF>虽然有几个人形根本守不住嘴，我想明天就会全都知道了吧……</color>
NPC-Kalin(0)<Speaker>格琳娜</Speaker>;PM(0)||：的确呢。
NPC-Kalin(0);PM(0)<Speaker>马卡洛夫</Speaker>||:<color=#00CCFF>格琳娜小姐，你看起来已经很累了。</color>+<color=#00CCFF>你去休息吧，这件事的调查就交给我。</color>
NPC-Kalin(0)<Speaker>格琳娜</Speaker>;PM(0)||：诶？你要负责吗？+其实我觉得这件事没有什么调查的必要……
NPC-Kalin(0);PM(0)<Speaker>马卡洛夫</Speaker>||:<color=#00CCFF>这件事很严重，必须查清楚是谁才行。</color>+<color=#00CCFF>如果让大家都知道指挥官的房间可以乱进，基地就会乱套了。</color>
NPC-Kalin(0)<Speaker>格琳娜</Speaker>;PM(0)||：啊……好吧，那就拜托你了。+不过马卡洛夫，你要答应我，不要勉强哦。如果查不出来就算了，基地里的监控系统已经升级过，安保系统也马上会更新，权限收得更严格。
NPC-Kalin(0);PM(0)<Speaker>马卡洛夫</Speaker>||:<color=#00CCFF>我明白，谢谢您的关心和宽慰。</color>
NPC-Kalin(0)<Speaker>格琳娜</Speaker>;PM(0)||<黑屏1><SE1>AVG_tele_disconnect</SE1>：我是说真的，不要勉强。+哈欠……那么，晚安。
()<Speaker>马卡洛夫</Speaker>||<BIN>9</BIN><黑屏2><黑屏1><BGM>BGM_Empty</BGM>:到目前为止还没有问题……然后，我们一起去访问了每一位可能有问题的人形，发现都不对，而指挥官……+对了，指挥官被卡尔指出知道嫌疑人……但是我们最后也没有问出来是谁。+那之后……那之后发生了什么？
()<Speaker>马卡洛夫</Speaker>||<黑屏2><BIN>82</BIN><BGM>BGM_Dorm</BGM>:那之后……
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>||<BGM>BGM_Sunshine</BGM>:好的！既然木已成舟，那么就来做善后的准备吧，各位！
Carcano1891(0);PM(0)<Speaker>马卡洛夫</Speaker>||:什么叫做“既然木已成舟”啊……不要乱用成语。+所以，善后是说什么？而且，为什么我作为侦探也要参与进来？
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>;PM(0)||:当然是因为有必要见证这个历史性的时刻。+这次善后行动名为，“指挥官配偶大作战”！
Carcano1891(0);ZastavaM21(0)<Speaker>ZasM21</Speaker>||:……我现在就想走了。
Carcano1891(0);PM(0)<Speaker>马卡洛夫</Speaker>||:怎么会有这么多婚纱？
Carcano1891(0);ZastavaM21(0)<Speaker>ZasM21</Speaker>||:我听说G36C她们之前有过一次行动，遇到了神秘的幽灵，而战利品就是各种款式的婚纱……该不会这些就是战利品？
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>;ZastavaM21(0)||:美丽的衣服不被穿起来就是完全的浪费。+总要有人来和它们一起展示美丽！来吧，花朵一样美丽的小姐，为自己挑选吧！如果尺寸不合，我现在就可以提供修改服务哦！
Carcano1891(0);PM(0)<Speaker>马卡洛夫</Speaker>||:虽然很有道理，但我不要。
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>;PM(0)||:来嘛，作为功臣，你也应该有这个资格！+Zas，不要跑！你也有份！
Carcano1891(0);PM(0)<Speaker>马卡洛夫</Speaker>||:我是不会陪你们一起闹的。
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>;PM(0)||:别这么说嘛。大家一起来才好玩，而且我看到了很搭配你的婚纱哦！
Carcano1891(0);PM(0)<Speaker>马卡洛夫</Speaker>||:……指挥官来了，不要闹了。
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>;PM(0)||:指挥官来了，才更该让指挥官看到你的美丽。+还是说，你在害羞呢？
Carcano1891(0);PM(0)<Speaker>马卡洛夫</Speaker>||:我才没有！婚纱很好看，但这种时候穿不是就和儿戏一样吗？
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>;PM(0)||:对婚纱重视是好事，但是爱情是不需要仪式也会自然萌发的。+所以，至少来试试吧？万一哪天你真的需要穿它呢？
Carcano1891(0);PM(0)<Speaker>马卡洛夫</Speaker>||<黑点1>:你……好吧，等他们说完了再穿。
()<Speaker></Speaker>||<黑点2>:一个半小时后，紧张的谈话终于结束。+目送Kr98k离开的马卡洛夫正准备跟着离去，就被卡诺扣住了肩膀。
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>||:说好了要穿穿看的哦，马卡洛夫！英雄可不能临阵脱逃啊。
Carcano1891(0);PM(0)<Speaker>马卡洛夫</Speaker>||:你的记性能不能差一点啊……+好吧，你说的是哪一件？我来试试。
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>;PM(0)||:其实适合你的还是很多的，你要不要全都试一遍？
Carcano1891(0);PM(0)<Speaker>马卡洛夫</Speaker>||:我要走了，现在就走。
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>;PM(0)||:好吧，就试这么一件！去换吧，我很期待效果哦。
Carcano1891(0)<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:把马卡洛夫塞进换衣间后，大厅陷入了短暂的沉默。
PM(0)<Speaker>马卡洛夫</Speaker>||<BGM>BGM_Wake</BGM>:……卡诺，你相信指挥官说的那些话吗？
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>||:那个影子是格琳娜小姐的事？
PM(0)<Speaker>马卡洛夫</Speaker>||:嗯。
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>||:你相信吗？
PM(0)<Speaker>马卡洛夫</Speaker>||:我很想相信，但是我没法相信。+我从事件发生的时候就立刻去找了格琳娜小姐，她当时对这件事完全不知情。
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>||:这样啊。刚才你没有拆穿指挥官，真是很温柔又有担当的行为！
PM(0)<Speaker>马卡洛夫</Speaker>||:因为格琳娜小姐也愿意帮指挥官隐瞒，我想……应该是有原因的吧。+也许是什么我们不能知道的事。
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>||:我也这么想。
PM(0)<Speaker>马卡洛夫</Speaker>||:我知道你组织这个活动的想法。+就算大家心里都明白，这件事还是很让人难过。+指挥官以前几乎不会隐瞒我们什么，但是现在……也许就是这一刻，那个人还在指挥官的房间里，而我们一无所知。
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>||:总是死气沉沉的多没有意思啊，在战斗到来之前，我们应该坦率地享受生活。+好看的裙子，漂亮的外貌，还有强大又明智的指挥官。+只是一次隐瞒而已，谎言也有善意与不善之分。与其让这种事败坏心情，不如来一起欣赏指挥官特别的表情吧？
PM(0)<Speaker>马卡洛夫</Speaker>||:在这方面，你还真是很乐观……+至少卡尔之外的大家看起来都不太介意这件事就这样混过去，也算是好事吧。
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>||:人形和人类不同。+“一个人只有一次生命，统一的、一致的生命，就像一张毛毡，毛都压在一起了，不能分离。”
PM(0)<Speaker>马卡洛夫</Speaker>||:我想我知道你想说什么了。+指挥官比我们的行为要谨慎得多，因为人死不能复生，我们却能……这就是我们保护指挥官的原因。+指挥官的判断，一定有自己的道理……那个人不会轻易把自己放进险境里。
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>||:是的！而且，真相说不定只会令人疼痛呢。
PM(0)<Speaker>马卡洛夫</Speaker>||:你是说？
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>||:如果这个神秘的人其实是鬼魂……
PM(0)<Speaker>马卡洛夫</Speaker>||:万圣节还没到呢。
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>||:或者系统错误……
PM(0)<Speaker>马卡洛夫</Speaker>||:那这个监控系统也许能通过图灵测试，它在寻求一份亲密感情。
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>||:也可能是超能力或者外星人。
PM(0)<Speaker>马卡洛夫</Speaker>||:我吐槽不动了，卡诺。
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>||:哈哈，开玩笑的。不这么努力搭话也可以啦，马卡洛夫！
()<Speaker></Speaker>||<SE1>AVG_footsteps_woodfloor</SE1>:我知道，你想让我不要这么无聊。+我换好了。
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>||:哇——真不错！就这么去见指挥官吧？+让指挥官看到你现在的样子，一定也会大加夸赞的！
PM(4)<Speaker>马卡洛夫</Speaker><Position>0,150</Position>||:因为这种事得到过多的夸奖，真的还算是战术人形吗……
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>;PM(4)<Position>0,150</Position>||:战术人形也有追求美丽的权力，过于冰冷就会像军方一样。+虽然很有杀伤力，但最后也只剩下杀人和被杀。+怀抱对美丽的期望，才能得到和平。
Carcano1891(0);PM(4)<Speaker>马卡洛夫</Speaker><Position>0,150</Position>||:真奇怪……真正美丽的东西就存在于和平的世界里，可是只有在战争中，它们才格外闪耀，格外让人渴望。
Carcano1891(0)<Speaker>卡尔卡诺M1891</Speaker>;PM(4)<Position>0,150</Position>||<BGM>BGM_Empty</BGM><黑屏1>:美好的东西总是需要衬托的嘛。去吧。
()<Speaker>马卡洛夫</Speaker>||<BIN>9</BIN><黑屏2><BGM>m_avg_labyrinth</BGM>:然后……我到了指挥官那里。+接着发生了什么？我好像听到了谁说什么……我应该还存着音频才对。
()<Speaker>格琳娜的声音</Speaker>||:真是的……指挥官，这次差点就穿帮了！要不然还是让她去其他房间吧？+安排一间闲置的空房间给她之类的……
()<Speaker>指挥官的声音</Speaker>||:抱歉，格琳娜，这次是意外……+不过，为什么监控会突然捕捉到你？我记得你说过只要屏蔽过一次，这些设备就不能再找到你的信号了。
()<Speaker>陌生的女性声音</Speaker>||:这的确是个意外，因为指挥官你还不够信任我，或者说，我们的沟通不够。+如果您记得提前告诉我格里芬的监控系统今天升级，或者让我在外面散步获取信息，我就能提早做出应对。
()<Speaker>指挥官的声音</Speaker>||<SE1>AVG_footsteps_woodfloor</SE1><黑屏1>:……是我的问题。+好吧，你可以出去，但是……你现在去做什么？
()||<黑屏2><BIN>83</BIN><SE1>AVG_tele_disconnect</SE1><BGM>BGM_Empty</BGM>:……
PM(4)<Speaker>马卡洛夫</Speaker><Position>0,150</Position>||:不行，到这里就想不起来了……+到底发生了什么事？
PM(4)<Speaker>指挥官</Speaker><Position>0,150</Position>||:马卡洛夫？+早安，你还在这里啊。
PM(4)<Speaker>马卡洛夫</Speaker><Position>0,150</Position>||<BGM>GF_Memorial</BGM>:早安……指挥官。+我的记忆出现了问题，有一部分数据丢失了。
PM(4)<Speaker>指挥官</Speaker><Position>0,150</Position>||:我也正想和你说，昨晚我发现你站在我门口断电了，吓了一跳。+维修人员已经来过了，你现在感觉好些了吗？
PM(4)<Speaker>马卡洛夫</Speaker><Position>0,150</Position>||:原来是断电了吗……也许是有些零件忽然坏掉了吧。+指挥官，关于之前的事情……
PM(4)<Speaker>指挥官</Speaker><Position>0,150</Position>||:……我在听。
PM(4)<Speaker>马卡洛夫</Speaker><Position>0,150</Position>||:我相信您。+无论您做出什么样的选择，一定有您自己的考虑在内。+不告诉我们也没关系，只是如果还有下次，我也仍然会采取措施，尽力保证您的安全。
PM(4)<Speaker>指挥官</Speaker><Position>0,150</Position>||:我知道了，谢谢你。+你穿这件衣服很好看，马卡洛夫。
PM(4)<Speaker>马卡洛夫</Speaker><Position>0,150</Position>||:那是当然的，因为我一直都很优秀。+就算穿婚纱，我也漂亮又可爱。
PM(4)<Speaker>指挥官</Speaker><Position>0,150</Position>||:哈哈……是啊。+有你在身边，我总是很放心。
PM(4)<Speaker>马卡洛夫</Speaker><Position>0,150</Position>||:<color=#A9A9A9>如果还有下一次的话……我一定会找到真相。</color>
PM(4)<Speaker></Speaker><Position>0,150</Position>||<黑屏1>:马卡洛夫不再说话，向指挥官露出微笑。+上班的时间还没有到，两人共享了这片刻的安宁。+而这一切也都落入了窗帘后的“某个人”眼中。她是否将这一幕也记录下来了呢？+那就是只有这位见证者才知道的事了。
