bingo_task_type-10000001,普通战役挑战
bingo_task_type-20000001,战斗胜利情况下挑战任意普通战役{0}次
bingo_task_type-10000002,夜战战役挑战
bingo_task_type-20000002,战斗胜利情况下挑战任意夜战战役{0}次
bingo_task_type-10000003,紧急战役挑战
bingo_task_type-20000003,战斗胜利情况下挑战任意紧急战役{0}次
bingo_task_type-10000004,救援人形
bingo_task_type-20000004,在任意关卡或战斗中累计救援任意人形{0}个
bingo_task_type-10000005,人形强化
bingo_task_type-20000005,进行{0}次人形强化
bingo_task_type-10000006,装备强化
bingo_task_type-20000006,进行{0}次装备强化
bingo_task_type-10000007,消耗人形制造契约
bingo_task_type-20000007,累计消耗人形制造契约*{0}
bingo_task_type-10000008,消耗装备制造契约
bingo_task_type-20000008,累计消耗装备制造契约*{0}
bingo_task_type-10000009,消耗快速制造契约
bingo_task_type-20000009,累计消耗快速制造契约*{0}
bingo_task_type-10000010,消耗快速修复契约
bingo_task_type-20000010,累计消耗快速修复契约*{0}
bingo_task_type-10000011,消耗人力
bingo_task_type-20000011,累计消耗人力*{0}（自律除外）
bingo_task_type-10000012,消耗弹药
bingo_task_type-20000012,累计消耗弹药*{0}（自律除外）
bingo_task_type-10000013,消耗口粮
bingo_task_type-20000013,累计消耗口粮*{0}（自律除外）
bingo_task_type-10000014,消耗零件
bingo_task_type-20000014,累计消耗零件*{0}（自律除外）
bingo_task_type-10000015,获得好友电池
bingo_task_type-20000015,累计从好友处获得{0}次共享电池
bingo_task_type-10000016,爱心搜集
bingo_task_type-20000016,累计搜集{0}个爱心（包括战术人形、融合势力与格琳娜）
bingo_task_type-10000017,使用好友梯队
bingo_task_type-20000017,累计使用{0}次好友的支援梯队
bingo_task_type-10000018,获得HG战术人形
bingo_task_type-20000018,获得任意手枪战术人形*{0}
bingo_task_type-10000019,获得SMG战术人形
bingo_task_type-20000019,获得任意冲锋枪战术人形*{0}
bingo_task_type-10000020,获得AR战术人形
bingo_task_type-20000020,获得任意突击步枪战术人形*{0}
bingo_task_type-10000021,获得MG战术人形
bingo_task_type-20000021,获得任意机枪战术人形*{0}
bingo_task_type-10000022,获得RF战术人形
bingo_task_type-20000022,获得任意步枪战术人形*{0}
bingo_task_type-10000023,配件装备
bingo_task_type-20000023,获得任意配件类装备*{0}
bingo_task_type-10000024,弹匣装备
bingo_task_type-20000024,获得任意弹匣类装备*{0}
bingo_task_type-10000025,人形装备
bingo_task_type-20000025,获得任意人形类装备*{0}
bingo_task_type-10000026,人形重造
bingo_task_type-20000026,进行{0}次人形重型制造
bingo_task_type-10000027,装备重造
bingo_task_type-20000027,进行{0}次装备重型制造
bingo_task_type-10000028,行动回报-快速制造契约
bingo_task_type-20000028,通过后勤支援获得快速制造契约*{0}
bingo_task_type-10000029,行动回报-快速修复契约
bingo_task_type-20000029,通过后勤支援获得快速修复契约*{0}
bingo_task_type-10000030,行动回报-装备制造契约
bingo_task_type-20000030,通过后勤支援获得装备制造契约*{0}
bingo_task_type-10000031,行动回报-人形制造契约
bingo_task_type-20000031,通过后勤支援获得人形制造契约*{0}
bingo_task_type-10000032,消灭BOSS
bingo_task_type-20000032,战斗胜利情况下消灭{0}个BOSS
