function_skill_config-10000101,搜索理论
function_skill_config-20000101,作战任务的报酬有 {0}% 概率增加一次额外掉落{1}
function_skill_config-10000102,熟练
function_skill_config-20000102,计划模式下，提升战斗的动作速度 {0}%{1}
function_skill_config-10000103,魅力
function_skill_config-20000103,战斗产生的人形好感度增加 {0}%{1}
function_skill_config-10000104,作战总结
function_skill_config-20000104,战斗产生的人形经验、融合势力经验增加 {0}%{1}
function_skill_config-10000105,专注
function_skill_config-20000105,战斗产生的指挥官经验增加 {0}%{1}
function_skill_config-10000106,深度学习
function_skill_config-20000106,战斗产生的妖精经验值增加 {0}%{1}
function_skill_config-10000107,火力需求
function_skill_config-20000107,战斗产生的重装部队经验值增加 {0}%{1}
function_skill_config-10000108,摇篮曲
function_skill_config-20000108,修复时间减少 {0}%，包括人形、重装和融合势力{1}
function_skill_config-10000109,速记辅助
function_skill_config-20000109,作战报告书、特种作战报告书撰写时间缩短  {0}%{1}
function_skill_config-10000110,乐观
function_skill_config-20000110,前进营地获取探索归来奖励数量提高 {0}%{1}
function_skill_config-10000111,幸运
function_skill_config-20000111,前进营地获取探索中途奖励概率提高 {0}%{1}
function_skill_config-10000112,速成培训
function_skill_config-20000112,技能训练（包括人形、妖精、重装和融合势力）时间缩短 {0}%{1}
function_skill_config-10000113,高效改装
function_skill_config-20000113,装备提供的强化经验提高 {0}%{1}
function_skill_config-10000114,技术兼容
function_skill_config-20000114,妖精提供的开发值提高 {0}%{1}
function_skill_config-10000115,极速充能
function_skill_config-20000115,电池自然产出提高 {0}%{1}
function_skill_config-10000116,种田大法
function_skill_config-20000116,作物产出提高 {0}%{1}
function_skill_config-10000117,供给管理
function_skill_config-20000117,消耗粮食减少 {0}%{1}
