gun_charavoice-10000001,获得
gun_charavoice-10000002,问候
gun_charavoice-10000003,部队编入
gun_charavoice-10000004,强化完成
gun_charavoice-10000005,交流1
gun_charavoice-10000006,交流2
gun_charavoice-10000007,交流3
gun_charavoice-10000031,交流4
gun_charavoice-10000009,出击
gun_charavoice-10000010,遇敌
gun_charavoice-10000013,重创
gun_charavoice-10000014,胜利
gun_charavoice-10000015,撤退
gun_charavoice-10000016,新年
gun_charavoice-10000017,情人节
gun_charavoice-10000018,七夕
gun_charavoice-10000019,万圣节
gun_charavoice-10000020,圣诞节
gun_charavoice-10000021,技能1
gun_charavoice-10000022,技能2
gun_charavoice-10000023,技能3
gun_charavoice-10000024,后勤出发
gun_charavoice-10000025,后勤归来
gun_charavoice-10000026,修复
gun_charavoice-10000027,编制扩大
gun_charavoice-10000028,自律作战
gun_charavoice-10000029,誓约
gun_charavoice-10000030,游戏标题
gun_charavoice-10000041,载入
gun_charavoice-10000042,友人谈-沙漠之鹰
gun_charavoice-10000043,友人谈-HK45
gun_charavoice-10000044,友人谈-Spectre M4
gun_charavoice-10000045,友人谈-HK45
gun_charavoice-10000046,友人谈-沙漠之鹰
gun_charavoice-10000047,友人谈-沙漠之鹰
