item-10000001,人形制造契约
item-20000001,委托制造人形的订单，每份订单可用于制造一名人形。
item-10000002,装备制造契约
item-20000002,委托制造装备的订单，每份订单可用于制造一件装备。
item-10000003,快速制造契约
item-20000003,为制造附上加急的需求，可立即完成当前的人形或装备制造。
item-10000004,快速修复契约
item-20000004,为修复附上加急的需求，可立即完成当前的人形修复。
item-10000005,每日暂停许可
item-20000005,每日暂停许可
item-10000006,自动战斗许可
item-20000006,自动战斗许可
item-10000007,誓约之证
item-20000007,与心意相通的战术少女缔结誓约的证明，将赋予对方更多的权限与使命。
item-10000008,快速训练契约
item-20000008,为训练附上加急的需求，可立即完成当前的人形训练。
item-10000009,增幅胶囊
item-20000009,使用后，人形四项属性在当前上限内各提升1点，溢出部分会少量并依次分配到其它属性，“有多种果味可选。”
item-10000010,替代核心
item-20000010,可作用于自律傀儡的驱动模块，“经原主人的许可才能卸下，进而演化成机器人之间的压迫。”
item-10000011,密码卡
item-20000011,活动抽取数字
item-10000012,积分
item-20000012,活动选择数字
item-10000013,改名卡
item-20000013,申请更改指挥官名字的登记卡，“一个让大家（包括您自己）重新看待您的机会。”
item-10000014,原始数据样本
item-20000014,分析此样本可获得芯片或重装碎片，“这次会是相同的结果吗？也许只是临时缺少一些灵感。”
item-10000015,纯净数据样本
item-20000015,分析此样本可获得芯片或重装碎片，纯净的样本可能提取出更好的结果，“至少这一份看起来更清澈。”
item-10000016,快速解析契约
item-20000016,一次性完成对现有全部的数据样本的分析，“出于对方的爱好，这份契约需要您额外支付一张真实猫咪的照片。”
item-10000017,数据补丁
item-20000017,用于晋升重装部队，可通过拆解满级的重装部队来获得，“‘三人行必有我师焉’，所以……‘再见了，老师’。”
item-10000031,初级训练资料
item-20000031,这项程序可为人形提供初级技能训练，通过模拟作战获得。
item-10000032,中级训练资料
item-20000032,这项程序可为人形提供中级技能训练，通过模拟作战获得。
item-10000033,高级训练资料
item-20000033,这项程序可为人形提供高级技能训练，通过模拟作战获得。
item-10000041,采购币
item-20000041,用于服装及家具采购的特殊货币，“这些神秘硬币曾被怀疑是为设计师人形们提供灵感动力的电池。”
item-10000042,兑换券
item-20000042,买得越多送的越多，IOP不愧业界良心企业。
item-10000043,黑卡
item-20000043,曾经精英才能申请的高端卡片，你也拥有了。可为指挥官提供直接订购服装的权限。
item-10000044,校准点券
item-20000044,装备校准需要使用的代币//c看起来并不值钱。
item-10000045,记忆碎片
item-20000045,格里芬再次公开人形权益报告，“你们说要让我自由，但我只想要冰淇淋。”
item-10000046,特种作战报告书
item-20000046,用于升级重装部队，“希望大家从中发掘真正的宝藏，要知道失败的经验总大于成功。”
item-10000047,战区素材
item-20000047,
item-10000048,三项训练资料
item-20000048,
item-10000049,正式服钻石
item-20000049,111
item-10000050,通用配件
item-20000050,人形们外出执行任务时顺便回收的旧配件，稍加清洗和加工就能用来强化装备。格琳娜和指挥官对此非常满意，并表扬了提议进行这种行动的人形，但好像并没有给她加薪。
item-10000051,新型火控元件
item-20000051,根据指挥官的需求，IOP针对拥有足够拓展空间的高级人形，特别研制了此款强化元件。由于尚未进入量产阶段所以数量有限，在决定使用对象时要慎重考虑。
item-10000052,战术人形:神秘人形
item-20000052,战术人形:神秘人形
item-10000100,精英狮鹫作战勋章
item-20000100,表彰该指挥官及其麾下的战术人形建立的独一无二的卓越功勋，“放心，不会再有下一次了，就像世界大战一样。”
item-10000101,战斗排行勋章
item-20000101,授予在<color=#ffb400>大型战斗活动</color>中获得非凡成绩的指挥官
item-10000102,收集排行勋章
item-20000102,授予在<color=#ffb400>人型收集</color>及<color=#ffb400>家具收集</color>排行榜中获得非凡成绩的指挥官
item-10000103,挑战者勋章
item-20000103,授予在嘉年华等活动中付出卓绝努力，并收获了非凡成绩的指挥官，“辛苦您了，指挥官，现在来几场演习放松一下吧。”
item-10000104,精英奇妙冒险勋章
item-20000104,纪念该指挥官及其麾下的战术人形达成的超乎常识的奇妙冒险，“虚拟的事物并不一定是错误的，而内心的快乐一定是真实的。”
item-10000105,铁鹫同归作战勋章
item-20000105,纪念指挥官及其收归麾下的融合势力在活动中通过共同奋战所达成的成就，“战绩和考试成绩是两回事，该回去补考的一个都别想跑！”
item-10000301,中枢数据:BGM-71
item-20000301,重装部队BGM-71的数据碎片，-“报告，目标区域有自己人哦！” -“哎呀……那就祝她们好运吧！”
item-10000302,中枢数据:AGS-30
item-20000302,重装部队AGS-30的数据碎片，-“其实……我们每个人都有一副眼镜。” -“没错，只是我的便携性不太好啦！”
item-10000303,中枢数据:2B14
item-20000303,重装部队2B14的数据碎片，-“你还记得这一枚是榴弹还是昨晚酒会上填好的烟花吗？” -“不管是什么，总会有人想看吧？”
item-10000304,中枢数据:M2
item-20000304,重装部队M2的数据碎片，-“这个角度……真的没问题吗？” -“有问题的不是我，是数学。”
item-10000305,中枢数据:AT4
item-20000305,重装部队AT4的数据碎片
item-10000306,中枢数据:QLZ-04
item-20000306,重装部队QLZ-04的数据碎片，-“成功抵达目标地点，开始装填弹药……嗯？怎么塞不进去？”-“都说了，出发前不要和那群醉鬼喝酒啊！”
item-10000501,人力
item-20000501,基础资源之一//c为人形行动投入的能源。
item-10000502,弹药
item-20000502,基础资源之一//c为人形作战提供的弹药。
item-10000503,口粮
item-20000503,基础资源之一//c维持人形生存的补给。
item-10000504,零件
item-20000504,基础资源之一//c组装人形所需的部件。
item-10000505,钻石
item-20000505,混乱时代新确立的一般等价物，“在很多情况下，它比钱更有用。”
item-10000506,电池
item-20000506,用于附属房间拓展功能的特殊电池，“作为电池其实有点大，但是电权保护组织称，电池也有权拥有梦想。”
item-10000507,全局经验
item-20000507,全局经验
item-10000508,友情点数
item-20000508,通过与朋友们的互动获得，“哦？你也是来自世纪末的Friends吗？”
item-10000509,妖精指令
item-20000509,消耗指令，可以命令妖精使用技能，“有人猜测指令的次数限制仅仅是因为妖精们不想多干活。”
item-10000510,模拟作战超导动能
item-20000510,进行模拟作战所使用的超导动能，通过商城获得，“有限的购买加无限的消费，这就是市场~”
item-10000511,指挥官经验
item-20000511,指挥官经验
item-10001001,AAT-52头像
item-20001001,AAT-52头像
item-10001002,G43头像
item-20001002,G43头像
item-10001003,IDW头像
item-20001003,IDW头像
item-10001004,L85A1头像
item-20001004,L85A1头像
item-10001005,M1911头像
item-20001005,M1911头像
item-10001006,PPSH-41头像
item-20001006,PPSH-41头像
item-10001007,伯莱塔38型头像
item-20001007,伯莱塔38型头像
item-10001008,AK-47头像
item-20001008,AK-47头像
item-10001009,格洛克17头像
item-20001009,格洛克17头像
item-10001010,马卡洛夫头像
item-20001010,马卡洛夫头像
item-10001011,蝎式头像
item-20001011,蝎式头像
item-10001012,谢尔久科夫头像
item-20001012,谢尔久科夫头像
item-10001013,ST AR-15头像
item-20001013,ST AR-15头像
item-10001014,M1918头像
item-20001014,M1918头像
item-10001015,MP5头像
item-20001015,MP5头像
item-10001016,PTRD头像
item-20001016,PTRD头像
item-10001017,UMP9头像
item-20001017,UMP9头像
item-10001018,G11头像
item-20001018,G11头像
item-10001019,OTs-14头像
item-20001019,OTs-14头像
item-10001020,索米头像
item-20001020,索米头像
item-10001021,IOP
item-20001021,背景:IOP
item-10001022,AEGIS
item-20001022,背景:AEGIS
item-10001023,Jupiter
item-20001023,背景:Jupiter
item-10001024,SOPMODII
item-20001024,背景:SOPMODII
item-10001025,耳朵山的雪妖精
item-20001025,背景：耳朵山的雪妖精
item-10001026,M4A1周年庆头像
item-20001026,M4A1周年庆头像
item-10001027,ST AR-15周年庆头像
item-20001027,ST AR-15周年庆头像
item-10001028,M16A1周年庆头像
item-20001028,M16A1周年庆头像
item-10001029,M4 SOPMOD II周年庆头像
item-20001029,M4 SOPMOD II周年庆头像
item-10001030,1周年纪念名片
item-20001030,1周年纪念名片
item-10001031,布伦头像
item-20001031,布伦头像
item-10001032,FMG-9头像
item-20001032,FMG-9头像
item-10001033,KS-23头像
item-20001033,KS-23头像
item-10001034,M9头像
item-20001034,M9头像
item-10001035,M1919A4头像
item-20001035,M1919A4头像
item-10001036,MAC-10头像
item-20001036,MAC-10头像
item-10001037,微型乌兹头像
item-20001037,微型乌兹头像
item-10001038,OTs-12头像
item-20001038,OTs-12头像
item-10001039,PPS-43头像
item-20001039,PPS-43头像
item-10001040,RMB-93头像
item-20001040,RMB-93头像
item-10001041,司登MkⅡ头像
item-20001041,司登MkⅡ头像
item-10001042,SV-98头像
item-20001042,SV-98头像
item-10001043,G36头像
item-20001043,G36头像
item-10001044,柯尔特左轮头像
item-20001044,柯尔特左轮头像
item-10001045,SPAS-12头像
item-20001045,SPAS-12头像
item-10001046,SVD头像
item-20001046,SVD头像
item-10001047,UMP45头像
item-20001047,UMP45头像
item-10001048,KSG头像
item-20001048,KSG头像
item-10001049,M99头像
item-20001049,M99头像
item-10001050,RO635头像
item-20001050,RO635头像
item-10001051,Manticore
item-20001051,背景:Manticore
item-10001052,Vespid&Ripper
item-20001052,背景:Vespid&Ripper
item-10001053,M4A1
item-20001053,背景:M4A1
item-10001054,SPP-1
item-20001054,背景:SPP-1
item-10001055,梦想家
item-20001055,背景:梦想家
item-10001056,UMP40头像
item-20001056,UMP40头像
item-10001057,名片:深层映射
item-20001057,名片:深层映射
item-10001058,FNP-9头像
item-20001058,FNP-9头像
item-10001059,G3头像
item-20001059,G3头像
item-10001060,LWMMG头像
item-20001060,LWMMG头像
item-10001061,M3头像
item-20001061,M3头像
item-10001062,纳甘左轮头像
item-20001062,纳甘左轮头像
item-10001063,Spectre M4头像
item-20001063,Spectre M4头像
item-10001064,SVT-38头像
item-20001064,SVT-38头像
item-10001065,M1加兰德头像
item-20001065,M1加兰德头像
item-10001066,M2HB头像
item-20001066,M2HB头像
item-10001067,M21头像
item-20001067,M21头像
item-10001068,StG44头像
item-20001068,StG44头像
item-10001069,托卡列夫头像
item-20001069,托卡列夫头像
item-10001070,AS Val头像
item-20001070,AS Val头像
item-10001071,M60头像
item-20001071,M60头像
item-10001072,Mk23头像
item-20001072,Mk23头像
item-10001073,春田头像
item-20001073,春田头像
item-10001074,斯捷奇金头像
item-20001074,斯捷奇金头像
item-10001075,Kar98k头像
item-20001075,Kar98k头像
item-10001076,M950A头像
item-20001076,M950A头像
item-10001077,汤姆森头像
item-20001077,汤姆森头像
item-10001078,Jaeger
item-20001078,Jaeger
item-10001079,Dragoon
item-20001079,Dragoon
item-10001080,Sangvis Ferri
item-20001080,Sangvis Ferri
item-10001081,AR15
item-20001081,AR15
item-10001082,Destroyer
item-20001082,Destroyer
item-10001083,背景：临时作战室
item-20001083,背景：临时作战室
item-10001084,背景：雷达站
item-20001084,背景：雷达站
item-10001085,背景：荒街涂鸦
item-20001085,背景：荒街涂鸦
item-10001086,背景：旧日都市
item-20001086,背景：旧日都市
item-10001087,马卡洛夫-南瓜熊熊
item-20001087,马卡洛夫-南瓜熊熊
item-10001088,Vector-猫猫肉垫
item-20001088,Vector-猫猫肉垫
item-10001089,MP5-暗夜使魔
item-20001089,MP5-暗夜使魔
item-10001090,M45-糖果快递
item-20001090,M45-糖果快递
item-10001091,春田-古典派女巫
item-20001091,春田-古典派女巫
item-10001092,WA2000-古堡历险
item-20001092,WA2000-古堡历险
item-10001093,M1919A4-卡蜜拉
item-20001093,M1919A4-卡蜜拉
item-10001094,MK23-甜心小恶魔
item-20001094,MK23-甜心小恶魔
item-10001095,G11-僵尸家里蹲
item-20001095,G11-僵尸家里蹲
item-10001096,64式-异邦魔女
item-20001096,64式-异邦魔女
item-10001097,李-恩菲尔德-狩猎者礼服
item-20001097,李-恩菲尔德-狩猎者礼服
item-10001098,微型乌兹-睡醒的笨蛋
item-20001098,微型乌兹-睡醒的笨蛋
item-10001099,M1918-兔女郎
item-20001099,M1918-兔女郎
item-10001100,MP-446-顽劣噪音
item-20001100,MP-446-顽劣噪音
item-10001101,64式-水襦裙
item-20001101,64式-水襦裙
item-10001102,灰熊MkⅤ-周末警卫
item-20001102,灰熊MkⅤ-周末警卫
item-10001103,M1919A4-派对甜心
item-20001103,M1919A4-派对甜心
item-10001104,柯尔特左轮-直达星星的愿望
item-20001104,柯尔特左轮-直达星星的愿望
item-10001105,春田-圣善夜的祝福
item-20001105,春田-圣善夜的祝福
item-10001106,M14-圣诞巡游礼服
item-20001106,M14-圣诞巡游礼服
item-10001107,M21-圣诞居家礼服
item-20001107,M21-圣诞居家礼服
item-10001108,SVD-冬日仙女
item-20001108,SVD-冬日仙女
item-10001109,WA2000-雪下赴约者
item-20001109,WA2000-雪下赴约者
item-10001110,NTW-20-圣诞鹿
item-20001110,NTW-20-圣诞鹿
item-10001111,FAL-冬幕补给行动
item-20001111,FAL-冬幕补给行动
item-10001112,MG5-绯红守夜人
item-20001112,MG5-绯红守夜人
item-10001113,索米-耳朵山的雪妖精
item-20001113,索米-耳朵山的雪妖精
item-10001114,56-1式-爆竹红
item-20001114,56-1式-爆竹红
item-10001115,MP-446-向阳葵
item-20001115,MP-446-向阳葵
item-10001116,NZ75-金姬菊
item-20001116,NZ75-金姬菊
item-10001117,M99-仙客来
item-20001117,M99-仙客来
item-10001118,95式-玉玲珑
item-20001118,95式-玉玲珑
item-10001119,97式-牡丹魁
item-20001119,97式-牡丹魁
item-10001120,59式-报春花
item-20001120,59式-报春花
item-10001121,PTRD-浪漫任务
item-20001121,PTRD-浪漫任务
item-10001122,UMP9-"我来晚了?"
item-20001122,UMP9-"我来晚了?"
item-10001123,UMP45-"下不为例。"
item-20001123,UMP45-"下不为例。"
item-10001124,维尔德MkⅡ-英国恋人
item-20001124,维尔德MkⅡ-英国恋人
item-10001125,SV-98-女服务生
item-20001125,SV-98-女服务生
item-10001126,托卡列夫-两人的旅程
item-20001126,托卡列夫-两人的旅程
item-10001127,PPsh-41-契约时刻
item-20001127,PPsh-41-契约时刻
item-10001128,司登MkⅡ-被回应的心意
item-20001128,司登MkⅡ-被回应的心意
item-10001129,李-恩菲尔德-毕生守护
